,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,TOTAL A,TOTAL B,PERCENT A,PERCENT B
0,National,X,2015,40,12029,1.05578,84,43,0.698312,0.357469
1,National,X,2015,41,13111,1.29662,116,54,0.884753,0.411868
2,National,X,2015,42,13441,1.10855,97,52,0.721672,0.386876
3,National,X,2015,43,13537,1.10807,98,52,0.723942,0.38413200000000003
4,National,X,2015,44,14687,1.12344,97,68,0.6604479999999999,0.46299399999999996
5,National,X,2015,45,15048,1.38224,122,86,0.810739,0.571505
6,National,X,2015,46,15250,1.19344,84,98,0.55082,0.6426229999999999
7,National,X,2015,47,15234,1.38506,119,92,0.781147,0.603912
8,National,X,2015,48,16201,1.3949799999999999,145,81,0.895006,0.49996899999999994
9,National,X,2015,49,16673,1.4754399999999999,140,106,0.8396809999999999,0.635758
10,National,X,2015,50,17358,2.5118099999999997,244,192,1.4056899999999999,1.10612
11,National,X,2015,51,16878,2.287,220,166,1.3034700000000001,0.9835290000000001
12,National,X,2015,52,18865,2.45958,264,200,1.39942,1.06016
13,National,X,2016,1,19786,2.9313700000000003,396,184,2.00142,0.92995
14,National,X,2016,2,18689,4.25384,571,224,3.05527,1.1985700000000001
15,National,X,2016,3,18798,5.48463,716,315,3.8089199999999996,1.6757099999999998
16,National,X,2016,4,20791,6.959739999999999,1035,412,4.97812,1.98163
17,National,X,2016,5,22261,9.69858,1572,587,7.06168,2.6369
18,National,X,2016,6,24934,12.5491,2265,864,9.08398,3.46515
19,National,X,2016,7,27208,15.5359,3135,1092,11.5223,4.01353
20,National,X,2016,8,30966,18.3621,4410,1276,14.2414,4.12065
21,National,X,2016,9,33880,21.1098,5523,1629,16.3017,4.80815
22,National,X,2016,10,36781,23.6454,6679,2018,18.1588,5.48653
23,National,X,2016,11,34233,19.972,5047,1790,14.7431,5.22887
24,National,X,2016,12,30161,18.4709,3919,1652,12.9936,5.47727
25,National,X,2016,13,27603,16.2265,2965,1514,10.7416,5.48491
