generated on 30/07/2019 23:21:08 UTC																					
																					
Country	WHOREGION	FLUREGION	Year	Week	SDATE	EDATE	SPEC_RECEIVED_NB	SPEC_PROCESSED_NB	AH1	AH1N12009	AH3	AH5	ANOTSUBTYPED	INF_A	BYAMAGATA	BVICTORIA	BNOTDETERMINED	INF_B	ALL_INF	ALL_INF2	TITLE
United States of America	Region of the Americas of WHO	North America	2004	1	12/29/03	1/4/04		8311	0		462		1212	1674			12	12	1686		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2004	2	1/5/04	1/11/04		6789	0		279		569	848			8	8	856		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2004	3	1/12/04	1/18/04		5285	0		168		330	498			5	5	503		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2004	4	1/19/04	1/25/04		4201	0		95		160	255			3	3	258		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2004	5	1/26/04	2/1/04		4054	0		93		70	163			3	3	166		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2004	6	2/2/04	2/8/04		3566	1		46		57	104			2	2	106		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	7	2/9/04	2/15/04		3424	0		24		36	60			5	5	65		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	8	2/16/04	2/22/04		3048	0		29		19	48			8	8	56		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	9	2/23/04	2/29/04		2471	0		16		10	26			12	12	38		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	10	3/1/04	3/7/04		2566	0		4		6	10			8	8	18		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	11	3/8/04	3/14/04		2288	0		2		6	8			6	6	14		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	12	3/15/04	3/21/04		2170	0		4		7	11			2	2	13		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	13	3/22/04	3/28/04		1753	0		5		4	9			15	15	24		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	14	3/29/04	4/4/04		1786	0		3		5	8			9	9	17		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	15	4/5/04	4/11/04		1724	0		0		1	1			8	8	9		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	16	4/12/04	4/18/04		1516	0		0		3	3			12	12	15		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	17	4/19/04	4/25/04		1417	0		2		11	13			11	11	24		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	18	4/26/04	5/2/04		1338	0		0		4	4			7	7	11		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	19	5/3/04	5/9/04		1235	0		0		3	3			6	6	9		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	20	5/10/04	5/16/04		1200	0		0		0	0			2	2	2		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	21	5/17/04	5/23/04		1084	0		0		1	1			3	3	4		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	22	5/24/04	5/30/04		1041	0		1		2	3			3	3	6		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	23	5/31/04	6/6/04		798	0		0		2	2			4	4	6		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	24	6/7/04	6/13/04		775	0		0		1	1			2	2	3		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	25	6/14/04	6/20/04		797	0		0		0	0			2	2	2		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	26	6/21/04	6/27/04		685	0		1		1	2			1	1	3		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	27	6/28/04	7/4/04		634	0		1		0	1			2	2	3		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	28	7/5/04	7/11/04		491	0		0		0	0			1	1	1		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	29	7/12/04	7/18/04		660	0		0		0	0			2	2	2		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	30	7/19/04	7/25/04		471	0		0		0	0			2	2	2		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	31	7/26/04	8/1/04		602	0		8		0	8			0	0	8		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	32	8/2/04	8/8/04		540	0		1		0	1			1	1	2		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	33	8/9/04	8/15/04		521	0		1		0	1			0	0	1		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	34	8/16/04	8/22/04		576	0		0		0	0			1	1	1		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	35	8/23/04	8/29/04		733	0		0		3	3			1	1	4		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	36	8/30/04	9/5/04		709	0		4		0	4			0	0	4		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	37	9/6/04	9/12/04		698	0		0		0	0			3	3	3		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	38	9/13/04	9/19/04		783	0		1		4	5			2	2	7		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	39	9/20/04	9/26/04		763	0		2		1	3			1	1	4		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	40	9/27/04	10/3/04		854	0		4		8	12			2	2	14		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	41	10/4/04	10/10/04		1707	0		5		3	8			4	4	12		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	42	10/11/04	10/17/04		2049	0		10		3	13			1	1	14		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	43	10/18/04	10/24/04		2382	0		16		11	27			10	10	37		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	44	10/25/04	10/31/04		2624	0		13		12	25			7	7	32		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	45	11/1/04	11/7/04		2762	0		19		10	29			16	16	45		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	46	11/8/04	11/14/04		3059	0		28		10	38			24	24	62		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	47	11/15/04	11/21/04		3145	0		41		29	70			20	20	90		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	48	11/22/04	11/28/04		3115	0		18		22	40			21	21	61		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	49	11/29/04	12/5/04		3832	0		64		40	104			32	32	136		Sporadic
United States of America	Region of the Americas of WHO	North America	2004	50	12/6/04	12/12/04		3656	0		88		73	161			32	32	193		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2004	51	12/13/04	12/19/04		4324	1		108		121	230			45	45	275		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2004	52	12/20/04	12/26/04		4328	1		179		279	459			54	54	513		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2004	53	12/27/04	1/2/05		5728	0		325		503	828			123	123	951		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2005	1	1/3/05	1/9/05		6894	2		400		711	1113			166	166	1279		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2005	2	1/10/05	1/16/05		6592	2		298		631	931			182	182	1113		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2005	3	1/17/05	1/23/05		6870	2		374		889	1265			211	211	1476		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2005	4	1/24/05	1/30/05		7928	1		511		1045	1557			306	306	1863		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2005	5	1/31/05	2/6/05		8552	0		686		1214	1900			424	424	2324		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2005	6	2/7/05	2/13/05		9629	2		638		1451	2091			478	478	2569		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2005	7	2/14/05	2/20/05		10502	2		688		1396	2086			613	613	2699		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2005	8	2/21/05	2/27/05		9601	1		523		1133	1657			617	617	2274		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2005	9	2/28/05	3/6/05		8363	0		227		949	1176			518	518	1694		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2005	10	3/7/05	3/13/05		7542	0		161		633	794			415	415	1209		Widespread Outbreak
United States of America	Region of the Americas of WHO	North America	2005	11	3/14/05	3/20/05		6482	0		146		489	635			466	466	1101		Regional Outbreak
United States of America	Region of the Americas of WHO	North America	2005	12	3/21/05	3/27/05		5854	0		102		303	405			455	455	860		Local Outbreak
United States of America	Region of the Americas of WHO	North America	2005	13	3/28/05	4/3/05		5048	3		54		167	224			341	341	565		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	14	4/4/05	4/10/05		3861	0		47		95	142			210	210	352		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	15	4/11/05	4/17/05		3259	0		14		39	53			123	123	176		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	16	4/18/05	4/24/05		2828	1		21		26	48			73	73	121		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	17	4/25/05	5/1/05		2306	0		12		12	24			40	40	64		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	18	5/2/05	5/8/05		2183	0		10		8	18			30	30	48		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	19	5/9/05	5/15/05		2049	0		13		5	18			18	18	36		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	20	5/16/05	5/22/05		1796	0		20		3	23			16	16	39		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	21	5/23/05	5/29/05		1691	0		9		3	12			20	20	32		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	22	5/30/05	6/5/05		1546	0		6		3	9			15	15	24		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	23	6/6/05	6/12/05		1532	0		4		0	4			8	8	12		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	24	6/13/05	6/19/05		1392	0		3		1	4			10	10	14		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	25	6/20/05	6/26/05		1083	0		5		1	6			5	5	11		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	26	6/27/05	7/3/05		1101	0		0		6	6			1	1	7		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	27	7/4/05	7/10/05		950	0		1		0	1			4	4	5		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	28	7/11/05	7/17/05		863	0		0		0	0			2	2	2		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	29	7/18/05	7/24/05		849	0		0		1	1			2	2	3		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	30	7/25/05	7/31/05		1010	0		1		0	1			1	1	2		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	31	8/1/05	8/7/05		840	0		0		0	0			0	0	0		No Activity
United States of America	Region of the Americas of WHO	North America	2005	32	8/8/05	8/14/05		784	0		3		1	4			0	0	4		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	33	8/15/05	8/21/05		795	1		0		4	5			0	0	5		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	34	8/22/05	8/28/05		778	0		2		0	2			0	0	2		Sporadic
United States of America	Region of the Americas of WHO	North America	2005	35	8/29/05	9/4/05		714	0		0		3	3			1	1	4		Sporadic
