index,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,CC,COUGH,FLU_SYMP,FLU,GRIPE,INF_SYMP,INFL,OSELT,PREV,VACC
14,2004,1,6936,12.4279,76,65,55,21,25,80,28,5.0,0.0,3.0
15,2004,2,5411,9.33284,69,56,39,16,19,71,19,4.0,0.0,2.0
16,2004,3,4329,6.00601,63,55,31,14,31,30,15,3.0,0.0,3.0
17,2004,4,4166,3.98464,59,49,28,16,15,35,16,6.0,33.0,1.0
18,2004,5,3661,2.9227,50,49,20,16,15,26,16,5.0,0.0,1.0
19,2004,6,3530,1.8413599999999999,56,50,26,17,30,34,15,2.0,100.0,1.0
20,2004,7,3136,1.78571,45,49,21,14,35,17,13,2.0,66.0,1.0
21,2004,8,2559,1.48496,51,50,17,12,31,22,14,2.0,31.0,1.0
22,2004,9,2651,0.6789890000000001,43,48,10,9,12,56,11,1.0,0.0,1.0
23,2004,10,2369,0.590967,44,41,11,6,24,0,9,2.0,0.0,1.0
24,2004,11,2239,0.580616,45,49,12,7,22,17,9,1.0,64.0,1.0
25,2004,12,1801,1.33259,40,50,16,7,100,33,7,3.0,0.0,1.0
26,2004,13,1850,0.918919,43,46,11,6,37,16,8,1.0,0.0,1.0
27,2004,14,1778,0.5061869999999999,43,42,8,6,15,17,8,1.0,0.0,1.0
28,2004,15,1564,0.9590790000000001,37,47,8,4,27,36,8,0.0,0.0,0.0
29,2004,16,1449,1.65631,39,46,16,6,14,16,8,1.0,0.0,1.0
30,2004,17,1377,0.798838,36,46,11,5,16,24,7,1.0,0.0,1.0
31,2004,18,1298,0.6933739999999999,35,44,7,4,27,16,5,1.0,0.0,1.0
32,2004,19,1241,0.16116,38,48,7,4,23,16,6,1.0,31.0,1.0
33,2004,20,1105,0.361991,34,43,8,4,30,0,7,1.0,0.0,1.0
34,2004,21,1055,0.56872,33,43,7,4,24,27,6,1.0,0.0,1.0
35,2004,22,823,0.7290399999999999,33,50,12,3,23,17,5,0.0,0.0,1.0
36,2004,23,793,0.37831,32,51,10,3,22,0,6,1.0,0.0,0.0
37,2004,24,844,0.236967,31,43,7,3,22,0,4,1.0,0.0,1.0
38,2004,25,741,0.404858,31,38,11,3,15,17,4,1.0,0.0,1.0
39,2004,26,730,0.410959,31,40,5,3,17,0,4,2.0,0.0,1.0
40,2004,27,573,0.17452,30,51,7,4,31,18,5,1.0,0.0,1.0
41,2004,28,746,0.268097,29,47,5,3,14,26,4,2.0,0.0,1.0
42,2004,29,563,0.35524,30,42,8,4,21,0,5,1.0,0.0,1.0
43,2004,30,671,0.0,33,41,7,3,26,0,5,0.0,31.0,1.0
44,2004,31,628,0.318471,30,45,7,3,28,0,4,0.0,0.0,1.0
45,2004,32,620,0.16129000000000002,35,42,6,3,16,0,5,1.0,0.0,1.0
46,2004,33,647,0.15456,29,48,4,4,21,0,5,1.0,0.0,1.0
47,2004,34,823,0.48602700000000004,33,43,8,7,30,16,8,4.0,30.0,3.0
48,2004,35,827,0.483676,32,42,6,5,15,38,8,2.0,0.0,3.0
49,2004,36,822,0.364964,38,56,11,6,20,31,8,1.0,30.0,3.0
50,2004,37,907,0.771775,41,51,7,8,18,43,10,1.0,27.0,4.0
51,2004,38,890,0.449438,45,58,9,12,20,21,13,1.0,0.0,10.0
52,2004,39,919,1.52339,59,54,14,16,14,33,20,1.0,0.0,15.0
53,2004,40,1860,0.645161,63,54,22,63,18,42,77,5.0,27.0,73.0
54,2004,41,2154,0.649954,61,57,32,83,22,68,100,8.0,43.0,100.0
55,2004,42,2412,1.6169200000000001,56,62,44,80,34,32,96,7.0,61.0,83.0
