PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2019,40,1.50219,1.50774,6257,4845,X,7700,1780,1451,22033,2901,1461328
National,X,2019,41,1.6115,1.60801,6603,5184,X,7717,2035,1616,23155,2932,1439983
National,X,2019,42,1.74219,1.74705,7326,5582,X,8358,2131,1650,25047,2957,1433676
National,X,2019,43,1.84825,1.86695,7903,6106,X,9438,2324,1801,27572,2987,1476846
National,X,2019,44,2.05613,2.02082,8697,6177,X,10143,2308,1772,29097,2999,1439864
National,X,2019,45,2.40248,2.36561,10583,7192,X,12598,2484,1847,34704,3014,1467022
National,X,2019,46,2.63669,2.63362,11436,7883,X,13611,2765,1975,37670,2982,1430352
National,X,2019,47,2.89582,2.95315,12670,9086,X,16934,3120,2139,43949,2976,1488206
National,X,2019,48,3.41831,3.42866,14381,9139,X,14721,3223,2364,43828,2986,1278285
National,X,2019,49,3.27808,3.30924,13831,11919,X,16336,3969,2796,48851,2981,1476199
National,X,2019,50,3.96773,3.87445,14706,12824,X,21869,4159,2921,56479,2939,1457728
National,X,2019,51,5.10509,5.0422,18018,16267,X,29175,4875,3367,71702,2906,1422037
National,X,2019,52,7.10217,7.14885,24009,24604,X,33922,7682,5422,95639,2892,1337823
National,X,2020,1,5.97117,6.26117,21502,27575,X,23303,9213,6845,88438,2916,1412483
National,X,2020,2,4.97155,5.11327,15412,23478,X,22557,8162,5432,75041,2945,1467575
National,X,2020,3,5.352,5.40807,16387,21271,X,29341,7358,4707,79064,2935,1461962
National,X,2020,4,5.95755,6.06992,18420,23461,X,34979,7910,4610,89380,2935,1472507
National,X,2020,5,6.65845,6.94733,20051,28554,X,43544,9444,5402,106995,2913,1540089
National,X,2020,6,6.73364,7.15689,19882,29504,X,44592,9942,5599,109519,2902,1530260
National,X,2020,7,6.08861,6.28693,16947,25958,X,35889,9063,5289,93146,2830,1481581
National,X,2020,8,5.49834,5.72322,14352,22262,X,26264,7902,4866,75646,2635,1321739
