Category: All categories

Month,prevent flu: (United States)
2004-01,4
2004-02,6
2004-03,6
2004-04,0
2004-05,6
2004-06,0
2004-07,2
2004-08,2
2004-09,2
2004-10,12
2004-11,4
2004-12,5
2005-01,6
2005-02,9
2005-03,4
2005-04,2
2005-05,1
2005-06,1
2005-07,1
2005-08,3
2005-09,4
2005-10,12
2005-11,13
2005-12,6
2006-01,5
2006-02,5
2006-03,9
2006-04,3
2006-05,6
2006-06,2
2006-07,1
2006-08,2
2006-09,3
2006-10,6
2006-11,5
2006-12,7
2007-01,5
2007-02,5
2007-03,5
2007-04,3
2007-05,1
2007-06,1
2007-07,1
2007-08,2
2007-09,3
2007-10,3
2007-11,5
2007-12,5
2008-01,4
2008-02,7
2008-03,5
2008-04,2
2008-05,2
2008-06,<1
2008-07,2
2008-08,1
2008-09,1
2008-10,5
2008-11,6
2008-12,6
2009-01,4
2009-02,6
2009-03,5
2009-04,54
2009-05,30
2009-06,7
2009-07,7
2009-08,15
2009-09,34
2009-10,64
2009-11,30
2009-12,8
2010-01,8
2010-02,7
2010-03,5
2010-04,4
2010-05,2
2010-06,2
2010-07,1
2010-08,1
2010-09,5
2010-10,6
2010-11,6
2010-12,7
2011-01,8
2011-02,9
2011-03,6
2011-04,4
2011-05,4
2011-06,2
2011-07,1
2011-08,2
2011-09,5
2011-10,7
2011-11,9
2011-12,7
2012-01,8
2012-02,8
2012-03,5
2012-04,3
2012-05,4
2012-06,2
2012-07,2
2012-08,2
2012-09,6
2012-10,7
2012-11,11
2012-12,23
2013-01,55
2013-02,13
2013-03,9
2013-04,6
2013-05,4
2013-06,2
2013-07,2
2013-08,2
2013-09,6
2013-10,7
2013-11,9
2013-12,16
2014-01,26
2014-02,10
2014-03,7
2014-04,6
2014-05,3
2014-06,3
2014-07,2
2014-08,2
2014-09,6
2014-10,12
2014-11,10
2014-12,23
2015-01,22
2015-02,13
2015-03,9
2015-04,6
2015-05,4
2015-06,2
2015-07,2
2015-08,3
2015-09,5
2015-10,9
2015-11,8
2015-12,10
2016-01,8
2016-02,10
2016-03,12
2016-04,7
2016-05,4
2016-06,2
2016-07,2
2016-08,2
2016-09,6
2016-10,8
2016-11,8
2016-12,12
2017-01,17
2017-02,21
2017-03,13
2017-04,7
2017-05,5
2017-06,3
2017-07,3
2017-08,3
2017-09,8
2017-10,10
2017-11,11
2017-12,30
2018-01,100
2018-02,74
2018-03,15
2018-04,9
2018-05,6
2018-06,3
2018-07,3
2018-08,4
2018-09,11
2018-10,15
2018-11,15
2018-12,19
2019-01,25
2019-02,32
2019-03,20
2019-04,11
2019-05,6
2019-06,4
2019-07,4
