,index,influenza st pop,influenza dis pop,cc dis pop,flu st pop,flu symp st pop,influenza vaccine vacc pop,prevent flu st pop
0,2005-03-13,5.0,5.0,58.0,1.0,2.0,1.0,6.0
1,2005-03-20,6.0,5.0,56.0,1.0,2.0,1.0,0.0
2,2005-03-27,4.0,4.0,52.0,1.0,1.0,1.0,3.0
3,2005-04-03,5.0,4.0,50.0,1.0,1.0,0.0,0.0
4,2005-04-10,5.0,4.0,46.0,1.0,1.0,1.0,6.0
5,2005-04-17,5.0,3.0,39.0,1.0,1.0,1.0,0.0
6,2005-04-24,5.0,3.0,42.0,1.0,1.0,1.0,0.0
7,2005-05-01,4.0,3.0,40.0,1.0,1.0,1.0,0.0
8,2005-05-08,4.0,2.0,38.0,1.0,1.0,0.0,3.0
9,2005-05-15,4.0,2.0,37.0,1.0,1.0,0.0,0.0
10,2005-05-22,4.0,2.0,35.0,1.0,0.0,0.0,3.0
11,2005-05-29,2.0,2.0,33.0,1.0,1.0,1.0,0.0
12,2005-06-05,2.0,2.0,32.0,0.0,0.0,1.0,0.0
13,2005-06-12,2.0,2.0,32.0,0.0,0.0,1.0,0.0
14,2005-06-19,2.0,2.0,31.0,1.0,1.0,1.0,0.0
15,2005-06-26,2.0,2.0,33.0,0.0,1.0,1.0,0.0
16,2005-07-03,2.0,2.0,34.0,0.0,1.0,1.0,0.0
17,2005-07-10,2.0,2.0,28.0,0.0,1.0,0.0,0.0
18,2005-07-17,3.0,2.0,26.0,1.0,1.0,1.0,3.0
19,2005-07-24,2.0,2.0,31.0,1.0,1.0,1.0,3.0
20,2005-07-31,2.0,2.0,33.0,1.0,1.0,1.0,0.0
21,2005-08-07,2.0,2.0,33.0,1.0,1.0,1.0,3.0
22,2005-08-14,2.0,2.0,30.0,1.0,0.0,1.0,0.0
23,2005-08-21,3.0,2.0,36.0,1.0,1.0,1.0,0.0
24,2005-08-28,3.0,2.0,35.0,1.0,1.0,2.0,0.0
25,2005-09-04,3.0,3.0,47.0,1.0,1.0,2.0,3.0
26,2005-09-11,5.0,4.0,43.0,1.0,1.0,4.0,2.0
27,2005-09-18,5.0,6.0,49.0,2.0,1.0,5.0,5.0
28,2005-09-25,7.0,8.0,49.0,3.0,2.0,11.0,5.0
29,2005-10-02,10.0,16.0,49.0,7.0,2.0,23.0,5.0
30,2005-10-09,13.0,19.0,52.0,8.0,3.0,31.0,9.0
31,2005-10-16,10.0,17.0,53.0,7.0,3.0,32.0,6.0
32,2005-10-23,9.0,21.0,59.0,7.0,2.0,43.0,3.0
33,2005-10-30,11.0,26.0,58.0,9.0,4.0,55.0,5.0
34,2005-11-06,10.0,19.0,58.0,6.0,3.0,40.0,4.0
35,2005-11-13,10.0,15.0,66.0,5.0,3.0,27.0,7.0
36,2005-11-20,8.0,10.0,64.0,4.0,3.0,16.0,5.0
37,2005-11-27,8.0,10.0,72.0,3.0,2.0,16.0,4.0
38,2005-12-04,8.0,9.0,70.0,3.0,2.0,11.0,2.0
39,2005-12-11,7.0,8.0,70.0,3.0,2.0,8.0,4.0
40,2005-12-18,5.0,7.0,76.0,2.0,3.0,5.0,5.0
41,2005-12-25,6.0,10.0,89.0,3.0,3.0,6.0,3.0
42,2006-01-01,5.0,7.0,75.0,3.0,2.0,4.0,2.0
43,2006-01-08,6.0,6.0,63.0,2.0,2.0,3.0,4.0
44,2006-01-15,7.0,6.0,61.0,2.0,2.0,2.0,4.0
45,2006-01-22,8.0,6.0,60.0,2.0,2.0,2.0,3.0
46,2006-01-29,7.0,6.0,60.0,2.0,2.0,2.0,2.0
