,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,TOTAL A,TOTAL B,SZN,CC,COUGH,FLU_SYMP,FLU,GRIPE,INF_SYMP,INFL,OSELT,PREV,VACC,SUM,AVG
14,2004.0,15.0,1564.0,0.959079,3.0,12.0,1.0,37.0,47.0,8.0,4.0,27.0,36.0,8.0,0.0,0.0,0.0,167.0,16.7
15,2004.0,16.0,1449.0,1.65631,13.0,11.0,1.0,39.0,46.0,16.0,6.0,14.0,16.0,8.0,1.0,0.0,1.0,147.0,14.7
16,2004.0,17.0,1377.0,0.798838,4.0,7.0,0.0,36.0,46.0,11.0,5.0,16.0,24.0,7.0,1.0,0.0,1.0,147.0,14.7
17,2004.0,18.0,1298.0,0.6933739999999999,3.0,6.0,0.0,35.0,44.0,7.0,4.0,27.0,16.0,5.0,1.0,0.0,1.0,140.0,14.0
18,2004.0,19.0,1241.0,0.16116,0.0,2.0,0.0,38.0,48.0,7.0,4.0,23.0,16.0,6.0,1.0,31.0,1.0,175.0,17.5
19,2004.0,20.0,1105.0,0.361991,1.0,3.0,0.0,34.0,43.0,8.0,4.0,30.0,0.0,7.0,1.0,0.0,1.0,128.0,12.8
20,2004.0,21.0,1055.0,0.56872,3.0,3.0,0.0,33.0,43.0,7.0,4.0,24.0,27.0,6.0,1.0,0.0,1.0,146.0,14.6
21,2004.0,22.0,823.0,0.7290399999999999,2.0,4.0,0.0,33.0,50.0,12.0,3.0,23.0,17.0,5.0,0.0,0.0,1.0,144.0,14.4
22,2004.0,23.0,793.0,0.37831,1.0,2.0,0.0,32.0,51.0,10.0,3.0,22.0,0.0,6.0,1.0,0.0,0.0,125.0,12.5
23,2004.0,24.0,844.0,0.236967,0.0,2.0,0.0,31.0,43.0,7.0,3.0,22.0,0.0,4.0,1.0,0.0,1.0,112.0,11.2
24,2004.0,25.0,741.0,0.404858,2.0,1.0,0.0,31.0,38.0,11.0,3.0,15.0,17.0,4.0,1.0,0.0,1.0,121.0,12.1
25,2004.0,26.0,730.0,0.410959,1.0,2.0,0.0,31.0,40.0,5.0,3.0,17.0,0.0,4.0,2.0,0.0,1.0,103.0,10.3
26,2004.0,27.0,573.0,0.17452,0.0,1.0,0.0,30.0,51.0,7.0,4.0,31.0,18.0,5.0,1.0,0.0,1.0,148.0,14.8
27,2004.0,28.0,746.0,0.268097,0.0,2.0,0.0,29.0,47.0,5.0,3.0,14.0,26.0,4.0,2.0,0.0,1.0,131.0,13.1
28,2004.0,29.0,563.0,0.35524,0.0,2.0,0.0,30.0,42.0,8.0,4.0,21.0,0.0,5.0,1.0,0.0,1.0,112.0,11.2
