Week,gripe: (United States),WEEK
1/4/04,25,1
1/11/04,19,2
1/18/04,31,3
1/25/04,15,4
2/1/04,15,5
2/8/04,30,6
2/15/04,35,7
2/22/04,31,8
2/29/04,12,9
3/7/04,24,10
3/14/04,22,11
3/21/04,100,12
3/28/04,37,13
4/4/04,15,14
4/11/04,27,15
4/18/04,14,16
4/25/04,16,17
5/2/04,27,18
5/9/04,23,19
5/16/04,30,20
5/23/04,24,21
5/30/04,23,22
6/6/04,22,23
6/13/04,22,24
6/20/04,15,25
6/27/04,17,26
7/4/04,31,27
7/11/04,14,28
7/18/04,21,29
7/25/04,26,30
8/1/04,28,31
8/8/04,16,32
8/15/04,21,33
8/22/04,30,34
8/29/04,15,35
9/5/04,20,36
9/12/04,18,37
9/19/04,20,38
9/26/04,14,39
10/3/04,18,40
10/10/04,22,41
10/17/04,34,42
10/24/04,14,43
10/31/04,27,44
11/7/04,31,45
11/14/04,22,46
11/21/04,14,47
11/28/04,27,48
12/5/04,22,49
12/12/04,19,50
12/19/04,17,51
12/26/04,13,52
1/2/05,25,1
1/9/05,16,2
1/16/05,27,3
1/23/05,20,4
1/30/05,22,5
2/6/05,23,6
2/13/05,22,7
2/20/05,32,8
2/27/05,28,9
3/6/05,16,10
3/13/05,30,11
3/20/05,26,12
3/27/05,20,13
4/3/05,25,14
4/10/05,33,15
4/17/05,21,16
4/24/05,17,17
5/1/05,12,18
5/8/05,29,19
5/15/05,32,20
5/22/05,29,21
5/29/05,21,22
6/5/05,23,23
6/12/05,23,24
6/19/05,25,25
6/26/05,20,26
7/3/05,23,27
7/10/05,30,28
7/17/05,43,29
7/24/05,35,30
7/31/05,22,31
8/7/05,37,32
8/14/05,31,33
8/21/05,23,34
8/28/05,24,35
9/4/05,21,36
9/11/05,15,37
9/18/05,22,38
9/25/05,23,39
10/2/05,31,40
10/9/05,39,41
10/16/05,58,42
10/23/05,53,43
10/30/05,46,44
11/6/05,27,45
11/13/05,23,46
11/20/05,28,47
11/27/05,21,48
12/4/05,18,49
12/11/05,26,50
12/18/05,25,51
12/25/05,22,52
1/1/06,17,1
1/8/06,29,2
1/15/06,40,3
1/22/06,25,4
1/29/06,26,5
2/5/06,20,6
2/12/06,23,7
2/19/06,43,8
2/26/06,35,9
3/5/06,31,10
3/12/06,33,11
3/19/06,29,12
3/26/06,30,13
4/2/06,27,14
4/9/06,22,15
4/16/06,25,16
4/23/06,21,17
4/30/06,24,18
5/7/06,24,19
5/14/06,22,20
5/21/06,30,21
5/28/06,25,22
6/4/06,23,23
6/11/06,29,24
