Week,prevent flu: (United States),WEEK
1/4/04,0,1
1/11/04,0,2
1/18/04,0,3
1/25/04,33,4
2/1/04,0,5
2/8/04,100,6
2/15/04,66,7
2/22/04,31,8
2/29/04,0,9
3/7/04,0,10
3/14/04,64,11
3/21/04,0,12
3/28/04,0,13
4/4/04,0,14
4/11/04,0,15
4/18/04,0,16
4/25/04,0,17
5/2/04,0,18
5/9/04,31,19
5/16/04,0,20
5/23/04,0,21
5/30/04,0,22
6/6/04,0,23
6/13/04,0,24
6/20/04,0,25
6/27/04,0,26
7/4/04,0,27
7/11/04,0,28
7/18/04,0,29
7/25/04,31,30
8/1/04,0,31
8/8/04,0,32
8/15/04,0,33
8/22/04,30,34
8/29/04,0,35
9/5/04,30,36
9/12/04,27,37
9/19/04,0,38
9/26/04,0,39
10/3/04,27,40
10/10/04,43,41
10/17/04,61,42
10/24/04,45,43
10/31/04,38,44
11/7/04,0,45
11/14/04,29,46
11/21/04,30,47
11/28/04,24,48
12/5/04,47,49
12/12/04,75,50
12/19/04,31,51
12/26/04,0,52
1/2/05,24,1
1/9/05,0,2
1/16/05,0,3
1/23/05,55,4
1/30/05,22,5
2/6/05,44,6
2/13/05,44,7
2/20/05,39,8
2/27/05,68,9
3/6/05,22,10
3/13/05,0,11
3/20/05,34,12
3/27/05,0,13
4/3/05,33,14
4/10/05,43,15
4/17/05,22,16
4/24/05,0,17
5/1/05,0,18
5/8/05,0,19
5/15/05,0,20
5/22/05,22,21
5/29/05,0,22
6/5/05,0,23
6/12/05,0,24
6/19/05,0,25
6/26/05,0,26
7/3/05,0,27
7/10/05,0,28
7/17/05,21,29
7/24/05,21,30
7/31/05,21,31
8/7/05,0,32
8/14/05,20,33
8/21/05,0,34
8/28/05,0,35
9/4/05,20,36
9/11/05,18,37
9/18/05,46,38
9/25/05,37,39
10/2/05,62,40
10/9/05,96,41
10/16/05,47,42
10/23/05,35,43
10/30/05,58,44
11/6/05,33,45
11/13/05,61,46
11/20/05,32,47
11/27/05,42,48
12/4/05,16,49
12/11/05,27,50
12/18/05,18,51
12/25/05,21,52
1/1/06,17,1
1/8/06,36,2
1/15/06,15,3
1/22/06,25,4
1/29/06,24,5
2/5/06,51,6
2/12/06,36,7
2/19/06,37,8
2/26/06,24,9
3/5/06,19,10
3/12/06,43,11
3/19/06,21,12
3/26/06,14,13
4/2/06,36,14
4/9/06,15,15
4/16/06,29,16
4/23/06,0,17
4/30/06,49,18
5/7/06,21,19
5/14/06,14,20
5/21/06,15,21
5/28/06,16,22
6/4/06,14,23
6/11/06,0,24
6/18/06,0,25
6/25/06,0,26
7/2/06,0,27
7/9/06,14,28
7/16/06,0,29
7/23/06,28,30
7/30/06,21,31
8/6/06,0,32
8/13/06,0,33
8/20/06,13,34
8/27/06,13,35
9/3/06,14,36
9/10/06,12,37
9/17/06,12,38
9/24/06,37,39
10/1/06,19,40
10/8/06,12,41
10/15/06,12,42
10/22/06,40,43
10/29/06,28,44
11/5/06,17,45
11/12/06,38,46
11/19/06,27,47
11/26/06,33,48
12/3/06,29,49
12/10/06,23,50
12/17/06,29,51
12/24/06,29,52
12/31/06,24,1
1/7/07,32,2
1/14/07,32,3
1/21/07,14,4
1/28/07,16,5
2/4/07,21,6
2/11/07,15,7
2/18/07,26,8
2/25/07,25,9
3/4/07,27,10
3/11/07,21,11
3/18/07,10,12
3/25/07,21,13
4/1/07,20,14
4/8/07,10,15
4/15/07,10,16
4/22/07,10,17
4/29/07,10,18
5/6/07,9,19
5/13/07,9,20
5/20/07,19,21
5/27/07,0,22
6/3/07,9,23
6/10/07,0,24
6/17/07,0,25
6/24/07,0,26
7/1/07,0,27
7/8/07,19,28
7/15/07,9,29
7/22/07,0,30
7/29/07,0,31
8/5/07,9,32
8/12/07,0,33
8/19/07,18,34
8/26/07,9,35
9/2/07,0,36
9/9/07,8,37
