Week,Influenza vaccine: (United States),WEEK
1/4/04,3,1
1/11/04,2,2
1/18/04,3,3
1/25/04,1,4
2/1/04,1,5
2/8/04,1,6
2/15/04,1,7
2/22/04,1,8
2/29/04,1,9
3/7/04,1,10
3/14/04,1,11
3/21/04,1,12
3/28/04,1,13
4/4/04,1,14
4/11/04,<1,15
4/18/04,1,16
4/25/04,1,17
5/2/04,1,18
5/9/04,1,19
5/16/04,1,20
5/23/04,1,21
5/30/04,1,22
6/6/04,<1,23
6/13/04,1,24
6/20/04,1,25
6/27/04,1,26
7/4/04,1,27
7/11/04,1,28
7/18/04,1,29
7/25/04,1,30
8/1/04,1,31
8/8/04,1,32
8/15/04,1,33
8/22/04,3,34
8/29/04,3,35
9/5/04,3,36
9/12/04,4,37
9/19/04,10,38
9/26/04,15,39
10/3/04,73,40
10/10/04,100,41
10/17/04,83,42
10/24/04,57,43
10/31/04,27,44
11/7/04,19,45
11/14/04,14,46
11/21/04,9,47
11/28/04,8,48
12/5/04,9,49
12/12/04,11,50
12/19/04,8,51
12/26/04,6,52
1/2/05,7,1
1/9/05,6,2
1/16/05,5,3
1/23/05,5,4
1/30/05,5,5
2/6/05,3,6
2/13/05,3,7
2/20/05,3,8
2/27/05,2,9
3/6/05,2,10
3/13/05,1,11
3/20/05,1,12
3/27/05,1,13
4/3/05,<1,14
4/10/05,1,15
4/17/05,1,16
4/24/05,1,17
5/1/05,1,18
5/8/05,1,19
5/15/05,1,20
5/22/05,1,21
5/29/05,1,22
6/5/05,<1,23
6/12/05,1,24
6/19/05,1,25
6/26/05,1,26
7/3/05,1,27
7/10/05,1,28
7/17/05,1,29
7/24/05,1,30
7/31/05,1,31
8/7/05,1,32
8/14/05,1,33
8/21/05,1,34
8/28/05,2,35
9/4/05,3,36
9/11/05,5,37
9/18/05,6,38
9/25/05,12,39
10/2/05,24,40
10/9/05,36,41
10/16/05,38,42
10/23/05,49,43
10/30/05,61,44
11/6/05,44,45
11/13/05,34,46
11/20/05,19,47
11/27/05,17,48
12/4/05,12,49
12/11/05,10,50
12/18/05,6,51
12/25/05,6,52
1/1/06,5,1
1/8/06,3,2
1/15/06,3,3
1/22/06,2,4
1/29/06,2,5
2/5/06,2,6
2/12/06,2,7
2/19/06,2,8
2/26/06,2,9
3/5/06,1,10
3/12/06,2,11
3/19/06,1,12
3/26/06,1,13
4/2/06,1,14
4/9/06,1,15
4/16/06,1,16
4/23/06,1,17
4/30/06,1,18
5/7/06,1,19
5/14/06,1,20
5/21/06,1,21
5/28/06,1,22
6/4/06,1,23
6/11/06,1,24
6/18/06,1,25
6/25/06,1,26
7/2/06,1,27
7/9/06,1,28
7/16/06,1,29
7/23/06,1,30
7/30/06,1,31
8/6/06,1,32
8/13/06,1,33
8/20/06,1,34
8/27/06,1,35
9/3/06,2,36
9/10/06,3,37
9/17/06,6,38
9/24/06,10,39
10/1/06,23,40
10/8/06,26,41
10/15/06,34,42
10/22/06,38,43
10/29/06,37,44
11/5/06,31,45
11/12/06,29,46
11/19/06,14,47
11/26/06,17,48
12/3/06,11,49
12/10/06,8,50
12/17/06,5,51
12/24/06,4,52
12/31/06,4,1
1/7/07,3,2
1/14/07,2,3
1/21/07,2,4
1/28/07,2,5
2/4/07,3,6
2/11/07,4,7
2/18/07,2,8
2/25/07,1,9
3/4/07,1,10
3/11/07,1,11
3/18/07,1,12
3/25/07,1,13
4/1/07,1,14
4/8/07,1,15
4/15/07,1,16
4/22/07,1,17
4/29/07,1,18
5/6/07,<1,19
5/13/07,1,20
5/20/07,1,21
5/27/07,1,22
6/3/07,1,23
6/10/07,1,24
6/17/07,1,25
6/24/07,1,26
7/1/07,1,27
7/8/07,1,28
7/15/07,1,29
7/22/07,1,30
7/29/07,1,31
8/5/07,1,32
8/12/07,1,33
8/19/07,1,34
8/26/07,2,35
9/2/07,2,36
9/9/07,3,37
9/16/07,7,38
9/23/07,10,39
9/30/07,20,40
10/7/07,29,41
10/14/07,32,42
10/21/07,35,43
10/28/07,32,44
11/4/07,31,45
11/11/07,24,46
11/18/07,14,47
11/25/07,13,48
12/2/07,10,49
12/9/07,8,50
12/16/07,5,51
12/23/07,3,52
12/30/07,3,1
1/6/08,3,2
1/13/08,3,3
1/20/08,2,4
1/27/08,3,5
2/3/08,3,6
2/10/08,3,7
2/17/08,3,8
2/24/08,3,9
3/2/08,2,10
3/9/08,2,11
3/16/08,1,12
3/23/08,1,13
3/30/08,1,14
4/6/08,1,15
4/13/08,1,16
4/20/08,1,17
4/27/08,1,18
5/4/08,1,19
5/11/08,1,20
5/18/08,1,21
5/25/08,<1,22
6/1/08,1,23
6/8/08,1,24
6/15/08,1,25
6/22/08,<1,26
6/29/08,1,27
7/6/08,1,28
7/13/08,1,29
7/20/08,1,30
7/27/08,1,31
8/3/08,1,32
8/10/08,1,33
8/17/08,1,34
8/24/08,1,35
8/31/08,3,36
9/7/08,4,37
9/14/08,6,38
9/21/08,11,39
9/28/08,17,40
10/5/08,27,41
10/12/08,30,42
10/19/08,34,43
10/26/08,36,44
11/2/08,29,45
11/9/08,26,46
11/16/08,18,47
11/23/08,10,48
11/30/08,9,49
12/7/08,7,50
12/14/08,5,51
12/21/08,3,52
12/28/08,3,53
1/4/09,3,1
1/11/09,2,2
1/18/09,2,3
1/25/09,2,4
2/1/09,2,5
2/8/09,2,6
2/15/09,2,7
2/22/09,3,8
3/1/09,2,9
3/8/09,2,10
3/15/09,1,11
3/22/09,1,12
3/29/09,1,13
4/5/09,1,14
4/12/09,1,15
4/19/09,2,16
4/26/09,21,17
5/3/09,5,18
5/10/09,2,19
5/17/09,2,20
5/24/09,2,21
5/31/09,2,22
6/7/09,2,23
6/14/09,2,24
6/21/09,2,25
6/28/09,1,26
7/5/09,2,27
7/12/09,3,28
7/19/09,3,29
7/26/09,5,30
8/2/09,5,31
8/9/09,6,32
8/16/09,9,33
8/23/09,16,34
8/30/09,28,35
9/6/09,31,36
9/13/09,43,37
9/20/09,48,38
9/27/09,63,39
10/4/09,77,40
10/11/09,83,41
10/18/09,100,42
10/25/09,97,43
11/1/09,72,44
11/8/09,56,45
11/15/09,39,46
11/22/09,21,47
11/29/09,20,48
12/6/09,16,49
12/13/09,16,50
12/20/09,9,51
12/27/09,8,52
1/3/10,9,1
1/10/10,8,2
1/17/10,6,3
1/24/10,4,4
1/31/10,3,5
2/7/10,3,6
2/14/10,2,7
2/21/10,2,8
