Category: All categories

Week,Antibiotics: (United States)
2015-03-01,69
2015-03-08,67
2015-03-15,67
2015-03-22,66
2015-03-29,69
2015-04-05,66
2015-04-12,67
2015-04-19,69
2015-04-26,67
2015-05-03,65
2015-05-10,63
2015-05-17,63
2015-05-24,61
2015-05-31,64
2015-06-07,62
2015-06-14,61
2015-06-21,62
2015-06-28,63
2015-07-05,63
2015-07-12,64
2015-07-19,64
2015-07-26,63
2015-08-02,61
2015-08-09,60
2015-08-16,63
2015-08-23,63
2015-08-30,64
2015-09-06,64
2015-09-13,70
2015-09-20,67
2015-09-27,67
2015-10-04,66
2015-10-11,68
2015-10-18,70
2015-10-25,69
2015-11-01,70
2015-11-08,72
2015-11-15,75
2015-11-22,65
2015-11-29,70
2015-12-06,69
2015-12-13,70
2015-12-20,69
2015-12-27,71
2016-01-03,72
2016-01-10,68
2016-01-17,71
2016-01-24,72
2016-01-31,73
2016-02-07,75
2016-02-14,75
2016-02-21,78
2016-02-28,78
2016-03-06,75
2016-03-13,74
2016-03-20,74
2016-03-27,73
2016-04-03,71
2016-04-10,74
2016-04-17,70
2016-04-24,71
2016-05-01,69
2016-05-08,70
2016-05-15,69
2016-05-22,75
2016-05-29,68
2016-06-05,66
2016-06-12,65
2016-06-19,65
2016-06-26,66
2016-07-03,65
2016-07-10,67
2016-07-17,64
2016-07-24,66
2016-07-31,64
2016-08-07,61
2016-08-14,62
2016-08-21,66
2016-08-28,73
2016-09-04,75
2016-09-11,74
2016-09-18,74
2016-09-25,72
2016-10-02,71
2016-10-09,72
2016-10-16,72
2016-10-23,71
2016-10-30,71
2016-11-06,67
2016-11-13,74
2016-11-20,66
2016-11-27,72
2016-12-04,72
2016-12-11,72
2016-12-18,72
2016-12-25,74
2017-01-01,77
2017-01-08,77
2017-01-15,78
2017-01-22,78
2017-01-29,78
2017-02-05,81
2017-02-12,79
2017-02-19,81
2017-02-26,79
2017-03-05,78
2017-03-12,76
2017-03-19,83
2017-03-26,79
2017-04-02,78
2017-04-09,75
2017-04-16,77
2017-04-23,76
2017-04-30,75
2017-05-07,74
2017-05-14,73
2017-05-21,73
2017-05-28,72
2017-06-04,74
2017-06-11,73
2017-06-18,73
2017-06-25,73
2017-07-02,68
2017-07-09,75
2017-07-16,71
2017-07-23,73
2017-07-30,71
2017-08-06,70
2017-08-13,70
2017-08-20,65
2017-08-27,70
2017-09-03,68
2017-09-10,67
2017-09-17,74
2017-09-24,76
2017-10-01,75
2017-10-08,76
2017-10-15,77
2017-10-22,76
2017-10-29,75
2017-11-05,81
2017-11-12,81
2017-11-19,74
2017-11-26,80
2017-12-03,80
2017-12-10,81
2017-12-17,80
2017-12-24,84
2017-12-31,84
2018-01-07,87
2018-01-14,84
2018-01-21,88
2018-01-28,90
2018-02-04,89
2018-02-11,88
2018-02-18,84
2018-02-25,85
2018-03-04,80
2018-03-11,82
2018-03-18,81
2018-03-25,84
2018-04-01,84
2018-04-08,80
2018-04-15,79
2018-04-22,80
2018-04-29,79
2018-05-06,76
2018-05-13,74
2018-05-20,76
2018-05-27,75
2018-06-03,79
2018-06-10,77
2018-06-17,74
2018-06-24,75
2018-07-01,75
2018-07-08,77
2018-07-15,77
2018-07-22,78
2018-07-29,75
2018-08-05,75
2018-08-12,75
2018-08-19,75
2018-08-26,77
2018-09-02,76
2018-09-09,77
2018-09-16,80
2018-09-23,81
2018-09-30,81
2018-10-07,81
2018-10-14,85
2018-10-21,83
2018-10-28,84
2018-11-04,81
2018-11-11,83
2018-11-18,81
2018-11-25,83
2018-12-02,85
2018-12-09,87
2018-12-16,89
2018-12-23,89
2018-12-30,91
2019-01-06,95
2019-01-13,89
2019-01-20,88
2019-01-27,89
2019-02-03,90
2019-02-10,87
2019-02-17,91
2019-02-24,89
2019-03-03,88
2019-03-10,89
2019-03-17,92
2019-03-24,88
2019-03-31,87
2019-04-07,86
2019-04-14,85
2019-04-21,85
2019-04-28,83
2019-05-05,80
2019-05-12,81
2019-05-19,83
2019-05-26,80
2019-06-02,79
2019-06-09,78
2019-06-16,80
2019-06-23,80
2019-06-30,78
2019-07-07,79
2019-07-14,80
2019-07-21,80
2019-07-28,79
2019-08-04,79
2019-08-11,78
2019-08-18,78
2019-08-25,77
2019-09-01,75
2019-09-08,81
2019-09-15,82
2019-09-22,83
2019-09-29,82
2019-10-06,83
2019-10-13,82
2019-10-20,87
2019-10-27,85
2019-11-03,89
2019-11-10,92
2019-11-17,91
2019-11-24,85
2019-12-01,86
2019-12-08,89
2019-12-15,88
2019-12-22,95
2019-12-29,92
2020-01-05,94
2020-01-12,93
2020-01-19,95
2020-01-26,92
2020-02-02,94
2020-02-09,96
2020-02-16,98
2020-02-23,100
