Category: All categories

Week,Antibiotics: (United States)
2010-03-07,75
2010-03-14,78
2010-03-21,72
2010-03-28,76
2010-04-04,76
2010-04-11,75
2010-04-18,75
2010-04-25,71
2010-05-02,74
2010-05-09,73
2010-05-16,71
2010-05-23,68
2010-05-30,69
2010-06-06,66
2010-06-13,67
2010-06-20,64
2010-06-27,67
2010-07-04,62
2010-07-11,62
2010-07-18,61
2010-07-25,62
2010-08-01,64
2010-08-08,63
2010-08-15,62
2010-08-22,63
2010-08-29,64
2010-09-05,61
2010-09-12,68
2010-09-19,69
2010-09-26,65
2010-10-03,71
2010-10-10,66
2010-10-17,67
2010-10-24,70
2010-10-31,70
2010-11-07,72
2010-11-14,71
2010-11-21,68
2010-11-28,72
2010-12-05,72
2010-12-12,65
2010-12-19,65
2010-12-26,69
2011-01-02,79
2011-01-09,74
2011-01-16,76
2011-01-23,79
2011-01-30,79
2011-02-06,84
2011-02-13,82
2011-02-20,78
2011-02-27,79
2011-03-06,81
2011-03-13,76
2011-03-20,80
2011-03-27,83
2011-04-03,83
2011-04-10,78
2011-04-17,76
2011-04-24,75
2011-05-01,72
2011-05-08,75
2011-05-15,72
2011-05-22,75
2011-05-29,71
2011-06-05,74
2011-06-12,69
2011-06-19,69
2011-06-26,72
2011-07-03,70
2011-07-10,71
2011-07-17,69
2011-07-24,70
2011-07-31,68
2011-08-07,66
2011-08-14,67
2011-08-21,63
2011-08-28,69
2011-09-04,67
2011-09-11,72
2011-09-18,75
2011-09-25,74
2011-10-02,74
2011-10-09,76
2011-10-16,73
2011-10-23,76
2011-10-30,78
2011-11-06,74
2011-11-13,81
2011-11-20,73
2011-11-27,77
2011-12-04,77
2011-12-11,72
2011-12-18,72
2011-12-25,73
2012-01-01,76
2012-01-08,77
2012-01-15,74
2012-01-22,80
2012-01-29,76
2012-02-05,81
2012-02-12,83
2012-02-19,86
2012-02-26,85
2012-03-04,81
2012-03-11,81
2012-03-18,83
2012-03-25,82
2012-04-01,77
2012-04-08,79
2012-04-15,81
2012-04-22,80
2012-04-29,76
2012-05-06,75
2012-05-13,79
2012-05-20,77
2012-05-27,73
2012-06-03,73
2012-06-10,74
2012-06-17,74
2012-06-24,73
2012-07-01,73
2012-07-08,75
2012-07-15,73
2012-07-22,71
2012-07-29,71
2012-08-05,72
2012-08-12,75
2012-08-19,77
2012-08-26,77
2012-09-02,77
2012-09-09,80
2012-09-16,81
2012-09-23,79
2012-09-30,79
2012-10-07,76
2012-10-14,78
2012-10-21,80
2012-10-28,73
2012-11-04,78
2012-11-11,86
2012-11-18,80
2012-11-25,85
2012-12-02,85
2012-12-09,82
2012-12-16,79
2012-12-23,84
2012-12-30,88
2013-01-06,93
2013-01-13,90
2013-01-20,88
2013-01-27,85
2013-02-03,84
2013-02-10,82
2013-02-17,87
2013-02-24,86
2013-03-03,87
2013-03-10,92
2013-03-17,87
2013-03-24,84
2013-03-31,84
2013-04-07,85
2013-04-14,82
2013-04-21,83
2013-04-28,85
2013-05-05,84
2013-05-12,80
2013-05-19,79
2013-05-26,78
2013-06-02,77
2013-06-09,79
2013-06-16,76
2013-06-23,76
2013-06-30,79
2013-07-07,75
2013-07-14,79
2013-07-21,81
2013-07-28,78
2013-08-04,75
2013-08-11,79
2013-08-18,77
2013-08-25,78
2013-09-01,79
2013-09-08,81
2013-09-15,85
2013-09-22,87
2013-09-29,83
2013-10-06,82
2013-10-13,85
2013-10-20,87
2013-10-27,86
2013-11-03,87
2013-11-10,88
2013-11-17,88
2013-11-24,75
2013-12-01,82
2013-12-08,83
2013-12-15,91
2013-12-22,82
2013-12-29,85
2014-01-05,90
2014-01-12,91
2014-01-19,89
2014-01-26,87
2014-02-02,84
2014-02-09,86
2014-02-16,89
2014-02-23,88
2014-03-02,86
2014-03-09,86
2014-03-16,84
2014-03-23,86
2014-03-30,84
2014-04-06,90
2014-04-13,87
2014-04-20,86
2014-04-27,92
2014-05-04,84
2014-05-11,83
2014-05-18,85
2014-05-25,84
2014-06-01,82
2014-06-08,83
2014-06-15,81
2014-06-22,81
2014-06-29,82
2014-07-06,82
2014-07-13,83
2014-07-20,81
2014-07-27,81
2014-08-03,81
2014-08-10,77
2014-08-17,76
2014-08-24,79
2014-08-31,78
2014-09-07,84
2014-09-14,86
2014-09-21,86
2014-09-28,89
2014-10-05,88
2014-10-12,89
2014-10-19,88
2014-10-26,85
2014-11-02,87
2014-11-09,87
2014-11-16,91
2014-11-23,80
2014-11-30,90
2014-12-07,90
2014-12-14,88
2014-12-21,88
2014-12-28,93
2015-01-04,100
2015-01-11,97
2015-01-18,96
2015-01-25,92
2015-02-01,93
2015-02-08,92
2015-02-15,97
2015-02-22,94
2015-03-01,93
