Category: All categories

Week,Antimicrobial resistance: (United States)
2015-03-01,38
2015-03-08,33
2015-03-15,28
2015-03-22,30
2015-03-29,38
2015-04-05,37
2015-04-12,35
2015-04-19,33
2015-04-26,36
2015-05-03,29
2015-05-10,26
2015-05-17,22
2015-05-24,18
2015-05-31,20
2015-06-07,15
2015-06-14,16
2015-06-21,14
2015-06-28,12
2015-07-05,17
2015-07-12,14
2015-07-19,13
2015-07-26,13
2015-08-02,10
2015-08-09,11
2015-08-16,15
2015-08-23,17
2015-08-30,16
2015-09-06,20
2015-09-13,26
2015-09-20,22
2015-09-27,23
2015-10-04,25
2015-10-11,21
2015-10-18,24
2015-10-25,31
2015-11-01,30
2015-11-08,26
2015-11-15,40
2015-11-22,26
2015-11-29,29
2015-12-06,33
2015-12-13,24
2015-12-20,11
2015-12-27,15
2016-01-03,18
2016-01-10,16
2016-01-17,18
2016-01-24,24
2016-01-31,26
2016-02-07,25
2016-02-14,22
2016-02-21,29
2016-02-28,32
2016-03-06,30
2016-03-13,27
2016-03-20,23
2016-03-27,27
2016-04-03,26
2016-04-10,29
2016-04-17,31
2016-04-24,32
2016-05-01,27
2016-05-08,24
2016-05-15,23
2016-05-22,100
2016-05-29,51
2016-06-05,27
2016-06-12,17
2016-06-19,15
2016-06-26,19
2016-07-03,18
2016-07-10,17
2016-07-17,13
2016-07-24,13
2016-07-31,11
2016-08-07,9
2016-08-14,10
2016-08-21,13
2016-08-28,17
2016-09-04,19
2016-09-11,31
2016-09-18,30
2016-09-25,35
2016-10-02,30
2016-10-09,27
2016-10-16,28
2016-10-23,27
2016-10-30,27
2016-11-06,26
2016-11-13,30
2016-11-20,19
2016-11-27,32
2016-12-04,30
2016-12-11,22
2016-12-18,13
2016-12-25,9
2017-01-01,13
2017-01-08,32
2017-01-15,38
2017-01-22,35
2017-01-29,32
2017-02-05,31
2017-02-12,32
2017-02-19,27
2017-02-26,37
2017-03-05,33
2017-03-12,31
2017-03-19,29
2017-03-26,32
2017-04-02,31
2017-04-09,33
2017-04-16,31
2017-04-23,40
2017-04-30,33
2017-05-07,30
2017-05-14,23
2017-05-21,20
2017-05-28,19
2017-06-04,16
2017-06-11,15
2017-06-18,14
2017-06-25,15
2017-07-02,18
2017-07-09,17
2017-07-16,14
2017-07-23,15
2017-07-30,12
2017-08-06,14
2017-08-13,13
2017-08-20,11
2017-08-27,15
2017-09-03,16
2017-09-10,17
2017-09-17,21
2017-09-24,24
2017-10-01,27
2017-10-08,25
2017-10-15,27
2017-10-22,26
2017-10-29,32
2017-11-05,29
2017-11-12,33
2017-11-19,17
2017-11-26,33
2017-12-03,30
2017-12-10,23
2017-12-17,14
2017-12-24,8
2017-12-31,13
2018-01-07,20
2018-01-14,21
2018-01-21,22
2018-01-28,27
2018-02-04,27
2018-02-11,28
2018-02-18,25
2018-02-25,31
2018-03-04,31
2018-03-11,27
2018-03-18,30
2018-03-25,28
2018-04-01,40
2018-04-08,37
2018-04-15,32
2018-04-22,34
2018-04-29,33
2018-05-06,28
2018-05-13,26
2018-05-20,21
2018-05-27,18
2018-06-03,18
2018-06-10,14
2018-06-17,13
2018-06-24,16
2018-07-01,11
2018-07-08,11
2018-07-15,13
2018-07-22,12
2018-07-29,11
2018-08-05,14
2018-08-12,10
2018-08-19,13
2018-08-26,17
2018-09-02,19
2018-09-09,22
2018-09-16,25
2018-09-23,29
2018-09-30,26
2018-10-07,23
2018-10-14,25
2018-10-21,29
2018-10-28,29
2018-11-04,26
2018-11-11,28
2018-11-18,21
2018-11-25,30
2018-12-02,28
2018-12-09,25
2018-12-16,14
2018-12-23,7
2018-12-30,10
2019-01-06,16
2019-01-13,20
2019-01-20,24
2019-01-27,29
2019-02-03,27
2019-02-10,27
2019-02-17,29
2019-02-24,33
2019-03-03,29
2019-03-10,23
2019-03-17,33
2019-03-24,28
2019-03-31,28
2019-04-07,57
2019-04-14,32
2019-04-21,38
2019-04-28,36
2019-05-05,32
2019-05-12,26
2019-05-19,26
2019-05-26,17
2019-06-02,19
2019-06-09,17
2019-06-16,17
2019-06-23,15
2019-06-30,13
2019-07-07,14
2019-07-14,15
2019-07-21,13
2019-07-28,11
2019-08-04,12
2019-08-11,12
2019-08-18,14
2019-08-25,16
2019-09-01,14
2019-09-08,23
2019-09-15,24
2019-09-22,30
2019-09-29,27
2019-10-06,27
2019-10-13,27
2019-10-20,28
2019-10-27,26
2019-11-03,35
2019-11-10,45
2019-11-17,36
2019-11-24,24
2019-12-01,31
2019-12-08,27
2019-12-15,20
2019-12-22,9
2019-12-29,9
2020-01-05,19
2020-01-12,21
2020-01-19,20
2020-01-26,25
2020-02-02,25
2020-02-09,26
2020-02-16,28
2020-02-23,33
