Category: All categories

Week,Antimicrobial resistance: (United States)
2010-03-07,28
2010-03-14,28
2010-03-21,22
2010-03-28,18
2010-04-04,30
2010-04-11,31
2010-04-18,23
2010-04-25,27
2010-05-02,25
2010-05-09,21
2010-05-16,22
2010-05-23,15
2010-05-30,18
2010-06-06,16
2010-06-13,14
2010-06-20,12
2010-06-27,7
2010-07-04,10
2010-07-11,11
2010-07-18,13
2010-07-25,9
2010-08-01,12
2010-08-08,54
2010-08-15,27
2010-08-22,20
2010-08-29,20
2010-09-05,20
2010-09-12,75
2010-09-19,24
2010-09-26,29
2010-10-03,27
2010-10-10,28
2010-10-17,34
2010-10-24,35
2010-10-31,34
2010-11-07,24
2010-11-14,25
2010-11-21,19
2010-11-28,23
2010-12-05,34
2010-12-12,15
2010-12-19,8
2010-12-26,8
2011-01-02,16
2011-01-09,16
2011-01-16,19
2011-01-23,23
2011-01-30,22
2011-02-06,19
2011-02-13,25
2011-02-20,26
2011-02-27,33
2011-03-06,26
2011-03-13,24
2011-03-20,56
2011-03-27,60
2011-04-03,45
2011-04-10,48
2011-04-17,34
2011-04-24,27
2011-05-01,29
2011-05-08,26
2011-05-15,20
2011-05-22,23
2011-05-29,23
2011-06-05,21
2011-06-12,16
2011-06-19,12
2011-06-26,14
2011-07-03,13
2011-07-10,23
2011-07-17,15
2011-07-24,16
2011-07-31,14
2011-08-07,10
2011-08-14,12
2011-08-21,10
2011-08-28,14
2011-09-04,14
2011-09-11,19
2011-09-18,20
2011-09-25,24
2011-10-02,24
2011-10-09,25
2011-10-16,26
2011-10-23,23
2011-10-30,30
2011-11-06,26
2011-11-13,29
2011-11-20,17
2011-11-27,32
2011-12-04,28
2011-12-11,20
2011-12-18,7
2011-12-25,11
2012-01-01,12
2012-01-08,14
2012-01-15,15
2012-01-22,23
2012-01-29,26
2012-02-05,28
2012-02-12,27
2012-02-19,25
2012-02-26,20
2012-03-04,28
2012-03-11,23
2012-03-18,26
2012-03-25,24
2012-04-01,22
2012-04-08,26
2012-04-15,23
2012-04-22,27
2012-04-29,21
2012-05-06,19
2012-05-13,20
2012-05-20,16
2012-05-27,15
2012-06-03,20
2012-06-10,14
2012-06-17,11
2012-06-24,14
2012-07-01,11
2012-07-08,18
2012-07-15,13
2012-07-22,10
2012-07-29,10
2012-08-05,11
2012-08-12,11
2012-08-19,16
2012-08-26,11
2012-09-02,14
2012-09-09,18
2012-09-16,41
2012-09-23,19
2012-09-30,22
2012-10-07,24
2012-10-14,25
2012-10-21,21
2012-10-28,18
2012-11-04,21
2012-11-11,24
2012-11-18,23
2012-11-25,34
2012-12-02,31
2012-12-09,23
2012-12-16,17
2012-12-23,9
2012-12-30,13
2013-01-06,19
2013-01-13,20
2013-01-20,20
2013-01-27,32
2013-02-03,20
2013-02-10,22
2013-02-17,24
2013-02-24,31
2013-03-03,73
2013-03-10,47
2013-03-17,34
2013-03-24,28
2013-03-31,37
2013-04-07,30
2013-04-14,34
2013-04-21,34
2013-04-28,36
2013-05-05,43
2013-05-12,26
2013-05-19,21
2013-05-26,17
2013-06-02,22
2013-06-09,19
2013-06-16,14
2013-06-23,12
2013-06-30,12
2013-07-07,12
2013-07-14,15
2013-07-21,17
2013-07-28,14
2013-08-04,10
2013-08-11,11
2013-08-18,14
2013-08-25,14
2013-09-01,17
2013-09-08,19
2013-09-15,41
2013-09-22,30
2013-09-29,24
2013-10-06,29
2013-10-13,28
2013-10-20,41
2013-10-27,32
2013-11-03,29
2013-11-10,27
2013-11-17,37
2013-11-24,18
2013-12-01,29
2013-12-08,27
2013-12-15,25
2013-12-22,11
2013-12-29,22
2014-01-05,22
2014-01-12,22
2014-01-19,68
2014-01-26,77
2014-02-02,48
2014-02-09,34
2014-02-16,29
2014-02-23,30
2014-03-02,29
2014-03-09,29
2014-03-16,32
2014-03-23,25
2014-03-30,36
2014-04-06,30
2014-04-13,29
2014-04-20,31
2014-04-27,53
2014-05-04,45
2014-05-11,27
2014-05-18,26
2014-05-25,24
2014-06-01,19
2014-06-08,22
2014-06-15,19
2014-06-22,18
2014-06-29,17
2014-07-06,14
2014-07-13,14
2014-07-20,16
2014-07-27,15
2014-08-03,17
2014-08-10,14
2014-08-17,13
2014-08-24,15
2014-08-31,19
2014-09-07,19
2014-09-14,25
2014-09-21,24
2014-09-28,25
2014-10-05,26
2014-10-12,29
2014-10-19,31
2014-10-26,26
2014-11-02,30
2014-11-09,32
2014-11-16,34
2014-11-23,18
2014-11-30,40
2014-12-07,35
2014-12-14,19
2014-12-21,8
2014-12-28,8
2015-01-04,21
2015-01-11,23
2015-01-18,26
2015-01-25,27
2015-02-01,30
2015-02-08,28
2015-02-15,100
2015-02-22,63
2015-03-01,42
