Category: All categories

Week,Cold medicine: (United States)
2015-03-01,38
2015-03-08,40
2015-03-15,38
2015-03-22,37
2015-03-29,35
2015-04-05,31
2015-04-12,32
2015-04-19,31
2015-04-26,28
2015-05-03,28
2015-05-10,26
2015-05-17,25
2015-05-24,24
2015-05-31,23
2015-06-07,22
2015-06-14,21
2015-06-21,21
2015-06-28,19
2015-07-05,20
2015-07-12,19
2015-07-19,20
2015-07-26,20
2015-08-02,18
2015-08-09,20
2015-08-16,21
2015-08-23,24
2015-08-30,26
2015-09-06,30
2015-09-13,33
2015-09-20,34
2015-09-27,34
2015-10-04,35
2015-10-11,39
2015-10-18,41
2015-10-25,38
2015-11-01,40
2015-11-08,41
2015-11-15,52
2015-11-22,47
2015-11-29,47
2015-12-06,47
2015-12-13,50
2015-12-20,58
2015-12-27,67
2016-01-03,58
2016-01-10,56
2016-01-17,54
2016-01-24,55
2016-01-31,51
2016-02-07,53
2016-02-14,54
2016-02-21,51
2016-02-28,50
2016-03-06,45
2016-03-13,44
2016-03-20,41
2016-03-27,41
2016-04-03,38
2016-04-10,35
2016-04-17,34
2016-04-24,33
2016-05-01,32
2016-05-08,31
2016-05-15,31
2016-05-22,31
2016-05-29,28
2016-06-05,25
2016-06-12,23
2016-06-19,24
2016-06-26,22
2016-07-03,21
2016-07-10,19
2016-07-17,21
2016-07-24,21
2016-07-31,23
2016-08-07,21
2016-08-14,23
2016-08-21,26
2016-08-28,30
2016-09-04,36
2016-09-11,37
2016-09-18,38
2016-09-25,39
2016-10-02,40
2016-10-09,40
2016-10-16,39
2016-10-23,41
2016-10-30,40
2016-11-06,43
2016-11-13,49
2016-11-20,50
2016-11-27,53
2016-12-04,52
2016-12-11,55
2016-12-18,66
2016-12-25,72
2017-01-01,71
2017-01-08,63
2017-01-15,58
2017-01-22,57
2017-01-29,63
2017-02-05,61
2017-02-12,59
2017-02-19,57
2017-02-26,49
2017-03-05,48
2017-03-12,44
2017-03-19,45
2017-03-26,44
2017-04-02,40
2017-04-09,38
2017-04-16,36
2017-04-23,32
2017-04-30,33
2017-05-07,35
2017-05-14,31
2017-05-21,31
2017-05-28,30
2017-06-04,29
2017-06-11,26
2017-06-18,25
2017-06-25,23
2017-07-02,23
2017-07-09,22
2017-07-16,22
2017-07-23,21
2017-07-30,24
2017-08-06,24
2017-08-13,25
2017-08-20,27
2017-08-27,33
2017-09-03,49
2017-09-10,41
2017-09-17,42
2017-09-24,41
2017-10-01,39
2017-10-08,41
2017-10-15,46
2017-10-22,47
2017-10-29,50
2017-11-05,55
2017-11-12,60
2017-11-19,63
2017-11-26,63
2017-12-03,60
2017-12-10,67
2017-12-17,80
2017-12-24,96
2017-12-31,94
2018-01-07,75
2018-01-14,70
2018-01-21,67
2018-01-28,64
2018-02-04,65
2018-02-11,59
2018-02-18,55
2018-02-25,48
2018-03-04,47
2018-03-11,46
2018-03-18,45
2018-03-25,44
2018-04-01,44
2018-04-08,36
2018-04-15,37
2018-04-22,35
2018-04-29,34
2018-05-06,32
2018-05-13,31
2018-05-20,32
2018-05-27,31
2018-06-03,29
2018-06-10,28
2018-06-17,25
2018-06-24,25
2018-07-01,23
2018-07-08,22
2018-07-15,22
2018-07-22,21
2018-07-29,23
2018-08-05,24
2018-08-12,24
2018-08-19,27
2018-08-26,33
2018-09-02,36
2018-09-09,38
2018-09-16,42
2018-09-23,42
2018-09-30,44
2018-10-07,43
2018-10-14,46
2018-10-21,48
2018-10-28,50
2018-11-04,51
2018-11-11,57
2018-11-18,59
2018-11-25,61
2018-12-02,60
2018-12-09,61
2018-12-16,68
2018-12-23,84
2018-12-30,80
2019-01-06,67
2019-01-13,61
2019-01-20,63
2019-01-27,61
2019-02-03,63
2019-02-10,61
2019-02-17,64
2019-02-24,57
2019-03-03,56
2019-03-10,54
2019-03-17,54
2019-03-24,51
2019-03-31,46
2019-04-07,42
2019-04-14,42
2019-04-21,38
2019-04-28,38
2019-05-05,36
2019-05-12,37
2019-05-19,39
2019-05-26,34
2019-06-02,31
2019-06-09,27
2019-06-16,28
2019-06-23,25
2019-06-30,22
2019-07-07,22
2019-07-14,22
2019-07-21,21
2019-07-28,23
2019-08-04,24
2019-08-11,24
2019-08-18,29
2019-08-25,32
2019-09-01,35
2019-09-08,38
2019-09-15,43
2019-09-22,42
2019-09-29,42
2019-10-06,45
2019-10-13,46
2019-10-20,49
2019-10-27,52
2019-11-03,62
2019-11-10,62
2019-11-17,63
2019-11-24,65
2019-12-01,65
2019-12-08,68
2019-12-15,73
2019-12-22,100
2019-12-29,95
2020-01-05,72
2020-01-12,67
2020-01-19,68
2020-01-26,67
2020-02-02,67
2020-02-09,65
2020-02-16,63
2020-02-23,63
