Category: All categories

Week,Cold medicine: (United States)
2010-03-07,34
2010-03-14,33
2010-03-21,31
2010-03-28,28
2010-04-04,26
2010-04-11,24
2010-04-18,26
2010-04-25,25
2010-05-02,27
2010-05-09,23
2010-05-16,22
2010-05-23,22
2010-05-30,19
2010-06-06,19
2010-06-13,21
2010-06-20,17
2010-06-27,14
2010-07-04,21
2010-07-11,16
2010-07-18,17
2010-07-25,15
2010-08-01,16
2010-08-08,16
2010-08-15,15
2010-08-22,22
2010-08-29,20
2010-09-05,24
2010-09-12,30
2010-09-19,33
2010-09-26,28
2010-10-03,28
2010-10-10,32
2010-10-17,33
2010-10-24,33
2010-10-31,34
2010-11-07,39
2010-11-14,39
2010-11-21,35
2010-11-28,40
2010-12-05,40
2010-12-12,39
2010-12-19,43
2010-12-26,48
2011-01-02,52
2011-01-09,46
2011-01-16,48
2011-01-23,53
2011-01-30,51
2011-02-06,49
2011-02-13,52
2011-02-20,46
2011-02-27,46
2011-03-06,38
2011-03-13,37
2011-03-20,37
2011-03-27,39
2011-04-03,35
2011-04-10,32
2011-04-17,31
2011-04-24,27
2011-05-01,31
2011-05-08,27
2011-05-15,29
2011-05-22,26
2011-05-29,24
2011-06-05,24
2011-06-12,22
2011-06-19,22
2011-06-26,19
2011-07-03,20
2011-07-10,18
2011-07-17,20
2011-07-24,23
2011-07-31,19
2011-08-07,19
2011-08-14,22
2011-08-21,23
2011-08-28,25
2011-09-04,30
2011-09-11,36
2011-09-18,40
2011-09-25,43
2011-10-02,38
2011-10-09,41
2011-10-16,41
2011-10-23,43
2011-10-30,47
2011-11-06,47
2011-11-13,49
2011-11-20,51
2011-11-27,52
2011-12-04,48
2011-12-11,50
2011-12-18,55
2011-12-25,65
2012-01-01,60
2012-01-08,47
2012-01-15,51
2012-01-22,49
2012-01-29,48
2012-02-05,51
2012-02-12,49
2012-02-19,59
2012-02-26,52
2012-03-04,46
2012-03-11,40
2012-03-18,39
2012-03-25,34
2012-04-01,37
2012-04-08,37
2012-04-15,35
2012-04-22,39
2012-04-29,31
2012-05-06,32
2012-05-13,34
2012-05-20,31
2012-05-27,27
2012-06-03,31
2012-06-10,26
2012-06-17,24
2012-06-24,24
2012-07-01,23
2012-07-08,22
2012-07-15,23
2012-07-22,22
2012-07-29,24
2012-08-05,24
2012-08-12,27
2012-08-19,27
2012-08-26,32
2012-09-02,36
2012-09-09,39
2012-09-16,42
2012-09-23,47
2012-09-30,43
2012-10-07,47
2012-10-14,45
2012-10-21,46
2012-10-28,44
2012-11-04,48
2012-11-11,56
2012-11-18,59
2012-11-25,58
2012-12-02,59
2012-12-09,57
2012-12-16,72
2012-12-23,90
2012-12-30,93
2013-01-06,78
2013-01-13,67
2013-01-20,64
2013-01-27,63
2013-02-03,58
2013-02-10,56
2013-02-17,60
2013-02-24,51
2013-03-03,54
2013-03-10,52
2013-03-17,51
2013-03-24,51
2013-03-31,41
2013-04-07,39
2013-04-14,37
2013-04-21,38
2013-04-28,38
2013-05-05,39
2013-05-12,36
2013-05-19,32
2013-05-26,32
2013-06-02,30
2013-06-09,29
2013-06-16,28
2013-06-23,24
2013-06-30,24
2013-07-07,26
2013-07-14,28
2013-07-21,31
2013-07-28,26
2013-08-04,26
2013-08-11,29
2013-08-18,28
2013-08-25,32
2013-09-01,39
2013-09-08,37
2013-09-15,42
2013-09-22,63
2013-09-29,47
2013-10-06,47
2013-10-13,49
2013-10-20,49
2013-10-27,52
2013-11-03,57
2013-11-10,57
2013-11-17,57
2013-11-24,56
2013-12-01,57
2013-12-08,58
2013-12-15,64
2013-12-22,74
2013-12-29,83
2014-01-05,67
2014-01-12,62
2014-01-19,69
2014-01-26,61
2014-02-02,59
2014-02-09,55
2014-02-16,54
2014-02-23,51
2014-03-02,46
2014-03-09,46
2014-03-16,45
2014-03-23,47
2014-03-30,44
2014-04-06,45
2014-04-13,40
2014-04-20,45
2014-04-27,40
2014-05-04,34
2014-05-11,34
2014-05-18,34
2014-05-25,33
2014-06-01,32
2014-06-08,27
2014-06-15,26
2014-06-22,26
2014-06-29,25
2014-07-06,25
2014-07-13,24
2014-07-20,25
2014-07-27,25
2014-08-03,24
2014-08-10,26
2014-08-17,29
2014-08-24,32
2014-08-31,36
2014-09-07,39
2014-09-14,44
2014-09-21,46
2014-09-28,42
2014-10-05,45
2014-10-12,45
2014-10-19,48
2014-10-26,49
2014-11-02,54
2014-11-09,54
2014-11-16,60
2014-11-23,59
2014-11-30,64
2014-12-07,65
2014-12-14,72
2014-12-21,91
2014-12-28,100
2015-01-04,81
2015-01-11,65
2015-01-18,68
2015-01-25,65
2015-02-01,61
2015-02-08,64
2015-02-15,64
2015-02-22,59
2015-03-01,55
