Category: All categories

Week,Cough: (United States)
2015-03-01,46
2015-03-08,49
2015-03-15,47
2015-03-22,46
2015-03-29,45
2015-04-05,46
2015-04-12,44
2015-04-19,42
2015-04-26,40
2015-05-03,39
2015-05-10,39
2015-05-17,39
2015-05-24,39
2015-05-31,35
2015-06-07,35
2015-06-14,33
2015-06-21,32
2015-06-28,31
2015-07-05,30
2015-07-12,28
2015-07-19,28
2015-07-26,29
2015-08-02,28
2015-08-09,29
2015-08-16,30
2015-08-23,31
2015-08-30,32
2015-09-06,34
2015-09-13,39
2015-09-20,39
2015-09-27,39
2015-10-04,42
2015-10-11,44
2015-10-18,47
2015-10-25,46
2015-11-01,48
2015-11-08,50
2015-11-15,53
2015-11-22,52
2015-11-29,51
2015-12-06,52
2015-12-13,55
2015-12-20,61
2015-12-27,63
2016-01-03,60
2016-01-10,55
2016-01-17,57
2016-01-24,58
2016-01-31,57
2016-02-07,59
2016-02-14,63
2016-02-21,61
2016-02-28,57
2016-03-06,59
2016-03-13,55
2016-03-20,52
2016-03-27,50
2016-04-03,48
2016-04-10,46
2016-04-17,45
2016-04-24,43
2016-05-01,41
2016-05-08,41
2016-05-15,42
2016-05-22,40
2016-05-29,39
2016-06-05,38
2016-06-12,34
2016-06-19,34
2016-06-26,32
2016-07-03,31
2016-07-10,30
2016-07-17,30
2016-07-24,30
2016-07-31,29
2016-08-07,29
2016-08-14,29
2016-08-21,32
2016-08-28,35
2016-09-04,51
2016-09-11,44
2016-09-18,41
2016-09-25,44
2016-10-02,43
2016-10-09,44
2016-10-16,45
2016-10-23,45
2016-10-30,46
2016-11-06,48
2016-11-13,54
2016-11-20,53
2016-11-27,55
2016-12-04,54
2016-12-11,57
2016-12-18,65
2016-12-25,72
2017-01-01,71
2017-01-08,65
2017-01-15,63
2017-01-22,62
2017-01-29,65
2017-02-05,66
2017-02-12,66
2017-02-19,65
2017-02-26,57
2017-03-05,56
2017-03-12,55
2017-03-19,55
2017-03-26,55
2017-04-02,51
2017-04-09,50
2017-04-16,48
2017-04-23,46
2017-04-30,44
2017-05-07,45
2017-05-14,45
2017-05-21,44
2017-05-28,42
2017-06-04,41
2017-06-11,39
2017-06-18,37
2017-06-25,36
2017-07-02,34
2017-07-09,34
2017-07-16,33
2017-07-23,33
2017-07-30,33
2017-08-06,33
2017-08-13,33
2017-08-20,34
2017-08-27,36
2017-09-03,40
2017-09-10,42
2017-09-17,43
2017-09-24,45
2017-10-01,44
2017-10-08,46
2017-10-15,48
2017-10-22,50
2017-10-29,53
2017-11-05,57
2017-11-12,63
2017-11-19,62
2017-11-26,65
2017-12-03,64
2017-12-10,68
2017-12-17,81
2017-12-24,96
2017-12-31,93
2018-01-07,83
2018-01-14,78
2018-01-21,77
2018-01-28,77
2018-02-04,77
2018-02-11,74
2018-02-18,66
2018-02-25,61
2018-03-04,58
2018-03-11,57
2018-03-18,57
2018-03-25,55
2018-04-01,53
2018-04-08,49
2018-04-15,48
2018-04-22,49
2018-04-29,46
2018-05-06,47
2018-05-13,45
2018-05-20,46
2018-05-27,46
2018-06-03,43
2018-06-10,41
2018-06-17,39
2018-06-24,37
2018-07-01,36
2018-07-08,35
2018-07-15,34
2018-07-22,33
2018-07-29,33
2018-08-05,34
2018-08-12,34
2018-08-19,36
2018-08-26,39
2018-09-02,41
2018-09-09,43
2018-09-16,45
2018-09-23,52
2018-09-30,48
2018-10-07,49
2018-10-14,51
2018-10-21,53
2018-10-28,55
2018-11-04,58
2018-11-11,62
2018-11-18,65
2018-11-25,66
2018-12-02,68
2018-12-09,70
2018-12-16,79
2018-12-23,86
2018-12-30,88
2019-01-06,74
2019-01-13,69
2019-01-20,69
2019-01-27,70
2019-02-03,71
2019-02-10,71
2019-02-17,72
2019-02-24,69
2019-03-03,68
2019-03-10,69
2019-03-17,68
2019-03-24,65
2019-03-31,62
2019-04-07,57
2019-04-14,55
2019-04-21,55
2019-04-28,53
2019-05-05,53
2019-05-12,53
2019-05-19,53
2019-05-26,50
2019-06-02,48
2019-06-09,44
2019-06-16,45
2019-06-23,41
2019-06-30,38
2019-07-07,38
2019-07-14,37
2019-07-21,35
2019-07-28,36
2019-08-04,36
2019-08-11,37
2019-08-18,38
2019-08-25,39
2019-09-01,43
2019-09-08,47
2019-09-15,48
2019-09-22,50
2019-09-29,51
2019-10-06,53
2019-10-13,55
2019-10-20,58
2019-10-27,59
2019-11-03,67
2019-11-10,69
2019-11-17,72
2019-11-24,74
2019-12-01,72
2019-12-08,73
2019-12-15,79
2019-12-22,100
2019-12-29,99
2020-01-05,83
2020-01-12,76
2020-01-19,79
2020-01-26,83
2020-02-02,81
2020-02-09,81
2020-02-16,79
2020-02-23,79
