Category: All categories

Week,Cough: (United States)
2005-03-13,52
2005-03-20,63
2005-03-27,52
2005-04-03,45
2005-04-10,49
2005-04-17,42
2005-04-24,47
2005-05-01,56
2005-05-08,45
2005-05-15,48
2005-05-22,50
2005-05-29,44
2005-06-05,39
2005-06-12,39
2005-06-19,37
2005-06-26,35
2005-07-03,34
2005-07-10,31
2005-07-17,33
2005-07-24,34
2005-07-31,37
2005-08-07,36
2005-08-14,40
2005-08-21,36
2005-08-28,38
2005-09-04,40
2005-09-11,36
2005-09-18,45
2005-09-25,45
2005-10-02,43
2005-10-09,50
2005-10-16,46
2005-10-23,51
2005-10-30,52
2005-11-06,53
2005-11-13,52
2005-11-20,51
2005-11-27,55
2005-12-04,53
2005-12-11,57
2005-12-18,62
2005-12-25,71
2006-01-01,69
2006-01-08,63
2006-01-15,58
2006-01-22,54
2006-01-29,61
2006-02-05,61
2006-02-12,60
2006-02-19,60
2006-02-26,58
2006-03-05,63
2006-03-12,53
2006-03-19,50
2006-03-26,50
2006-04-02,52
2006-04-09,44
2006-04-16,44
2006-04-23,43
2006-04-30,40
2006-05-07,45
2006-05-14,43
2006-05-21,43
2006-05-28,45
2006-06-04,37
2006-06-11,38
2006-06-18,40
2006-06-25,35
2006-07-02,38
2006-07-09,37
2006-07-16,36
2006-07-23,35
2006-07-30,34
2006-08-06,34
2006-08-13,36
2006-08-20,35
2006-08-27,35
2006-09-03,39
2006-09-10,44
2006-09-17,48
2006-09-24,47
2006-10-01,47
2006-10-08,46
2006-10-15,50
2006-10-22,52
2006-10-29,55
2006-11-05,59
2006-11-12,58
2006-11-19,54
2006-11-26,61
2006-12-03,57
2006-12-10,62
2006-12-17,61
2006-12-24,65
2006-12-31,65
2007-01-07,61
2007-01-14,57
2007-01-21,60
2007-01-28,59
2007-02-04,65
2007-02-11,61
2007-02-18,63
2007-02-25,52
2007-03-04,53
2007-03-11,53
2007-03-18,58
2007-03-25,53
2007-04-01,49
2007-04-08,46
2007-04-15,48
2007-04-22,47
2007-04-29,43
2007-05-06,47
2007-05-13,44
2007-05-20,42
2007-05-27,42
2007-06-03,40
2007-06-10,40
2007-06-17,35
2007-06-24,37
2007-07-01,35
2007-07-08,33
2007-07-15,38
2007-07-22,34
2007-07-29,34
2007-08-05,32
2007-08-12,39
2007-08-19,38
2007-08-26,39
2007-09-02,39
2007-09-09,42
2007-09-16,45
2007-09-23,49
2007-09-30,54
2007-10-07,56
2007-10-14,56
2007-10-21,57
2007-10-28,60
2007-11-04,65
2007-11-11,64
2007-11-18,61
2007-11-25,65
2007-12-02,68
2007-12-09,62
2007-12-16,61
2007-12-23,69
2007-12-30,75
2008-01-06,72
2008-01-13,67
2008-01-20,71
2008-01-27,79
2008-02-03,86
2008-02-10,88
2008-02-17,80
2008-02-24,77
2008-03-02,72
2008-03-09,63
2008-03-16,62
2008-03-23,60
2008-03-30,57
2008-04-06,53
2008-04-13,55
2008-04-20,52
2008-04-27,51
2008-05-04,51
2008-05-11,50
2008-05-18,52
2008-05-25,46
2008-06-01,45
2008-06-08,45
2008-06-15,40
2008-06-22,41
2008-06-29,39
2008-07-06,41
2008-07-13,40
2008-07-20,36
2008-07-27,36
2008-08-03,36
2008-08-10,40
2008-08-17,40
2008-08-24,38
2008-08-31,41
2008-09-07,43
2008-09-14,50
2008-09-21,52
2008-09-28,54
2008-10-05,55
2008-10-12,59
2008-10-19,56
2008-10-26,59
2008-11-02,65
2008-11-09,69
2008-11-16,66
2008-11-23,66
2008-11-30,71
2008-12-07,71
2008-12-14,67
2008-12-21,69
2008-12-28,79
2009-01-04,74
2009-01-11,67
2009-01-18,68
2009-01-25,72
2009-02-01,81
2009-02-08,81
2009-02-15,82
2009-02-22,79
2009-03-01,74
2009-03-08,77
2009-03-15,73
2009-03-22,72
2009-03-29,68
2009-04-05,63
2009-04-12,62
2009-04-19,67
2009-04-26,71
2009-05-03,61
2009-05-10,58
2009-05-17,60
2009-05-24,63
2009-05-31,56
2009-06-07,54
2009-06-14,56
2009-06-21,53
2009-06-28,50
2009-07-05,49
2009-07-12,49
2009-07-19,45
2009-07-26,47
2009-08-02,46
2009-08-09,48
2009-08-16,47
2009-08-23,52
2009-08-30,58
2009-09-06,65
2009-09-13,69
2009-09-20,70
2009-09-27,78
2009-10-04,79
2009-10-11,87
2009-10-18,100
2009-10-25,96
2009-11-01,97
2009-11-08,95
2009-11-15,88
2009-11-22,84
2009-11-29,83
2009-12-06,75
2009-12-13,75
2009-12-20,81
2009-12-27,85
2010-01-03,80
2010-01-10,74
2010-01-17,73
2010-01-24,73
2010-01-31,74
2010-02-07,78
2010-02-14,77
2010-02-21,81
2010-02-28,78
2010-03-07,79
