Category: All categories

Week,Fever: (United States)
2015-03-01,51
2015-03-08,55
2015-03-15,51
2015-03-22,49
2015-03-29,48
2015-04-05,49
2015-04-12,48
2015-04-19,46
2015-04-26,46
2015-05-03,47
2015-05-10,43
2015-05-17,43
2015-05-24,45
2015-05-31,42
2015-06-07,44
2015-06-14,41
2015-06-21,43
2015-06-28,42
2015-07-05,42
2015-07-12,40
2015-07-19,41
2015-07-26,41
2015-08-02,40
2015-08-09,40
2015-08-16,41
2015-08-23,39
2015-08-30,41
2015-09-06,42
2015-09-13,44
2015-09-20,44
2015-09-27,43
2015-10-04,44
2015-10-11,46
2015-10-18,44
2015-10-25,43
2015-11-01,46
2015-11-08,45
2015-11-15,45
2015-11-22,43
2015-11-29,45
2015-12-06,46
2015-12-13,47
2015-12-20,49
2015-12-27,52
2016-01-03,50
2016-01-10,49
2016-01-17,52
2016-01-24,55
2016-01-31,57
2016-02-07,59
2016-02-14,64
2016-02-21,66
2016-02-28,68
2016-03-06,71
2016-03-13,63
2016-03-20,58
2016-03-27,58
2016-04-03,54
2016-04-10,52
2016-04-17,52
2016-04-24,48
2016-05-01,47
2016-05-08,48
2016-05-15,48
2016-05-22,48
2016-05-29,48
2016-06-05,47
2016-06-12,47
2016-06-19,45
2016-06-26,44
2016-07-03,43
2016-07-10,43
2016-07-17,45
2016-07-24,43
2016-07-31,42
2016-08-07,41
2016-08-14,40
2016-08-21,42
2016-08-28,44
2016-09-04,45
2016-09-11,47
2016-09-18,48
2016-09-25,45
2016-10-02,44
2016-10-09,45
2016-10-16,46
2016-10-23,45
2016-10-30,46
2016-11-06,43
2016-11-13,47
2016-11-20,44
2016-11-27,48
2016-12-04,46
2016-12-11,50
2016-12-18,55
2016-12-25,64
2017-01-01,61
2017-01-08,61
2017-01-15,63
2017-01-22,62
2017-01-29,70
2017-02-05,73
2017-02-12,71
2017-02-19,70
2017-02-26,60
2017-03-05,60
2017-03-12,59
2017-03-19,61
2017-03-26,59
2017-04-02,55
2017-04-09,52
2017-04-16,51
2017-04-23,49
2017-04-30,48
2017-05-07,48
2017-05-14,49
2017-05-21,47
2017-05-28,48
2017-06-04,46
2017-06-11,47
2017-06-18,46
2017-06-25,45
2017-07-02,44
2017-07-09,45
2017-07-16,44
2017-07-23,44
2017-07-30,44
2017-08-06,42
2017-08-13,43
2017-08-20,41
2017-08-27,43
2017-09-03,43
2017-09-10,44
2017-09-17,46
2017-09-24,48
2017-10-01,46
2017-10-08,48
2017-10-15,49
2017-10-22,50
2017-10-29,49
2017-11-05,51
2017-11-12,56
2017-11-19,54
2017-11-26,56
2017-12-03,55
2017-12-10,61
2017-12-17,78
2017-12-24,88
2017-12-31,84
2018-01-07,84
2018-01-14,84
2018-01-21,92
2018-01-28,93
2018-02-04,96
2018-02-11,88
2018-02-18,78
2018-02-25,66
2018-03-04,62
2018-03-11,59
2018-03-18,57
2018-03-25,58
2018-04-01,55
2018-04-08,53
2018-04-15,51
2018-04-22,53
2018-04-29,52
2018-05-06,50
2018-05-13,55
2018-05-20,52
2018-05-27,52
2018-06-03,49
2018-06-10,49
2018-06-17,48
2018-06-24,49
2018-07-01,48
2018-07-08,48
2018-07-15,47
2018-07-22,47
2018-07-29,47
2018-08-05,47
2018-08-12,47
2018-08-19,47
2018-08-26,48
2018-09-02,49
2018-09-09,49
2018-09-16,53
2018-09-23,52
2018-09-30,52
2018-10-07,53
2018-10-14,53
2018-10-21,51
2018-10-28,53
2018-11-04,52
2018-11-11,53
2018-11-18,53
2018-11-25,55
2018-12-02,54
2018-12-09,60
2018-12-16,68
2018-12-23,75
2018-12-30,70
2019-01-06,64
2019-01-13,64
2019-01-20,71
2019-01-27,72
2019-02-03,78
2019-02-10,76
2019-02-17,77
2019-02-24,73
2019-03-03,73
2019-03-10,73
2019-03-17,70
2019-03-24,65
2019-03-31,60
2019-04-07,60
2019-04-14,56
2019-04-21,55
2019-04-28,52
2019-05-05,53
2019-05-12,52
2019-05-19,54
2019-05-26,53
2019-06-02,51
2019-06-09,49
2019-06-16,50
2019-06-23,49
2019-06-30,46
2019-07-07,48
2019-07-14,47
2019-07-21,46
2019-07-28,45
2019-08-04,45
2019-08-11,46
2019-08-18,46
2019-08-25,47
2019-09-01,46
2019-09-08,48
2019-09-15,51
2019-09-22,53
2019-09-29,52
2019-10-06,52
2019-10-13,53
2019-10-20,54
2019-10-27,53
2019-11-03,58
2019-11-10,59
2019-11-17,63
2019-11-24,62
2019-12-01,63
2019-12-08,67
2019-12-15,76
2019-12-22,100
2019-12-29,88
2020-01-05,79
2020-01-12,80
2020-01-19,85
2020-01-26,95
2020-02-02,96
2020-02-09,91
2020-02-16,87
2020-02-23,86
