Category: All categories

Week,Fever: (United States)
2005-03-13,51
2005-03-20,48
2005-03-27,51
2005-04-03,49
2005-04-10,50
2005-04-17,53
2005-04-24,47
2005-05-01,48
2005-05-08,44
2005-05-15,45
2005-05-22,43
2005-05-29,47
2005-06-05,47
2005-06-12,40
2005-06-19,41
2005-06-26,36
2005-07-03,45
2005-07-10,44
2005-07-17,43
2005-07-24,41
2005-07-31,43
2005-08-07,42
2005-08-14,41
2005-08-21,50
2005-08-28,43
2005-09-04,45
2005-09-11,44
2005-09-18,47
2005-09-25,43
2005-10-02,44
2005-10-09,46
2005-10-16,37
2005-10-23,45
2005-10-30,40
2005-11-06,44
2005-11-13,40
2005-11-20,44
2005-11-27,44
2005-12-04,43
2005-12-11,46
2005-12-18,46
2005-12-25,53
2006-01-01,45
2006-01-08,46
2006-01-15,43
2006-01-22,51
2006-01-29,53
2006-02-05,51
2006-02-12,53
2006-02-19,56
2006-02-26,62
2006-03-05,58
2006-03-12,54
2006-03-19,56
2006-03-26,57
2006-04-02,52
2006-04-09,50
2006-04-16,50
2006-04-23,48
2006-04-30,47
2006-05-07,46
2006-05-14,41
2006-05-21,46
2006-05-28,45
2006-06-04,49
2006-06-11,46
2006-06-18,46
2006-06-25,44
2006-07-02,49
2006-07-09,47
2006-07-16,45
2006-07-23,49
2006-07-30,44
2006-08-06,45
2006-08-13,44
2006-08-20,45
2006-08-27,43
2006-09-03,48
2006-09-10,46
2006-09-17,50
2006-09-24,47
2006-10-01,52
2006-10-08,50
2006-10-15,47
2006-10-22,44
2006-10-29,43
2006-11-05,49
2006-11-12,47
2006-11-19,44
2006-11-26,45
2006-12-03,49
2006-12-10,51
2006-12-17,51
2006-12-24,51
2006-12-31,50
2007-01-07,50
2007-01-14,53
2007-01-21,55
2007-01-28,58
2007-02-04,65
2007-02-11,58
2007-02-18,63
2007-02-25,64
2007-03-04,63
2007-03-11,61
2007-03-18,57
2007-03-25,56
2007-04-01,53
2007-04-08,49
2007-04-15,47
2007-04-22,50
2007-04-29,50
2007-05-06,53
2007-05-13,47
2007-05-20,51
2007-05-27,56
2007-06-03,49
2007-06-10,48
2007-06-17,49
2007-06-24,50
2007-07-01,52
2007-07-08,50
2007-07-15,50
2007-07-22,48
2007-07-29,46
2007-08-05,50
2007-08-12,54
2007-08-19,50
2007-08-26,49
2007-09-02,51
2007-09-09,49
2007-09-16,49
2007-09-23,51
2007-09-30,52
2007-10-07,51
2007-10-14,55
2007-10-21,53
2007-10-28,48
2007-11-04,52
2007-11-11,52
2007-11-18,52
2007-11-25,51
2007-12-02,53
2007-12-09,49
2007-12-16,50
2007-12-23,53
2007-12-30,56
2008-01-06,61
2008-01-13,62
2008-01-20,64
2008-01-27,77
2008-02-03,82
2008-02-10,83
2008-02-17,76
2008-02-24,71
2008-03-02,71
2008-03-09,67
2008-03-16,57
2008-03-23,59
2008-03-30,58
2008-04-06,57
2008-04-13,51
2008-04-20,61
2008-04-27,50
2008-05-04,53
2008-05-11,52
2008-05-18,52
2008-05-25,52
2008-06-01,52
2008-06-08,54
2008-06-15,50
2008-06-22,52
2008-06-29,52
2008-07-06,53
2008-07-13,53
2008-07-20,50
2008-07-27,50
2008-08-03,50
2008-08-10,48
2008-08-17,49
2008-08-24,49
2008-08-31,50
2008-09-07,48
2008-09-14,50
2008-09-21,52
2008-09-28,47
2008-10-05,52
2008-10-12,47
2008-10-19,48
2008-10-26,49
2008-11-02,51
2008-11-09,51
2008-11-16,52
2008-11-23,49
2008-11-30,50
2008-12-07,52
2008-12-14,49
2008-12-21,52
2008-12-28,54
2009-01-04,56
2009-01-11,55
2009-01-18,59
2009-01-25,59
2009-02-01,68
2009-02-08,71
2009-02-15,70
2009-02-22,70
2009-03-01,70
2009-03-08,70
2009-03-15,60
2009-03-22,62
2009-03-29,55
2009-04-05,56
2009-04-12,58
2009-04-19,56
2009-04-26,84
2009-05-03,63
2009-05-10,61
2009-05-17,62
2009-05-24,63
2009-05-31,60
2009-06-07,58
2009-06-14,63
2009-06-21,62
2009-06-28,61
2009-07-05,54
2009-07-12,57
2009-07-19,52
2009-07-26,55
2009-08-02,58
2009-08-09,55
2009-08-16,55
2009-08-23,59
2009-08-30,61
2009-09-06,71
2009-09-13,72
2009-09-20,73
2009-09-27,79
2009-10-04,83
2009-10-11,88
2009-10-18,99
2009-10-25,100
2009-11-01,92
2009-11-08,85
2009-11-15,72
2009-11-22,66
2009-11-29,58
2009-12-06,55
2009-12-13,58
2009-12-20,56
2009-12-27,60
2010-01-03,56
2010-01-10,56
2010-01-17,57
2010-01-24,58
2010-01-31,57
2010-02-07,58
2010-02-14,61
2010-02-21,57
2010-02-28,61
2010-03-07,62
