Category: All categories

Week,Hand sanitizer: (United States)
2015-03-01,10
2015-03-08,10
2015-03-15,9
2015-03-22,9
2015-03-29,9
2015-04-05,10
2015-04-12,10
2015-04-19,9
2015-04-26,10
2015-05-03,10
2015-05-10,10
2015-05-17,9
2015-05-24,9
2015-05-31,9
2015-06-07,11
2015-06-14,11
2015-06-21,9
2015-06-28,10
2015-07-05,9
2015-07-12,10
2015-07-19,10
2015-07-26,10
2015-08-02,10
2015-08-09,10
2015-08-16,10
2015-08-23,11
2015-08-30,10
2015-09-06,10
2015-09-13,17
2015-09-20,11
2015-09-27,12
2015-10-04,11
2015-10-11,11
2015-10-18,10
2015-10-25,10
2015-11-01,10
2015-11-08,10
2015-11-15,11
2015-11-22,9
2015-11-29,10
2015-12-06,11
2015-12-13,9
2015-12-20,9
2015-12-27,8
2016-01-03,10
2016-01-10,10
2016-01-17,11
2016-01-24,11
2016-01-31,9
2016-02-07,11
2016-02-14,10
2016-02-21,10
2016-02-28,10
2016-03-06,10
2016-03-13,10
2016-03-20,9
2016-03-27,9
2016-04-03,10
2016-04-10,9
2016-04-17,10
2016-04-24,9
2016-05-01,10
2016-05-08,9
2016-05-15,10
2016-05-22,10
2016-05-29,9
2016-06-05,9
2016-06-12,10
2016-06-19,8
2016-06-26,11
2016-07-03,9
2016-07-10,10
2016-07-17,9
2016-07-24,9
2016-07-31,11
2016-08-07,10
2016-08-14,10
2016-08-21,11
2016-08-28,11
2016-09-04,14
2016-09-11,12
2016-09-18,11
2016-09-25,11
2016-10-02,10
2016-10-09,10
2016-10-16,10
2016-10-23,11
2016-10-30,10
2016-11-06,11
2016-11-13,10
2016-11-20,10
2016-11-27,12
2016-12-04,11
2016-12-11,11
2016-12-18,10
2016-12-25,9
2017-01-01,11
2017-01-08,11
2017-01-15,12
2017-01-22,12
2017-01-29,12
2017-02-05,12
2017-02-12,12
2017-02-19,11
2017-02-26,10
2017-03-05,12
2017-03-12,11
2017-03-19,11
2017-03-26,11
2017-04-02,13
2017-04-09,12
2017-04-16,13
2017-04-23,12
2017-04-30,12
2017-05-07,12
2017-05-14,11
2017-05-21,11
2017-05-28,10
2017-06-04,11
2017-06-11,10
2017-06-18,10
2017-06-25,11
2017-07-02,11
2017-07-09,12
2017-07-16,12
2017-07-23,11
2017-07-30,13
2017-08-06,13
2017-08-13,16
2017-08-20,12
2017-08-27,13
2017-09-03,11
2017-09-10,12
2017-09-17,13
2017-09-24,13
2017-10-01,12
2017-10-08,13
2017-10-15,12
2017-10-22,12
2017-10-29,12
2017-11-05,11
2017-11-12,13
2017-11-19,11
2017-11-26,13
2017-12-03,14
2017-12-10,15
2017-12-17,15
2017-12-24,12
2017-12-31,12
2018-01-07,17
2018-01-14,16
2018-01-21,18
2018-01-28,19
2018-02-04,19
2018-02-11,16
2018-02-18,14
2018-02-25,15
2018-03-04,14
2018-03-11,12
2018-03-18,13
2018-03-25,12
2018-04-01,12
2018-04-08,13
2018-04-15,13
2018-04-22,11
2018-04-29,12
2018-05-06,12
2018-05-13,11
2018-05-20,11
2018-05-27,11
2018-06-03,11
2018-06-10,12
2018-06-17,10
2018-06-24,11
2018-07-01,10
2018-07-08,11
2018-07-15,11
2018-07-22,13
2018-07-29,13
2018-08-05,13
2018-08-12,14
2018-08-19,13
2018-08-26,13
2018-09-02,13
2018-09-09,13
2018-09-16,12
2018-09-23,12
2018-09-30,13
2018-10-07,13
2018-10-14,13
2018-10-21,14
2018-10-28,13
2018-11-04,13
2018-11-11,12
2018-11-18,10
2018-11-25,13
2018-12-02,14
2018-12-09,14
2018-12-16,13
2018-12-23,10
2018-12-30,12
2019-01-06,14
2019-01-13,14
2019-01-20,13
2019-01-27,13
2019-02-03,15
2019-02-10,13
2019-02-17,13
2019-02-24,13
2019-03-03,12
2019-03-10,13
2019-03-17,13
2019-03-24,12
2019-03-31,12
2019-04-07,13
2019-04-14,12
2019-04-21,12
2019-04-28,13
2019-05-05,14
2019-05-12,12
2019-05-19,12
2019-05-26,11
2019-06-02,11
2019-06-09,12
2019-06-16,11
2019-06-23,11
2019-06-30,9
2019-07-07,12
2019-07-14,13
2019-07-21,14
2019-07-28,13
2019-08-04,13
2019-08-11,14
2019-08-18,13
2019-08-25,13
2019-09-01,13
2019-09-08,14
2019-09-15,15
2019-09-22,15
2019-09-29,14
2019-10-06,14
2019-10-13,14
2019-10-20,13
2019-10-27,12
2019-11-03,14
2019-11-10,14
2019-11-17,15
2019-11-24,12
2019-12-01,15
2019-12-08,16
2019-12-15,16
2019-12-22,12
2019-12-29,13
2020-01-05,15
2020-01-12,15
2020-01-19,18
2020-01-26,41
2020-02-02,35
2020-02-09,29
2020-02-16,27
2020-02-23,100
