Category: All categories

Week,Hand sanitizer: (United States)
2005-03-13,7
2005-03-20,6
2005-03-27,6
2005-04-03,7
2005-04-10,9
2005-04-17,7
2005-04-24,11
2005-05-01,9
2005-05-08,7
2005-05-15,7
2005-05-22,8
2005-05-29,6
2005-06-05,8
2005-06-12,9
2005-06-19,4
2005-06-26,7
2005-07-03,7
2005-07-10,6
2005-07-17,7
2005-07-24,7
2005-07-31,7
2005-08-07,7
2005-08-14,5
2005-08-21,12
2005-08-28,11
2005-09-04,9
2005-09-11,10
2005-09-18,12
2005-09-25,6
2005-10-02,10
2005-10-09,10
2005-10-16,10
2005-10-23,11
2005-10-30,12
2005-11-06,6
2005-11-13,11
2005-11-20,7
2005-11-27,8
2005-12-04,8
2005-12-11,6
2005-12-18,8
2005-12-25,6
2006-01-01,6
2006-01-08,7
2006-01-15,8
2006-01-22,11
2006-01-29,8
2006-02-05,11
2006-02-12,9
2006-02-19,7
2006-02-26,12
2006-03-05,8
2006-03-12,9
2006-03-19,14
2006-03-26,10
2006-04-02,10
2006-04-09,7
2006-04-16,7
2006-04-23,9
2006-04-30,8
2006-05-07,11
2006-05-14,8
2006-05-21,10
2006-05-28,9
2006-06-04,7
2006-06-11,8
2006-06-18,6
2006-06-25,6
2006-07-02,9
2006-07-09,8
2006-07-16,9
2006-07-23,7
2006-07-30,10
2006-08-06,9
2006-08-13,8
2006-08-20,9
2006-08-27,10
2006-09-03,7
2006-09-10,9
2006-09-17,11
2006-09-24,12
2006-10-01,11
2006-10-08,11
2006-10-15,11
2006-10-22,12
2006-10-29,10
2006-11-05,13
2006-11-12,11
2006-11-19,8
2006-11-26,11
2006-12-03,10
2006-12-10,10
2006-12-17,9
2006-12-24,8
2006-12-31,11
2007-01-07,13
2007-01-14,12
2007-01-21,15
2007-01-28,21
2007-02-04,16
2007-02-11,12
2007-02-18,9
2007-02-25,10
2007-03-04,15
2007-03-11,7
2007-03-18,6
2007-03-25,9
2007-04-01,11
2007-04-08,11
2007-04-15,11
2007-04-22,9
2007-04-29,12
2007-05-06,8
2007-05-13,10
2007-05-20,31
2007-05-27,42
2007-06-03,36
2007-06-10,28
2007-06-17,18
2007-06-24,14
2007-07-01,11
2007-07-08,18
2007-07-15,11
2007-07-22,12
2007-07-29,9
2007-08-05,9
2007-08-12,10
2007-08-19,13
2007-08-26,11
2007-09-02,12
2007-09-09,10
2007-09-16,13
2007-09-23,12
2007-09-30,13
2007-10-07,14
2007-10-14,16
2007-10-21,21
2007-10-28,18
2007-11-04,16
2007-11-11,17
2007-11-18,11
2007-11-25,14
2007-12-02,10
2007-12-09,12
2007-12-16,11
2007-12-23,10
2007-12-30,11
2008-01-06,14
2008-01-13,13
2008-01-20,15
2008-01-27,13
2008-02-03,12
2008-02-10,11
2008-02-17,12
2008-02-24,12
2008-03-02,14
2008-03-09,14
2008-03-16,11
2008-03-23,13
2008-03-30,13
2008-04-06,9
2008-04-13,11
2008-04-20,15
2008-04-27,10
2008-05-04,10
2008-05-11,11
2008-05-18,11
2008-05-25,10
2008-06-01,11
2008-06-08,11
2008-06-15,11
2008-06-22,10
2008-06-29,8
2008-07-06,9
2008-07-13,8
2008-07-20,13
2008-07-27,9
2008-08-03,11
2008-08-10,11
2008-08-17,13
2008-08-24,12
2008-08-31,10
2008-09-07,13
2008-09-14,10
2008-09-21,12
2008-09-28,12
2008-10-05,14
2008-10-12,11
2008-10-19,12
2008-10-26,15
2008-11-02,12
2008-11-09,16
2008-11-16,15
2008-11-23,12
2008-11-30,13
2008-12-07,15
2008-12-14,10
2008-12-21,9
2008-12-28,12
2009-01-04,12
2009-01-11,12
2009-01-18,13
2009-01-25,12
2009-02-01,13
2009-02-08,16
2009-02-15,13
2009-02-22,14
2009-03-01,16
2009-03-08,13
2009-03-15,14
2009-03-22,12
2009-03-29,15
2009-04-05,13
2009-04-12,12
2009-04-19,15
2009-04-26,100
2009-05-03,53
2009-05-10,30
2009-05-17,23
2009-05-24,18
2009-05-31,16
2009-06-07,27
2009-06-14,19
2009-06-21,15
2009-06-28,34
2009-07-05,24
2009-07-12,20
2009-07-19,20
2009-07-26,23
2009-08-02,36
2009-08-09,29
2009-08-16,28
2009-08-23,43
2009-08-30,52
2009-09-06,48
2009-09-13,59
2009-09-20,57
2009-09-27,47
2009-10-04,51
2009-10-11,51
2009-10-18,58
2009-10-25,68
2009-11-01,54
2009-11-08,41
2009-11-15,43
2009-11-22,25
2009-11-29,27
2009-12-06,26
2009-12-13,22
2009-12-20,16
2009-12-27,17
2010-01-03,21
2010-01-10,21
2010-01-17,17
2010-01-24,20
2010-01-31,19
2010-02-07,17
2010-02-14,16
2010-02-21,18
2010-02-28,19
2010-03-07,18
