Category: All categories

Week,Ibuprofen: (United States)
2015-03-01,53
2015-03-08,58
2015-03-15,55
2015-03-22,54
2015-03-29,56
2015-04-05,54
2015-04-12,55
2015-04-19,55
2015-04-26,53
2015-05-03,52
2015-05-10,51
2015-05-17,52
2015-05-24,54
2015-05-31,54
2015-06-07,54
2015-06-14,53
2015-06-21,52
2015-06-28,54
2015-07-05,64
2015-07-12,61
2015-07-19,58
2015-07-26,54
2015-08-02,54
2015-08-09,55
2015-08-16,56
2015-08-23,55
2015-08-30,55
2015-09-06,55
2015-09-13,57
2015-09-20,56
2015-09-27,55
2015-10-04,55
2015-10-11,57
2015-10-18,57
2015-10-25,55
2015-11-01,57
2015-11-08,55
2015-11-15,55
2015-11-22,53
2015-11-29,53
2015-12-06,55
2015-12-13,56
2015-12-20,60
2015-12-27,67
2016-01-03,59
2016-01-10,57
2016-01-17,62
2016-01-24,63
2016-01-31,60
2016-02-07,64
2016-02-14,66
2016-02-21,67
2016-02-28,63
2016-03-06,64
2016-03-13,62
2016-03-20,61
2016-03-27,63
2016-04-03,62
2016-04-10,63
2016-04-17,62
2016-04-24,60
2016-05-01,58
2016-05-08,59
2016-05-15,61
2016-05-22,62
2016-05-29,60
2016-06-05,59
2016-06-12,58
2016-06-19,59
2016-06-26,58
2016-07-03,58
2016-07-10,58
2016-07-17,59
2016-07-24,60
2016-07-31,58
2016-08-07,57
2016-08-14,57
2016-08-21,59
2016-08-28,60
2016-09-04,61
2016-09-11,62
2016-09-18,63
2016-09-25,63
2016-10-02,59
2016-10-09,60
2016-10-16,60
2016-10-23,59
2016-10-30,60
2016-11-06,56
2016-11-13,60
2016-11-20,58
2016-11-27,57
2016-12-04,59
2016-12-11,62
2016-12-18,63
2016-12-25,71
2017-01-01,67
2017-01-08,68
2017-01-15,70
2017-01-22,69
2017-01-29,71
2017-02-05,72
2017-02-12,72
2017-02-19,73
2017-02-26,67
2017-03-05,64
2017-03-12,71
2017-03-19,72
2017-03-26,68
2017-04-02,65
2017-04-09,64
2017-04-16,63
2017-04-23,63
2017-04-30,62
2017-05-07,65
2017-05-14,62
2017-05-21,62
2017-05-28,63
2017-06-04,62
2017-06-11,62
2017-06-18,62
2017-06-25,64
2017-07-02,62
2017-07-09,64
2017-07-16,63
2017-07-23,64
2017-07-30,65
2017-08-06,64
2017-08-13,64
2017-08-20,61
2017-08-27,62
2017-09-03,60
2017-09-10,62
2017-09-17,66
2017-09-24,66
2017-10-01,64
2017-10-08,64
2017-10-15,64
2017-10-22,64
2017-10-29,63
2017-11-05,66
2017-11-12,71
2017-11-19,71
2017-11-26,72
2017-12-03,68
2017-12-10,70
2017-12-17,75
2017-12-24,86
2017-12-31,86
2018-01-07,89
2018-01-14,84
2018-01-21,82
2018-01-28,84
2018-02-04,82
2018-02-11,81
2018-02-18,79
2018-02-25,72
2018-03-04,71
2018-03-11,70
2018-03-18,72
2018-03-25,76
2018-04-01,73
2018-04-08,69
2018-04-15,71
2018-04-22,72
2018-04-29,73
2018-05-06,70
2018-05-13,66
2018-05-20,69
2018-05-27,70
2018-06-03,69
2018-06-10,68
2018-06-17,71
2018-06-24,71
2018-07-01,71
2018-07-08,71
2018-07-15,73
2018-07-22,72
2018-07-29,70
2018-08-05,73
2018-08-12,69
2018-08-19,70
2018-08-26,72
2018-09-02,71
2018-09-09,69
2018-09-16,71
2018-09-23,72
2018-09-30,73
2018-10-07,73
2018-10-14,71
2018-10-21,71
2018-10-28,71
2018-11-04,70
2018-11-11,72
2018-11-18,72
2018-11-25,72
2018-12-02,92
2018-12-09,79
2018-12-16,80
2018-12-23,86
2018-12-30,89
2019-01-06,82
2019-01-13,80
2019-01-20,82
2019-01-27,91
2019-02-03,85
2019-02-10,82
2019-02-17,86
2019-02-24,83
2019-03-03,82
2019-03-10,82
2019-03-17,83
2019-03-24,82
2019-03-31,76
2019-04-07,76
2019-04-14,74
2019-04-21,75
2019-04-28,71
2019-05-05,71
2019-05-12,73
2019-05-19,74
2019-05-26,73
2019-06-02,69
2019-06-09,71
2019-06-16,72
2019-06-23,73
2019-06-30,70
2019-07-07,72
2019-07-14,73
2019-07-21,74
2019-07-28,73
2019-08-04,71
2019-08-11,71
2019-08-18,72
2019-08-25,70
2019-09-01,71
2019-09-08,72
2019-09-15,74
2019-09-22,76
2019-09-29,75
2019-10-06,73
2019-10-13,74
2019-10-20,75
2019-10-27,73
2019-11-03,78
2019-11-10,77
2019-11-17,80
2019-11-24,76
2019-12-01,79
2019-12-08,78
2019-12-15,84
2019-12-22,99
2019-12-29,100
2020-01-05,90
2020-01-12,87
2020-01-19,92
2020-01-26,90
2020-02-02,92
2020-02-09,92
2020-02-16,91
2020-02-23,89
