Category: All categories

Week,Ibuprofen: (United States)
2010-03-07,49
2010-03-14,49
2010-03-21,50
2010-03-28,49
2010-04-04,46
2010-04-11,47
2010-04-18,47
2010-04-25,57
2010-05-02,97
2010-05-09,64
2010-05-16,56
2010-05-23,53
2010-05-30,54
2010-06-06,52
2010-06-13,51
2010-06-20,50
2010-06-27,49
2010-07-04,50
2010-07-11,51
2010-07-18,51
2010-07-25,49
2010-08-01,49
2010-08-08,48
2010-08-15,50
2010-08-22,50
2010-08-29,49
2010-09-05,53
2010-09-12,52
2010-09-19,53
2010-09-26,51
2010-10-03,56
2010-10-10,53
2010-10-17,54
2010-10-24,52
2010-10-31,51
2010-11-07,51
2010-11-14,55
2010-11-21,53
2010-11-28,54
2010-12-05,54
2010-12-12,52
2010-12-19,58
2010-12-26,66
2011-01-02,68
2011-01-09,65
2011-01-16,68
2011-01-23,70
2011-01-30,67
2011-02-06,68
2011-02-13,67
2011-02-20,68
2011-02-27,70
2011-03-06,64
2011-03-13,64
2011-03-20,62
2011-03-27,64
2011-04-03,60
2011-04-10,63
2011-04-17,60
2011-04-24,61
2011-05-01,60
2011-05-08,59
2011-05-15,61
2011-05-22,59
2011-05-29,60
2011-06-05,60
2011-06-12,62
2011-06-19,57
2011-06-26,63
2011-07-03,63
2011-07-10,59
2011-07-17,59
2011-07-24,61
2011-07-31,61
2011-08-07,60
2011-08-14,63
2011-08-21,66
2011-08-28,60
2011-09-04,63
2011-09-11,66
2011-09-18,68
2011-09-25,66
2011-10-02,65
2011-10-09,66
2011-10-16,66
2011-10-23,61
2011-10-30,64
2011-11-06,65
2011-11-13,63
2011-11-20,66
2011-11-27,60
2011-12-04,61
2011-12-11,61
2011-12-18,64
2011-12-25,65
2012-01-01,66
2012-01-08,65
2012-01-15,67
2012-01-22,67
2012-01-29,69
2012-02-05,68
2012-02-12,67
2012-02-19,70
2012-02-26,69
2012-03-04,69
2012-03-11,68
2012-03-18,67
2012-03-25,67
2012-04-01,64
2012-04-08,66
2012-04-15,69
2012-04-22,71
2012-04-29,67
2012-05-06,66
2012-05-13,67
2012-05-20,68
2012-05-27,67
2012-06-03,65
2012-06-10,67
2012-06-17,66
2012-06-24,66
2012-07-01,64
2012-07-08,67
2012-07-15,64
2012-07-22,68
2012-07-29,68
2012-08-05,69
2012-08-12,69
2012-08-19,68
2012-08-26,68
2012-09-02,70
2012-09-09,69
2012-09-16,71
2012-09-23,73
2012-09-30,70
2012-10-07,67
2012-10-14,71
2012-10-21,68
2012-10-28,64
2012-11-04,68
2012-11-11,69
2012-11-18,66
2012-11-25,67
2012-12-02,75
2012-12-09,72
2012-12-16,69
2012-12-23,79
2012-12-30,84
2013-01-06,80
2013-01-13,81
2013-01-20,83
2013-01-27,76
2013-02-03,75
2013-02-10,78
2013-02-17,78
2013-02-24,77
2013-03-03,77
2013-03-10,77
2013-03-17,74
2013-03-24,73
2013-03-31,73
2013-04-07,73
2013-04-14,74
2013-04-21,72
2013-04-28,71
2013-05-05,70
2013-05-12,69
2013-05-19,69
2013-05-26,73
2013-06-02,69
2013-06-09,69
2013-06-16,72
2013-06-23,70
2013-06-30,73
2013-07-07,72
2013-07-14,72
2013-07-21,72
2013-07-28,71
2013-08-04,76
2013-08-11,72
2013-08-18,72
2013-08-25,73
2013-09-01,80
2013-09-08,80
2013-09-15,75
2013-09-22,82
2013-09-29,77
2013-10-06,88
2013-10-13,78
2013-10-20,75
2013-10-27,75
2013-11-03,74
2013-11-10,75
2013-11-17,71
2013-11-24,70
2013-12-01,69
2013-12-08,70
2013-12-15,74
2013-12-22,82
2013-12-29,85
2014-01-05,83
2014-01-12,85
2014-01-19,82
2014-01-26,77
2014-02-02,76
2014-02-09,77
2014-02-16,75
2014-02-23,79
2014-03-02,74
2014-03-09,74
2014-03-16,75
2014-03-23,78
2014-03-30,75
2014-04-06,79
2014-04-13,75
2014-04-20,81
2014-04-27,76
2014-05-04,75
2014-05-11,74
2014-05-18,75
2014-05-25,73
2014-06-01,71
2014-06-08,73
2014-06-15,71
2014-06-22,71
2014-06-29,74
2014-07-06,74
2014-07-13,74
2014-07-20,77
2014-07-27,77
2014-08-03,79
2014-08-10,73
2014-08-17,76
2014-08-24,75
2014-08-31,77
2014-09-07,76
2014-09-14,76
2014-09-21,78
2014-09-28,78
2014-10-05,77
2014-10-12,75
2014-10-19,73
2014-10-26,75
2014-11-02,77
2014-11-09,75
2014-11-16,75
2014-11-23,73
2014-11-30,78
2014-12-07,80
2014-12-14,92
2014-12-21,100
2014-12-28,100
2015-01-04,89
2015-01-11,86
2015-01-18,85
2015-01-25,87
2015-02-01,84
2015-02-08,80
2015-02-15,80
2015-02-22,82
2015-03-01,80
