Category: All categories

Week,Immunity: (United States)
2015-03-01,48
2015-03-08,48
2015-03-15,48
2015-03-22,59
2015-03-29,48
2015-04-05,50
2015-04-12,54
2015-04-19,53
2015-04-26,50
2015-05-03,51
2015-05-10,48
2015-05-17,46
2015-05-24,37
2015-05-31,40
2015-06-07,38
2015-06-14,30
2015-06-21,27
2015-06-28,31
2015-07-05,31
2015-07-12,28
2015-07-19,30
2015-07-26,31
2015-08-02,27
2015-08-09,29
2015-08-16,29
2015-08-23,33
2015-08-30,36
2015-09-06,35
2015-09-13,59
2015-09-20,48
2015-09-27,43
2015-10-04,44
2015-10-11,41
2015-10-18,45
2015-10-25,44
2015-11-01,45
2015-11-08,45
2015-11-15,47
2015-11-22,36
2015-11-29,49
2015-12-06,48
2015-12-13,42
2015-12-20,28
2015-12-27,30
2016-01-03,42
2016-01-10,39
2016-01-17,43
2016-01-24,47
2016-01-31,45
2016-02-07,47
2016-02-14,47
2016-02-21,53
2016-02-28,61
2016-03-06,53
2016-03-13,48
2016-03-20,47
2016-03-27,51
2016-04-03,51
2016-04-10,53
2016-04-17,55
2016-04-24,53
2016-05-01,51
2016-05-08,51
2016-05-15,48
2016-05-22,41
2016-05-29,38
2016-06-05,37
2016-06-12,29
2016-06-19,30
2016-06-26,29
2016-07-03,29
2016-07-10,33
2016-07-17,31
2016-07-24,30
2016-07-31,31
2016-08-07,29
2016-08-14,29
2016-08-21,32
2016-08-28,35
2016-09-04,36
2016-09-11,44
2016-09-18,44
2016-09-25,48
2016-10-02,47
2016-10-09,44
2016-10-16,45
2016-10-23,48
2016-10-30,49
2016-11-06,44
2016-11-13,49
2016-11-20,36
2016-11-27,51
2016-12-04,53
2016-12-11,48
2016-12-18,36
2016-12-25,34
2017-01-01,42
2017-01-08,50
2017-01-15,51
2017-01-22,50
2017-01-29,51
2017-02-05,53
2017-02-12,53
2017-02-19,52
2017-02-26,55
2017-03-05,53
2017-03-12,50
2017-03-19,51
2017-03-26,95
2017-04-02,56
2017-04-09,51
2017-04-16,52
2017-04-23,56
2017-04-30,54
2017-05-07,55
2017-05-14,51
2017-05-21,49
2017-05-28,38
2017-06-04,37
2017-06-11,34
2017-06-18,32
2017-06-25,33
2017-07-02,30
2017-07-09,32
2017-07-16,32
2017-07-23,32
2017-07-30,31
2017-08-06,32
2017-08-13,32
2017-08-20,32
2017-08-27,36
2017-09-03,37
2017-09-10,42
2017-09-17,42
2017-09-24,44
2017-10-01,43
2017-10-08,45
2017-10-15,46
2017-10-22,50
2017-10-29,48
2017-11-05,50
2017-11-12,50
2017-11-19,40
2017-11-26,49
2017-12-03,52
2017-12-10,54
2017-12-17,43
2017-12-24,40
2017-12-31,48
2018-01-07,54
2018-01-14,63
2018-01-21,77
2018-01-28,67
2018-02-04,60
2018-02-11,59
2018-02-18,54
2018-02-25,56
2018-03-04,52
2018-03-11,50
2018-03-18,52
2018-03-25,47
2018-04-01,51
2018-04-08,53
2018-04-15,54
2018-04-22,54
2018-04-29,54
2018-05-06,53
2018-05-13,48
2018-05-20,44
2018-05-27,39
2018-06-03,41
2018-06-10,38
2018-06-17,33
2018-06-24,32
2018-07-01,31
2018-07-08,35
2018-07-15,40
2018-07-22,37
2018-07-29,34
2018-08-05,36
2018-08-12,36
2018-08-19,55
2018-08-26,42
2018-09-02,39
2018-09-09,46
2018-09-16,45
2018-09-23,47
2018-09-30,48
2018-10-07,51
2018-10-14,51
2018-10-21,51
2018-10-28,53
2018-11-04,50
2018-11-11,50
2018-11-18,40
2018-11-25,54
2018-12-02,54
2018-12-09,57
2018-12-16,46
2018-12-23,38
2018-12-30,43
2019-01-06,49
2019-01-13,51
2019-01-20,52
2019-01-27,56
2019-02-03,57
2019-02-10,56
2019-02-17,56
2019-02-24,58
2019-03-03,59
2019-03-10,55
2019-03-17,55
2019-03-24,59
2019-03-31,59
2019-04-07,61
2019-04-14,60
2019-04-21,61
2019-04-28,67
2019-05-05,58
2019-05-12,57
2019-05-19,49
2019-05-26,43
2019-06-02,42
2019-06-09,38
2019-06-16,38
2019-06-23,35
2019-06-30,32
2019-07-07,35
2019-07-14,37
2019-07-21,35
2019-07-28,32
2019-08-04,32
2019-08-11,33
2019-08-18,39
2019-08-25,38
2019-09-01,40
2019-09-08,44
2019-09-15,45
2019-09-22,50
2019-09-29,50
2019-10-06,59
2019-10-13,54
2019-10-20,52
2019-10-27,55
2019-11-03,55
2019-11-10,56
2019-11-17,58
2019-11-24,41
2019-12-01,51
2019-12-08,54
2019-12-15,50
2019-12-22,40
2019-12-29,43
2020-01-05,52
2020-01-12,52
2020-01-19,59
2020-01-26,71
2020-02-02,69
2020-02-09,63
2020-02-16,62
2020-02-23,100
