Category: All categories

Week,Nasal congestion: (United States)
2015-03-01,52
2015-03-08,52
2015-03-15,53
2015-03-22,50
2015-03-29,52
2015-04-05,48
2015-04-12,43
2015-04-19,44
2015-04-26,44
2015-05-03,43
2015-05-10,39
2015-05-17,40
2015-05-24,40
2015-05-31,35
2015-06-07,34
2015-06-14,31
2015-06-21,31
2015-06-28,30
2015-07-05,27
2015-07-12,28
2015-07-19,26
2015-07-26,29
2015-08-02,30
2015-08-09,31
2015-08-16,33
2015-08-23,38
2015-08-30,42
2015-09-06,45
2015-09-13,49
2015-09-20,51
2015-09-27,45
2015-10-04,43
2015-10-11,48
2015-10-18,45
2015-10-25,43
2015-11-01,40
2015-11-08,46
2015-11-15,46
2015-11-22,49
2015-11-29,47
2015-12-06,45
2015-12-13,49
2015-12-20,59
2015-12-27,68
2016-01-03,60
2016-01-10,51
2016-01-17,58
2016-01-24,60
2016-01-31,57
2016-02-07,59
2016-02-14,60
2016-02-21,56
2016-02-28,55
2016-03-06,53
2016-03-13,51
2016-03-20,52
2016-03-27,49
2016-04-03,47
2016-04-10,46
2016-04-17,46
2016-04-24,44
2016-05-01,42
2016-05-08,46
2016-05-15,45
2016-05-22,44
2016-05-29,39
2016-06-05,38
2016-06-12,35
2016-06-19,35
2016-06-26,34
2016-07-03,33
2016-07-10,31
2016-07-17,31
2016-07-24,32
2016-07-31,34
2016-08-07,32
2016-08-14,35
2016-08-21,40
2016-08-28,45
2016-09-04,50
2016-09-11,51
2016-09-18,51
2016-09-25,53
2016-10-02,47
2016-10-09,49
2016-10-16,45
2016-10-23,48
2016-10-30,44
2016-11-06,47
2016-11-13,54
2016-11-20,55
2016-11-27,55
2016-12-04,55
2016-12-11,61
2016-12-18,70
2016-12-25,87
2017-01-01,83
2017-01-08,71
2017-01-15,70
2017-01-22,67
2017-01-29,74
2017-02-05,75
2017-02-12,74
2017-02-19,73
2017-02-26,60
2017-03-05,60
2017-03-12,60
2017-03-19,58
2017-03-26,55
2017-04-02,52
2017-04-09,51
2017-04-16,48
2017-04-23,48
2017-04-30,48
2017-05-07,51
2017-05-14,48
2017-05-21,46
2017-05-28,44
2017-06-04,41
2017-06-11,36
2017-06-18,34
2017-06-25,35
2017-07-02,33
2017-07-09,33
2017-07-16,32
2017-07-23,32
2017-07-30,34
2017-08-06,36
2017-08-13,37
2017-08-20,42
2017-08-27,48
2017-09-03,53
2017-09-10,56
2017-09-17,55
2017-09-24,51
2017-10-01,49
2017-10-08,46
2017-10-15,49
2017-10-22,50
2017-10-29,52
2017-11-05,52
2017-11-12,58
2017-11-19,64
2017-11-26,65
2017-12-03,62
2017-12-10,66
2017-12-17,80
2017-12-24,100
2017-12-31,96
2018-01-07,79
2018-01-14,73
2018-01-21,74
2018-01-28,75
2018-02-04,76
2018-02-11,73
2018-02-18,66
2018-02-25,59
2018-03-04,59
2018-03-11,60
2018-03-18,59
2018-03-25,57
2018-04-01,54
2018-04-08,49
2018-04-15,49
2018-04-22,50
2018-04-29,49
2018-05-06,49
2018-05-13,45
2018-05-20,47
2018-05-27,46
2018-06-03,44
2018-06-10,43
2018-06-17,40
2018-06-24,38
2018-07-01,36
2018-07-08,35
2018-07-15,33
2018-07-22,36
2018-07-29,37
2018-08-05,37
2018-08-12,41
2018-08-19,45
2018-08-26,54
2018-09-02,57
2018-09-09,55
2018-09-16,62
2018-09-23,56
2018-09-30,54
2018-10-07,51
2018-10-14,53
2018-10-21,52
2018-10-28,53
2018-11-04,55
2018-11-11,62
2018-11-18,64
2018-11-25,63
2018-12-02,62
2018-12-09,66
2018-12-16,75
2018-12-23,94
2018-12-30,93
2019-01-06,77
2019-01-13,69
2019-01-20,72
2019-01-27,77
2019-02-03,73
2019-02-10,73
2019-02-17,74
2019-02-24,69
2019-03-03,68
2019-03-10,68
2019-03-17,66
2019-03-24,66
2019-03-31,59
2019-04-07,56
2019-04-14,55
2019-04-21,54
2019-04-28,53
2019-05-05,51
2019-05-12,54
2019-05-19,51
2019-05-26,50
2019-06-02,44
2019-06-09,42
2019-06-16,39
2019-06-23,39
2019-06-30,34
2019-07-07,34
2019-07-14,34
2019-07-21,36
2019-07-28,36
2019-08-04,36
2019-08-11,39
2019-08-18,43
2019-08-25,50
2019-09-01,53
2019-09-08,57
2019-09-15,59
2019-09-22,58
2019-09-29,52
2019-10-06,52
2019-10-13,54
2019-10-20,56
2019-10-27,54
2019-11-03,60
2019-11-10,62
2019-11-17,67
2019-11-24,67
2019-12-01,68
2019-12-08,64
2019-12-15,75
2019-12-22,95
2019-12-29,96
2020-01-05,81
2020-01-12,65
2020-01-19,71
2020-01-26,74
2020-02-02,75
2020-02-09,74
2020-02-16,72
2020-02-23,70
