Category: All categories

Week,Nasal congestion: (United States)
2010-03-07,38
2010-03-14,34
2010-03-21,33
2010-03-28,32
2010-04-04,32
2010-04-11,31
2010-04-18,28
2010-04-25,28
2010-05-02,28
2010-05-09,23
2010-05-16,25
2010-05-23,25
2010-05-30,25
2010-06-06,22
2010-06-13,21
2010-06-20,24
2010-06-27,22
2010-07-04,20
2010-07-11,23
2010-07-18,21
2010-07-25,22
2010-08-01,20
2010-08-08,22
2010-08-15,23
2010-08-22,27
2010-08-29,31
2010-09-05,37
2010-09-12,34
2010-09-19,39
2010-09-26,34
2010-10-03,32
2010-10-10,34
2010-10-17,35
2010-10-24,35
2010-10-31,32
2010-11-07,37
2010-11-14,35
2010-11-21,35
2010-11-28,39
2010-12-05,38
2010-12-12,40
2010-12-19,45
2010-12-26,57
2011-01-02,58
2011-01-09,51
2011-01-16,50
2011-01-23,58
2011-01-30,53
2011-02-06,56
2011-02-13,54
2011-02-20,56
2011-02-27,47
2011-03-06,48
2011-03-13,46
2011-03-20,46
2011-03-27,44
2011-04-03,42
2011-04-10,40
2011-04-17,41
2011-04-24,39
2011-05-01,41
2011-05-08,46
2011-05-15,40
2011-05-22,37
2011-05-29,35
2011-06-05,32
2011-06-12,29
2011-06-19,30
2011-06-26,28
2011-07-03,29
2011-07-10,24
2011-07-17,26
2011-07-24,26
2011-07-31,28
2011-08-07,29
2011-08-14,29
2011-08-21,31
2011-08-28,36
2011-09-04,40
2011-09-11,43
2011-09-18,48
2011-09-25,43
2011-10-02,42
2011-10-09,43
2011-10-16,41
2011-10-23,41
2011-10-30,43
2011-11-06,45
2011-11-13,44
2011-11-20,44
2011-11-27,48
2011-12-04,44
2011-12-11,50
2011-12-18,56
2011-12-25,64
2012-01-01,61
2012-01-08,53
2012-01-15,56
2012-01-22,55
2012-01-29,53
2012-02-05,59
2012-02-12,57
2012-02-19,61
2012-02-26,54
2012-03-04,53
2012-03-11,48
2012-03-18,45
2012-03-25,45
2012-04-01,46
2012-04-08,47
2012-04-15,43
2012-04-22,43
2012-04-29,40
2012-05-06,38
2012-05-13,41
2012-05-20,39
2012-05-27,38
2012-06-03,35
2012-06-10,34
2012-06-17,33
2012-06-24,30
2012-07-01,31
2012-07-08,30
2012-07-15,30
2012-07-22,33
2012-07-29,32
2012-08-05,34
2012-08-12,37
2012-08-19,43
2012-08-26,44
2012-09-02,52
2012-09-09,53
2012-09-16,56
2012-09-23,56
2012-09-30,49
2012-10-07,46
2012-10-14,48
2012-10-21,48
2012-10-28,47
2012-11-04,46
2012-11-11,48
2012-11-18,55
2012-11-25,56
2012-12-02,55
2012-12-09,56
2012-12-16,66
2012-12-23,88
2012-12-30,94
2013-01-06,74
2013-01-13,71
2013-01-20,74
2013-01-27,67
2013-02-03,65
2013-02-10,64
2013-02-17,68
2013-02-24,63
2013-03-03,64
2013-03-10,59
2013-03-17,62
2013-03-24,62
2013-03-31,56
2013-04-07,52
2013-04-14,50
2013-04-21,51
2013-04-28,55
2013-05-05,52
2013-05-12,52
2013-05-19,45
2013-05-26,45
2013-06-02,41
2013-06-09,38
2013-06-16,37
2013-06-23,34
2013-06-30,31
2013-07-07,33
2013-07-14,32
2013-07-21,32
2013-07-28,36
2013-08-04,37
2013-08-11,39
2013-08-18,44
2013-08-25,48
2013-09-01,53
2013-09-08,56
2013-09-15,58
2013-09-22,60
2013-09-29,51
2013-10-06,50
2013-10-13,48
2013-10-20,49
2013-10-27,49
2013-11-03,54
2013-11-10,56
2013-11-17,51
2013-11-24,58
2013-12-01,59
2013-12-08,57
2013-12-15,61
2013-12-22,73
2013-12-29,86
2014-01-05,73
2014-01-12,67
2014-01-19,71
2014-01-26,70
2014-02-02,65
2014-02-09,68
2014-02-16,65
2014-02-23,63
2014-03-02,61
2014-03-09,60
2014-03-16,60
2014-03-23,62
2014-03-30,57
2014-04-06,55
2014-04-13,52
2014-04-20,49
2014-04-27,47
2014-05-04,50
2014-05-11,53
2014-05-18,51
2014-05-25,46
2014-06-01,45
2014-06-08,40
2014-06-15,37
2014-06-22,36
2014-06-29,37
2014-07-06,37
2014-07-13,35
2014-07-20,35
2014-07-27,39
2014-08-03,40
2014-08-10,43
2014-08-17,46
2014-08-24,49
2014-08-31,53
2014-09-07,59
2014-09-14,64
2014-09-21,59
2014-09-28,57
2014-10-05,56
2014-10-12,53
2014-10-19,46
2014-10-26,53
2014-11-02,56
2014-11-09,59
2014-11-16,62
2014-11-23,62
2014-11-30,64
2014-12-07,65
2014-12-14,72
2014-12-21,89
2014-12-28,100
2015-01-04,78
2015-01-11,67
2015-01-18,70
2015-01-25,76
2015-02-01,72
2015-02-08,74
2015-02-15,74
2015-02-22,69
2015-03-01,72
