Category: All categories

Week,Oseltamivir: (United States)
2015-03-01,3
2015-03-08,3
2015-03-15,3
2015-03-22,3
2015-03-29,2
2015-04-05,4
2015-04-12,3
2015-04-19,2
2015-04-26,2
2015-05-03,2
2015-05-10,2
2015-05-17,2
2015-05-24,2
2015-05-31,1
2015-06-07,1
2015-06-14,1
2015-06-21,1
2015-06-28,1
2015-07-05,1
2015-07-12,2
2015-07-19,2
2015-07-26,2
2015-08-02,2
2015-08-09,1
2015-08-16,1
2015-08-23,2
2015-08-30,1
2015-09-06,2
2015-09-13,2
2015-09-20,3
2015-09-27,1
2015-10-04,1
2015-10-11,1
2015-10-18,2
2015-10-25,1
2015-11-01,3
2015-11-08,3
2015-11-15,2
2015-11-22,1
2015-11-29,2
2015-12-06,3
2015-12-13,2
2015-12-20,2
2015-12-27,2
2016-01-03,2
2016-01-10,2
2016-01-17,2
2016-01-24,3
2016-01-31,3
2016-02-07,3
2016-02-14,4
2016-02-21,5
2016-02-28,3
2016-03-06,5
2016-03-13,4
2016-03-20,5
2016-03-27,4
2016-04-03,4
2016-04-10,4
2016-04-17,2
2016-04-24,3
2016-05-01,2
2016-05-08,2
2016-05-15,1
2016-05-22,<1
2016-05-29,1
2016-06-05,1
2016-06-12,1
2016-06-19,1
2016-06-26,1
2016-07-03,2
2016-07-10,2
2016-07-17,1
2016-07-24,1
2016-07-31,1
2016-08-07,<1
2016-08-14,1
2016-08-21,1
2016-08-28,1
2016-09-04,1
2016-09-11,2
2016-09-18,1
2016-09-25,2
2016-10-02,2
2016-10-09,1
2016-10-16,2
2016-10-23,1
2016-10-30,2
2016-11-06,1
2016-11-13,2
2016-11-20,2
2016-11-27,2
2016-12-04,2
2016-12-11,5
2016-12-18,8
2016-12-25,8
2017-01-01,11
2017-01-08,15
2017-01-15,16
2017-01-22,19
2017-01-29,22
2017-02-05,27
2017-02-12,24
2017-02-19,28
2017-02-26,23
2017-03-05,23
2017-03-12,17
2017-03-19,20
2017-03-26,17
2017-04-02,14
2017-04-09,13
2017-04-16,9
2017-04-23,8
2017-04-30,8
2017-05-07,6
2017-05-14,7
2017-05-21,6
2017-05-28,4
2017-06-04,4
2017-06-11,5
2017-06-18,4
2017-06-25,4
2017-07-02,5
2017-07-09,4
2017-07-16,5
2017-07-23,5
2017-07-30,5
2017-08-06,4
2017-08-13,4
2017-08-20,4
2017-08-27,5
2017-09-03,5
2017-09-10,6
2017-09-17,6
2017-09-24,7
2017-10-01,4
2017-10-08,6
2017-10-15,8
2017-10-22,8
2017-10-29,8
2017-11-05,11
2017-11-12,10
2017-11-19,10
2017-11-26,15
2017-12-03,16
2017-12-10,18
2017-12-17,38
2017-12-24,53
2017-12-31,55
2018-01-07,74
2018-01-14,77
2018-01-21,96
2018-01-28,100
2018-02-04,84
2018-02-11,82
2018-02-18,61
2018-02-25,46
2018-03-04,34
2018-03-11,30
2018-03-18,33
2018-03-25,25
2018-04-01,25
2018-04-08,20
2018-04-15,17
2018-04-22,16
2018-04-29,12
2018-05-06,10
2018-05-13,11
2018-05-20,9
2018-05-27,12
2018-06-03,10
2018-06-10,8
2018-06-17,10
2018-06-24,10
2018-07-01,6
2018-07-08,11
2018-07-15,8
2018-07-22,8
2018-07-29,6
2018-08-05,9
2018-08-12,8
2018-08-19,7
2018-08-26,10
2018-09-02,9
2018-09-09,9
2018-09-16,9
2018-09-23,8
2018-09-30,10
2018-10-07,12
2018-10-14,11
2018-10-21,12
2018-10-28,12
2018-11-04,12
2018-11-11,13
2018-11-18,13
2018-11-25,14
2018-12-02,15
2018-12-09,20
2018-12-16,27
2018-12-23,31
2018-12-30,32
2019-01-06,34
2019-01-13,34
2019-01-20,39
2019-01-27,46
2019-02-03,56
2019-02-10,58
2019-02-17,58
2019-02-24,50
2019-03-03,51
2019-03-10,49
2019-03-17,42
2019-03-24,36
2019-03-31,31
2019-04-07,22
2019-04-14,20
2019-04-21,21
2019-04-28,14
2019-05-05,14
2019-05-12,14
2019-05-19,12
2019-05-26,13
2019-06-02,12
2019-06-09,11
2019-06-16,9
2019-06-23,9
2019-06-30,8
2019-07-07,9
2019-07-14,9
2019-07-21,9
2019-07-28,10
2019-08-04,9
2019-08-11,10
2019-08-18,10
2019-08-25,9
2019-09-01,10
2019-09-08,10
2019-09-15,10
2019-09-22,11
2019-09-29,9
2019-10-06,10
2019-10-13,13
2019-10-20,14
2019-10-27,15
2019-11-03,19
2019-11-10,21
2019-11-17,26
2019-11-24,24
2019-12-01,32
2019-12-08,36
2019-12-15,50
2019-12-22,69
2019-12-29,61
2020-01-05,67
2020-01-12,69
2020-01-19,78
2020-01-26,94
2020-02-02,99
2020-02-09,87
2020-02-16,76
2020-02-23,73
