Category: All categories

Week,Oseltamivir: (United States)
2010-03-07,28
2010-03-14,43
2010-03-21,37
2010-03-28,33
2010-04-04,29
2010-04-11,46
2010-04-18,10
2010-04-25,25
2010-05-02,25
2010-05-09,16
2010-05-16,15
2010-05-23,23
2010-05-30,12
2010-06-06,51
2010-06-13,16
2010-06-20,17
2010-06-27,11
2010-07-04,21
2010-07-11,24
2010-07-18,15
2010-07-25,15
2010-08-01,10
2010-08-08,19
2010-08-15,19
2010-08-22,9
2010-08-29,22
2010-09-05,14
2010-09-12,18
2010-09-19,15
2010-09-26,23
2010-10-03,18
2010-10-10,30
2010-10-17,17
2010-10-24,31
2010-10-31,11
2010-11-07,52
2010-11-14,20
2010-11-21,25
2010-11-28,16
2010-12-05,11
2010-12-12,23
2010-12-19,16
2010-12-26,26
2011-01-02,19
2011-01-09,21
2011-01-16,35
2011-01-23,30
2011-01-30,40
2011-02-06,54
2011-02-13,64
2011-02-20,62
2011-02-27,43
2011-03-06,41
2011-03-13,43
2011-03-20,13
2011-03-27,20
2011-04-03,16
2011-04-10,13
2011-04-17,16
2011-04-24,24
2011-05-01,13
2011-05-08,10
2011-05-15,34
2011-05-22,11
2011-05-29,11
2011-06-05,11
2011-06-12,14
2011-06-19,9
2011-06-26,14
2011-07-03,7
2011-07-10,16
2011-07-17,11
2011-07-24,7
2011-07-31,9
2011-08-07,11
2011-08-14,10
2011-08-21,22
2011-08-28,19
2011-09-04,11
2011-09-11,10
2011-09-18,14
2011-09-25,25
2011-10-02,6
2011-10-09,18
2011-10-16,15
2011-10-23,14
2011-10-30,15
2011-11-06,12
2011-11-13,12
2011-11-20,17
2011-11-27,13
2011-12-04,28
2011-12-11,11
2011-12-18,6
2011-12-25,15
2012-01-01,17
2012-01-08,14
2012-01-15,8
2012-01-22,11
2012-01-29,16
2012-02-05,20
2012-02-12,26
2012-02-19,18
2012-02-26,14
2012-03-04,24
2012-03-11,9
2012-03-18,22
2012-03-25,22
2012-04-01,16
2012-04-08,25
2012-04-15,20
2012-04-22,19
2012-04-29,26
2012-05-06,12
2012-05-13,18
2012-05-20,5
2012-05-27,6
2012-06-03,11
2012-06-10,13
2012-06-17,11
2012-06-24,11
2012-07-01,11
2012-07-08,5
2012-07-15,16
2012-07-22,9
2012-07-29,13
2012-08-05,8
2012-08-12,5
2012-08-19,19
2012-08-26,9
2012-09-02,9
2012-09-09,7
2012-09-16,13
2012-09-23,8
2012-09-30,13
2012-10-07,10
2012-10-14,10
2012-10-21,13
2012-10-28,18
2012-11-04,14
2012-11-11,19
2012-11-18,14
2012-11-25,18
2012-12-02,25
2012-12-09,29
2012-12-16,42
2012-12-23,62
2012-12-30,38
2013-01-06,73
2013-01-13,100
2013-01-20,68
2013-01-27,56
2013-02-03,57
2013-02-10,46
2013-02-17,35
2013-02-24,36
2013-03-03,25
2013-03-10,24
2013-03-17,28
2013-03-24,20
2013-03-31,27
2013-04-07,23
2013-04-14,24
2013-04-21,24
2013-04-28,18
2013-05-05,15
2013-05-12,14
2013-05-19,9
2013-05-26,10
2013-06-02,15
2013-06-09,12
2013-06-16,12
2013-06-23,17
2013-06-30,10
2013-07-07,6
2013-07-14,11
2013-07-21,12
2013-07-28,11
2013-08-04,18
2013-08-11,14
2013-08-18,11
2013-08-25,13
2013-09-01,12
2013-09-08,19
2013-09-15,16
2013-09-22,10
2013-09-29,11
2013-10-06,19
2013-10-13,13
2013-10-20,16
2013-10-27,10
2013-11-03,20
2013-11-10,13
2013-11-17,15
2013-11-24,21
2013-12-01,31
2013-12-08,30
2013-12-15,25
2013-12-22,45
2013-12-29,55
2014-01-05,67
2014-01-12,52
2014-01-19,67
2014-01-26,41
2014-02-02,29
2014-02-09,30
2014-02-16,22
2014-02-23,28
2014-03-02,27
2014-03-09,22
2014-03-16,21
2014-03-23,23
2014-03-30,28
2014-04-06,15
2014-04-13,13
2014-04-20,24
2014-04-27,11
2014-05-04,24
2014-05-11,16
2014-05-18,19
2014-05-25,13
2014-06-01,8
2014-06-08,12
2014-06-15,12
2014-06-22,10
2014-06-29,11
2014-07-06,12
2014-07-13,5
2014-07-20,12
2014-07-27,15
2014-08-03,8
2014-08-10,11
2014-08-17,11
2014-08-24,11
2014-08-31,13
2014-09-07,11
2014-09-14,11
2014-09-21,17
2014-09-28,9
2014-10-05,12
2014-10-12,23
2014-10-19,27
2014-10-26,11
2014-11-02,18
2014-11-09,22
2014-11-16,18
2014-11-23,13
2014-11-30,29
2014-12-07,55
2014-12-14,75
2014-12-21,59
2014-12-28,78
2015-01-04,75
2015-01-11,70
2015-01-18,71
2015-01-25,47
2015-02-01,56
2015-02-08,43
2015-02-15,44
2015-02-22,31
2015-03-01,32
