Category: All categories

Week,Swine influenza: (United States)
2010-03-07,49
2010-03-14,46
2010-03-21,55
2010-03-28,49
2010-04-04,58
2010-04-11,48
2010-04-18,44
2010-04-25,36
2010-05-02,31
2010-05-09,26
2010-05-16,32
2010-05-23,28
2010-05-30,25
2010-06-06,19
2010-06-13,14
2010-06-20,15
2010-06-27,12
2010-07-04,10
2010-07-11,11
2010-07-18,10
2010-07-25,9
2010-08-01,10
2010-08-08,16
2010-08-15,13
2010-08-22,12
2010-08-29,13
2010-09-05,14
2010-09-12,17
2010-09-19,16
2010-09-26,17
2010-10-03,15
2010-10-10,13
2010-10-17,16
2010-10-24,14
2010-10-31,14
2010-11-07,12
2010-11-14,11
2010-11-21,9
2010-11-28,13
2010-12-05,11
2010-12-12,12
2010-12-19,12
2010-12-26,12
2011-01-02,16
2011-01-09,14
2011-01-16,15
2011-01-23,14
2011-01-30,15
2011-02-06,20
2011-02-13,18
2011-02-20,16
2011-02-27,16
2011-03-06,11
2011-03-13,12
2011-03-20,12
2011-03-27,10
2011-04-03,10
2011-04-10,8
2011-04-17,6
2011-04-24,6
2011-05-01,7
2011-05-08,6
2011-05-15,5
2011-05-22,5
2011-05-29,6
2011-06-05,4
2011-06-12,4
2011-06-19,3
2011-06-26,3
2011-07-03,3
2011-07-10,4
2011-07-17,4
2011-07-24,4
2011-07-31,3
2011-08-07,4
2011-08-14,4
2011-08-21,4
2011-08-28,5
2011-09-04,6
2011-09-11,8
2011-09-18,7
2011-09-25,6
2011-10-02,5
2011-10-09,6
2011-10-16,6
2011-10-23,6
2011-10-30,6
2011-11-06,6
2011-11-13,6
2011-11-20,5
2011-11-27,6
2011-12-04,6
2011-12-11,6
2011-12-18,6
2011-12-25,6
2012-01-01,6
2012-01-08,6
2012-01-15,5
2012-01-22,7
2012-01-29,7
2012-02-05,6
2012-02-12,6
2012-02-19,7
2012-02-26,7
2012-03-04,6
2012-03-11,7
2012-03-18,6
2012-03-25,6
2012-04-01,5
2012-04-08,5
2012-04-15,6
2012-04-22,5
2012-04-29,5
2012-05-06,5
2012-05-13,5
2012-05-20,5
2012-05-27,4
2012-06-03,4
2012-06-10,3
2012-06-17,3
2012-06-24,4
2012-07-01,3
2012-07-08,4
2012-07-15,3
2012-07-22,4
2012-07-29,8
2012-08-05,15
2012-08-12,11
2012-08-19,9
2012-08-26,9
2012-09-02,7
2012-09-09,7
2012-09-16,6
2012-09-23,6
2012-09-30,5
2012-10-07,5
2012-10-14,5
2012-10-21,6
2012-10-28,5
2012-11-04,4
2012-11-11,5
2012-11-18,4
2012-11-25,5
2012-12-02,6
2012-12-09,6
2012-12-16,6
2012-12-23,6
2012-12-30,8
2013-01-06,14
2013-01-13,12
2013-01-20,10
2013-01-27,6
2013-02-03,5
2013-02-10,6
2013-02-17,5
2013-02-24,5
2013-03-03,4
2013-03-10,4
2013-03-17,4
2013-03-24,4
2013-03-31,5
2013-04-07,5
2013-04-14,4
2013-04-21,3
2013-04-28,3
2013-05-05,3
2013-05-12,4
2013-05-19,6
2013-05-26,9
2013-06-02,6
2013-06-09,5
2013-06-16,3
2013-06-23,4
2013-06-30,3
2013-07-07,4
2013-07-14,3
2013-07-21,3
2013-07-28,3
2013-08-04,3
2013-08-11,3
2013-08-18,3
2013-08-25,3
2013-09-01,3
2013-09-08,4
2013-09-15,3
2013-09-22,4
2013-09-29,4
2013-10-06,3
2013-10-13,5
2013-10-20,4
2013-10-27,4
2013-11-03,4
2013-11-10,5
2013-11-17,4
2013-11-24,4
2013-12-01,5
2013-12-08,5
2013-12-15,20
2013-12-22,34
2013-12-29,55
2014-01-05,100
2014-01-12,78
2014-01-19,55
2014-01-26,41
2014-02-02,26
2014-02-09,19
2014-02-16,18
2014-02-23,15
2014-03-02,10
2014-03-09,7
2014-03-16,6
2014-03-23,6
2014-03-30,8
2014-04-06,8
2014-04-13,6
2014-04-20,5
2014-04-27,5
2014-05-04,4
2014-05-11,4
2014-05-18,3
2014-05-25,2
2014-06-01,3
2014-06-08,2
2014-06-15,2
2014-06-22,3
2014-06-29,3
2014-07-06,3
2014-07-13,2
2014-07-20,2
2014-07-27,3
2014-08-03,4
2014-08-10,2
2014-08-17,2
2014-08-24,2
2014-08-31,2
2014-09-07,4
2014-09-14,3
2014-09-21,4
2014-09-28,6
2014-10-05,7
2014-10-12,13
2014-10-19,7
2014-10-26,5
2014-11-02,4
2014-11-09,4
2014-11-16,4
2014-11-23,5
2014-11-30,4
2014-12-07,5
2014-12-14,6
2014-12-21,5
2014-12-28,6
2015-01-04,6
2015-01-11,6
2015-01-18,9
2015-01-25,7
2015-02-01,9
2015-02-08,11
2015-02-15,26
2015-02-22,22
2015-03-01,20
