Category: All categories

Week,chills: (United States)
2015-03-01,50
2015-03-08,52
2015-03-15,48
2015-03-22,51
2015-03-29,54
2015-04-05,50
2015-04-12,45
2015-04-19,48
2015-04-26,44
2015-05-03,39
2015-05-10,42
2015-05-17,42
2015-05-24,40
2015-05-31,39
2015-06-07,41
2015-06-14,40
2015-06-21,40
2015-06-28,44
2015-07-05,46
2015-07-12,39
2015-07-19,42
2015-07-26,43
2015-08-02,44
2015-08-09,46
2015-08-16,41
2015-08-23,42
2015-08-30,40
2015-09-06,38
2015-09-13,41
2015-09-20,39
2015-09-27,45
2015-10-04,40
2015-10-11,38
2015-10-18,40
2015-10-25,42
2015-11-01,41
2015-11-08,44
2015-11-15,40
2015-11-22,40
2015-11-29,44
2015-12-06,44
2015-12-13,44
2015-12-20,51
2015-12-27,56
2016-01-03,57
2016-01-10,52
2016-01-17,51
2016-01-24,55
2016-01-31,60
2016-02-07,60
2016-02-14,62
2016-02-21,60
2016-02-28,60
2016-03-06,62
2016-03-13,58
2016-03-20,59
2016-03-27,58
2016-04-03,54
2016-04-10,56
2016-04-17,48
2016-04-24,48
2016-05-01,50
2016-05-08,44
2016-05-15,50
2016-05-22,44
2016-05-29,43
2016-06-05,46
2016-06-12,43
2016-06-19,44
2016-06-26,41
2016-07-03,44
2016-07-10,42
2016-07-17,45
2016-07-24,43
2016-07-31,45
2016-08-07,43
2016-08-14,39
2016-08-21,44
2016-08-28,42
2016-09-04,44
2016-09-11,45
2016-09-18,43
2016-09-25,47
2016-10-02,44
2016-10-09,47
2016-10-16,41
2016-10-23,44
2016-10-30,44
2016-11-06,45
2016-11-13,52
2016-11-20,47
2016-11-27,47
2016-12-04,49
2016-12-11,49
2016-12-18,57
2016-12-25,65
2017-01-01,65
2017-01-08,58
2017-01-15,59
2017-01-22,62
2017-01-29,66
2017-02-05,67
2017-02-12,69
2017-02-19,65
2017-02-26,60
2017-03-05,59
2017-03-12,59
2017-03-19,60
2017-03-26,59
2017-04-02,50
2017-04-09,53
2017-04-16,50
2017-04-23,51
2017-04-30,49
2017-05-07,53
2017-05-14,47
2017-05-21,51
2017-05-28,47
2017-06-04,50
2017-06-11,48
2017-06-18,47
2017-06-25,53
2017-07-02,51
2017-07-09,49
2017-07-16,56
2017-07-23,50
2017-07-30,50
2017-08-06,50
2017-08-13,45
2017-08-20,46
2017-08-27,44
2017-09-03,45
2017-09-10,42
2017-09-17,44
2017-09-24,49
2017-10-01,46
2017-10-08,46
2017-10-15,49
2017-10-22,45
2017-10-29,46
2017-11-05,53
2017-11-12,55
2017-11-19,56
2017-11-26,57
2017-12-03,55
2017-12-10,60
2017-12-17,73
2017-12-24,87
2017-12-31,83
2018-01-07,77
2018-01-14,79
2018-01-21,85
2018-01-28,85
2018-02-04,86
2018-02-11,83
2018-02-18,71
2018-02-25,71
2018-03-04,70
2018-03-11,65
2018-03-18,68
2018-03-25,71
2018-04-01,70
2018-04-08,64
2018-04-15,60
2018-04-22,63
2018-04-29,57
2018-05-06,52
2018-05-13,54
2018-05-20,51
2018-05-27,57
2018-06-03,58
2018-06-10,59
2018-06-17,57
2018-06-24,56
2018-07-01,57
2018-07-08,57
2018-07-15,56
2018-07-22,58
2018-07-29,59
2018-08-05,55
2018-08-12,53
2018-08-19,54
2018-08-26,55
2018-09-02,56
2018-09-09,54
2018-09-16,55
2018-09-23,51
2018-09-30,65
2018-10-07,58
2018-10-14,55
2018-10-21,54
2018-10-28,58
2018-11-04,53
2018-11-11,59
2018-11-18,60
2018-11-25,62
2018-12-02,58
2018-12-09,64
2018-12-16,72
2018-12-23,79
2018-12-30,81
2019-01-06,73
2019-01-13,66
2019-01-20,75
2019-01-27,87
2019-02-03,76
2019-02-10,74
2019-02-17,79
2019-02-24,76
2019-03-03,78
2019-03-10,81
2019-03-17,77
2019-03-24,73
2019-03-31,69
2019-04-07,64
2019-04-14,66
2019-04-21,61
2019-04-28,57
2019-05-05,55
2019-05-12,59
2019-05-19,58
2019-05-26,56
2019-06-02,56
2019-06-09,57
2019-06-16,51
2019-06-23,53
2019-06-30,54
2019-07-07,58
2019-07-14,56
2019-07-21,57
2019-07-28,55
2019-08-04,55
2019-08-11,53
2019-08-18,55
2019-08-25,54
2019-09-01,53
2019-09-08,54
2019-09-15,56
2019-09-22,56
2019-09-29,58
2019-10-06,54
2019-10-13,57
2019-10-20,58
2019-10-27,59
2019-11-03,61
2019-11-10,59
2019-11-17,66
2019-11-24,64
2019-12-01,64
2019-12-08,65
2019-12-15,70
2019-12-22,93
2019-12-29,100
2020-01-05,86
2020-01-12,76
2020-01-19,84
2020-01-26,90
2020-02-02,85
2020-02-09,87
2020-02-16,84
2020-02-23,86
