Category: All categories

Week,Common cold: (United States)
2015-03-01,40
2015-03-08,37
2015-03-15,34
2015-03-22,35
2015-03-29,32
2015-04-05,32
2015-04-12,29
2015-04-19,28
2015-04-26,27
2015-05-03,25
2015-05-10,24
2015-05-17,25
2015-05-24,23
2015-05-31,22
2015-06-07,22
2015-06-14,20
2015-06-21,19
2015-06-28,19
2015-07-05,19
2015-07-12,19
2015-07-19,19
2015-07-26,20
2015-08-02,20
2015-08-09,21
2015-08-16,22
2015-08-23,24
2015-08-30,26
2015-09-06,29
2015-09-13,32
2015-09-20,35
2015-09-27,35
2015-10-04,36
2015-10-11,36
2015-10-18,36
2015-10-25,35
2015-11-01,36
2015-11-08,39
2015-11-15,39
2015-11-22,39
2015-11-29,43
2015-12-06,39
2015-12-13,41
2015-12-20,45
2015-12-27,55
2016-01-03,54
2016-01-10,46
2016-01-17,49
2016-01-24,46
2016-01-31,43
2016-02-07,49
2016-02-14,47
2016-02-21,42
2016-02-28,41
2016-03-06,39
2016-03-13,37
2016-03-20,37
2016-03-27,35
2016-04-03,34
2016-04-10,33
2016-04-17,30
2016-04-24,29
2016-05-01,28
2016-05-08,28
2016-05-15,29
2016-05-22,26
2016-05-29,25
2016-06-05,23
2016-06-12,22
2016-06-19,22
2016-06-26,20
2016-07-03,21
2016-07-10,20
2016-07-17,21
2016-07-24,21
2016-07-31,21
2016-08-07,20
2016-08-14,22
2016-08-21,25
2016-08-28,29
2016-09-04,33
2016-09-11,35
2016-09-18,36
2016-09-25,39
2016-10-02,37
2016-10-09,39
2016-10-16,35
2016-10-23,38
2016-10-30,36
2016-11-06,36
2016-11-13,42
2016-11-20,43
2016-11-27,47
2016-12-04,48
2016-12-11,54
2016-12-18,60
2016-12-25,65
2017-01-01,68
2017-01-08,60
2017-01-15,53
2017-01-22,54
2017-01-29,59
2017-02-05,60
2017-02-12,56
2017-02-19,52
2017-02-26,46
2017-03-05,44
2017-03-12,44
2017-03-19,43
2017-03-26,38
2017-04-02,36
2017-04-09,34
2017-04-16,31
2017-04-23,31
2017-04-30,30
2017-05-07,30
2017-05-14,30
2017-05-21,29
2017-05-28,28
2017-06-04,26
2017-06-11,25
2017-06-18,23
2017-06-25,23
2017-07-02,23
2017-07-09,22
2017-07-16,22
2017-07-23,23
2017-07-30,23
2017-08-06,23
2017-08-13,24
2017-08-20,27
2017-08-27,30
2017-09-03,35
2017-09-10,36
2017-09-17,38
2017-09-24,38
2017-10-01,36
2017-10-08,36
2017-10-15,39
2017-10-22,41
2017-10-29,43
2017-11-05,47
2017-11-12,50
2017-11-19,49
2017-11-26,54
2017-12-03,56
2017-12-10,62
2017-12-17,68
2017-12-24,91
2017-12-31,100
2018-01-07,90
2018-01-14,98
2018-01-21,97
2018-01-28,100
2018-02-04,95
2018-02-11,84
2018-02-18,65
2018-02-25,52
2018-03-04,49
2018-03-11,45
2018-03-18,43
2018-03-25,41
2018-04-01,38
2018-04-08,36
2018-04-15,35
2018-04-22,32
2018-04-29,31
2018-05-06,29
2018-05-13,28
2018-05-20,29
2018-05-27,29
2018-06-03,27
2018-06-10,27
2018-06-17,25
2018-06-24,24
2018-07-01,25
2018-07-08,24
2018-07-15,23
2018-07-22,23
2018-07-29,23
2018-08-05,25
2018-08-12,25
2018-08-19,30
2018-08-26,33
2018-09-02,36
2018-09-09,39
2018-09-16,41
2018-09-23,42
2018-09-30,41
2018-10-07,41
2018-10-14,48
2018-10-21,46
2018-10-28,44
2018-11-04,46
2018-11-11,57
2018-11-18,52
2018-11-25,58
2018-12-02,54
2018-12-09,58
2018-12-16,62
2018-12-23,74
2018-12-30,78
2019-01-06,67
2019-01-13,63
2019-01-20,68
2019-01-27,79
2019-02-03,65
2019-02-10,65
2019-02-17,66
2019-02-24,59
2019-03-03,61
2019-03-10,53
2019-03-17,51
2019-03-24,47
2019-03-31,43
2019-04-07,38
2019-04-14,36
2019-04-21,35
2019-04-28,35
2019-05-05,33
2019-05-12,34
2019-05-19,34
2019-05-26,32
2019-06-02,29
2019-06-09,28
2019-06-16,26
2019-06-23,25
2019-06-30,24
2019-07-07,24
2019-07-14,23
2019-07-21,24
2019-07-28,23
2019-08-04,24
2019-08-11,26
2019-08-18,29
2019-08-25,32
2019-09-01,35
2019-09-08,37
2019-09-15,42
2019-09-22,43
2019-09-29,43
2019-10-06,44
2019-10-13,47
2019-10-20,45
2019-10-27,49
2019-11-03,53
2019-11-10,58
2019-11-17,55
2019-11-24,54
2019-12-01,61
2019-12-08,59
2019-12-15,71
2019-12-22,85
2019-12-29,87
2020-01-05,73
2020-01-12,63
2020-01-19,70
2020-01-26,72
2020-02-02,72
2020-02-09,69
2020-02-16,64
2020-02-23,61
