Category: All categories

Week,Common cold: (United States)
2005-03-13,58
2005-03-20,56
2005-03-27,52
2005-04-03,50
2005-04-10,46
2005-04-17,39
2005-04-24,42
2005-05-01,40
2005-05-08,38
2005-05-15,37
2005-05-22,35
2005-05-29,33
2005-06-05,32
2005-06-12,32
2005-06-19,31
2005-06-26,33
2005-07-03,34
2005-07-10,28
2005-07-17,26
2005-07-24,31
2005-07-31,33
2005-08-07,33
2005-08-14,30
2005-08-21,36
2005-08-28,35
2005-09-04,47
2005-09-11,43
2005-09-18,49
2005-09-25,49
2005-10-02,49
2005-10-09,52
2005-10-16,53
2005-10-23,59
2005-10-30,58
2005-11-06,58
2005-11-13,66
2005-11-20,64
2005-11-27,72
2005-12-04,70
2005-12-11,70
2005-12-18,76
2005-12-25,89
2006-01-01,75
2006-01-08,63
2006-01-15,61
2006-01-22,60
2006-01-29,60
2006-02-05,61
2006-02-12,61
2006-02-19,65
2006-02-26,59
2006-03-05,53
2006-03-12,49
2006-03-19,54
2006-03-26,48
2006-04-02,44
2006-04-09,38
2006-04-16,36
2006-04-23,32
2006-04-30,37
2006-05-07,34
2006-05-14,35
2006-05-21,34
2006-05-28,30
2006-06-04,30
2006-06-11,29
2006-06-18,28
2006-06-25,27
2006-07-02,30
2006-07-09,26
2006-07-16,26
2006-07-23,28
2006-07-30,29
2006-08-06,24
2006-08-13,29
2006-08-20,32
2006-08-27,33
2006-09-03,37
2006-09-10,43
2006-09-17,52
2006-09-24,56
2006-10-01,47
2006-10-08,53
2006-10-15,54
2006-10-22,57
2006-10-29,58
2006-11-05,58
2006-11-12,59
2006-11-19,62
2006-11-26,72
2006-12-03,74
2006-12-10,67
2006-12-17,74
2006-12-24,78
2006-12-31,77
2007-01-07,70
2007-01-14,69
2007-01-21,67
2007-01-28,71
2007-02-04,76
2007-02-11,70
2007-02-18,64
2007-02-25,60
2007-03-04,60
2007-03-11,49
2007-03-18,50
2007-03-25,45
2007-04-01,43
2007-04-08,47
2007-04-15,42
2007-04-22,39
2007-04-29,35
2007-05-06,36
2007-05-13,37
2007-05-20,34
2007-05-27,32
2007-06-03,33
2007-06-10,29
2007-06-17,30
2007-06-24,33
2007-07-01,29
2007-07-08,26
2007-07-15,27
2007-07-22,27
2007-07-29,29
2007-08-05,30
2007-08-12,31
2007-08-19,34
2007-08-26,36
2007-09-02,39
2007-09-09,43
2007-09-16,52
2007-09-23,51
2007-09-30,50
2007-10-07,59
2007-10-14,57
2007-10-21,56
2007-10-28,56
2007-11-04,65
2007-11-11,67
2007-11-18,64
2007-11-25,70
2007-12-02,68
2007-12-09,69
2007-12-16,73
2007-12-23,77
2007-12-30,94
2008-01-06,72
2008-01-13,69
2008-01-20,80
2008-01-27,81
2008-02-03,88
2008-02-10,91
2008-02-17,93
2008-02-24,82
2008-03-02,73
2008-03-09,62
2008-03-16,59
2008-03-23,55
2008-03-30,51
2008-04-06,48
2008-04-13,44
2008-04-20,39
2008-04-27,39
2008-05-04,40
2008-05-11,38
2008-05-18,37
2008-05-25,34
2008-06-01,34
2008-06-08,32
2008-06-15,32
2008-06-22,28
2008-06-29,30
2008-07-06,32
2008-07-13,29
2008-07-20,31
2008-07-27,29
2008-08-03,32
2008-08-10,32
2008-08-17,34
2008-08-24,34
2008-08-31,39
2008-09-07,41
2008-09-14,52
2008-09-21,56
2008-09-28,53
2008-10-05,58
2008-10-12,53
2008-10-19,61
2008-10-26,64
2008-11-02,56
2008-11-09,72
2008-11-16,75
2008-11-23,67
2008-11-30,77
2008-12-07,74
2008-12-14,70
2008-12-21,76
2008-12-28,83
2009-01-04,75
2009-01-11,79
2009-01-18,73
2009-01-25,75
2009-02-01,81
2009-02-08,76
2009-02-15,84
2009-02-22,80
2009-03-01,69
2009-03-08,63
2009-03-15,58
2009-03-22,58
2009-03-29,51
2009-04-05,50
2009-04-12,51
2009-04-19,46
2009-04-26,67
2009-05-03,54
2009-05-10,46
2009-05-17,47
2009-05-24,45
2009-05-31,40
2009-06-07,42
2009-06-14,41
2009-06-21,36
2009-06-28,39
2009-07-05,38
2009-07-12,36
2009-07-19,34
2009-07-26,35
2009-08-02,34
2009-08-09,38
2009-08-16,38
2009-08-23,46
2009-08-30,56
2009-09-06,63
2009-09-13,74
2009-09-20,80
2009-09-27,87
2009-10-04,89
2009-10-11,99
2009-10-18,100
2009-10-25,97
2009-11-01,92
2009-11-08,82
2009-11-15,74
2009-11-22,68
2009-11-29,75
2009-12-06,79
2009-12-13,72
2009-12-20,76
2009-12-27,84
2010-01-03,92
2010-01-10,76
2010-01-17,62
2010-01-24,64
2010-01-31,68
2010-02-07,71
2010-02-14,70
2010-02-21,67
2010-02-28,65
2010-03-07,64
