Category: All categories

Month,Common cold: (United States)
2004-01,25
2004-02,19
2004-03,16
2004-04,13
2004-05,13
2004-06,12
2004-07,11
2004-08,12
2004-09,15
2004-10,23
2004-11,24
2004-12,28
2005-01,30
2005-02,32
2005-03,23
2005-04,16
2005-05,14
2005-06,12
2005-07,12
2005-08,13
2005-09,17
2005-10,21
2005-11,25
2005-12,30
2006-01,25
2006-02,25
2006-03,20
2006-04,15
2006-05,14
2006-06,11
2006-07,11
2006-08,12
2006-09,18
2006-10,22
2006-11,24
2006-12,29
2007-01,28
2007-02,27
2007-03,20
2007-04,17
2007-05,13
2007-06,12
2007-07,11
2007-08,13
2007-09,18
2007-10,22
2007-11,26
2007-12,28
2008-01,31
2008-02,35
2008-03,24
2008-04,17
2008-05,15
2008-06,12
2008-07,12
2008-08,13
2008-09,19
2008-10,23
2008-11,26
2008-12,30
2009-01,30
2009-02,31
2009-03,25
2009-04,21
2009-05,19
2009-06,16
2009-07,14
2009-08,16
2009-09,29
2009-10,37
2009-11,31
2009-12,31
2010-01,29
2010-02,27
2010-03,23
2010-04,17
2010-05,16
2010-06,13
2010-07,13
2010-08,15
2010-09,23
2010-10,25
2010-11,29
2010-12,35
2011-01,41
2011-02,40
2011-03,30
2011-04,23
2011-05,21
2011-06,18
2011-07,16
2011-08,17
2011-09,26
2011-10,30
2011-11,34
2011-12,38
2012-01,39
2012-02,37
2012-03,29
2012-04,25
2012-05,21
2012-06,19
2012-07,18
2012-08,21
2012-09,32
2012-10,33
2012-11,37
2012-12,52
2013-01,70
2013-02,44
2013-03,36
2013-04,28
2013-05,24
2013-06,19
2013-07,18
2013-08,22
2013-09,32
2013-10,35
2013-11,39
2013-12,49
2014-01,60
2014-02,43
2014-03,35
2014-04,30
2014-05,25
2014-06,21
2014-07,20
2014-08,23
2014-09,34
2014-10,36
2014-11,43
2014-12,57
2015-01,60
2015-02,48
2015-03,38
2015-04,31
2015-05,26
2015-06,22
2015-07,20
2015-08,23
2015-09,32
2015-10,37
2015-11,41
2015-12,46
2016-01,51
2016-02,47
2016-03,39
2016-04,33
2016-05,29
2016-06,24
2016-07,21
2016-08,24
2016-09,37
2016-10,39
2016-11,42
2016-12,58
2017-01,62
2017-02,57
2017-03,45
2017-04,34
2017-05,31
2017-06,26
2017-07,23
2017-08,26
2017-09,38
2017-10,41
2017-11,51
2017-12,71
2018-01,100
2018-02,81
2018-03,47
2018-04,37
2018-05,30
2018-06,27
2018-07,25
2018-08,29
2018-09,41
2018-10,47
2018-11,55
2018-12,65
2019-01,74
2019-02,68
2019-03,55
2019-04,39
2019-05,35
2019-06,28
2019-07,25
2019-08,28
2019-09,41
2019-10,48
2019-11,57
2019-12,73
2020-01,74
2020-02,74
