Category: All categories

Week,flu medicine: (United States)
2015-03-01,19
2015-03-08,14
2015-03-15,14
2015-03-22,11
2015-03-29,13
2015-04-05,13
2015-04-12,8
2015-04-19,11
2015-04-26,8
2015-05-03,8
2015-05-10,8
2015-05-17,6
2015-05-24,6
2015-05-31,4
2015-06-07,6
2015-06-14,6
2015-06-21,7
2015-06-28,3
2015-07-05,5
2015-07-12,4
2015-07-19,4
2015-07-26,5
2015-08-02,3
2015-08-09,4
2015-08-16,7
2015-08-23,6
2015-08-30,7
2015-09-06,9
2015-09-13,9
2015-09-20,13
2015-09-27,14
2015-10-04,14
2015-10-11,12
2015-10-18,13
2015-10-25,13
2015-11-01,16
2015-11-08,15
2015-11-15,12
2015-11-22,14
2015-11-29,15
2015-12-06,16
2015-12-13,15
2015-12-20,15
2015-12-27,17
2016-01-03,17
2016-01-10,15
2016-01-17,17
2016-01-24,17
2016-01-31,15
2016-02-07,19
2016-02-14,21
2016-02-21,23
2016-02-28,21
2016-03-06,22
2016-03-13,18
2016-03-20,18
2016-03-27,19
2016-04-03,15
2016-04-10,12
2016-04-17,11
2016-04-24,12
2016-05-01,11
2016-05-08,8
2016-05-15,11
2016-05-22,7
2016-05-29,8
2016-06-05,8
2016-06-12,6
2016-06-19,4
2016-06-26,5
2016-07-03,6
2016-07-10,6
2016-07-17,4
2016-07-24,6
2016-07-31,8
2016-08-07,6
2016-08-14,6
2016-08-21,7
2016-08-28,10
2016-09-04,9
2016-09-11,13
2016-09-18,11
2016-09-25,15
2016-10-02,16
2016-10-09,19
2016-10-16,13
2016-10-23,14
2016-10-30,15
2016-11-06,14
2016-11-13,16
2016-11-20,13
2016-11-27,18
2016-12-04,22
2016-12-11,21
2016-12-18,24
2016-12-25,30
2017-01-01,32
2017-01-08,29
2017-01-15,32
2017-01-22,28
2017-01-29,35
2017-02-05,42
2017-02-12,38
2017-02-19,33
2017-02-26,28
2017-03-05,25
2017-03-12,25
2017-03-19,24
2017-03-26,18
2017-04-02,19
2017-04-09,16
2017-04-16,13
2017-04-23,12
2017-04-30,11
2017-05-07,11
2017-05-14,10
2017-05-21,11
2017-05-28,8
2017-06-04,8
2017-06-11,8
2017-06-18,7
2017-06-25,7
2017-07-02,4
2017-07-09,9
2017-07-16,8
2017-07-23,7
2017-07-30,7
2017-08-06,7
2017-08-13,7
2017-08-20,7
2017-08-27,10
2017-09-03,14
2017-09-10,12
2017-09-17,13
2017-09-24,15
2017-10-01,18
2017-10-08,16
2017-10-15,15
2017-10-22,20
2017-10-29,21
2017-11-05,22
2017-11-12,22
2017-11-19,21
2017-11-26,24
2017-12-03,23
2017-12-10,32
2017-12-17,56
2017-12-24,73
2017-12-31,76
2018-01-07,84
2018-01-14,100
2018-01-21,99
2018-01-28,96
2018-02-04,86
2018-02-11,78
2018-02-18,52
2018-02-25,37
2018-03-04,32
2018-03-11,25
2018-03-18,24
2018-03-25,22
2018-04-01,18
2018-04-08,17
2018-04-15,15
2018-04-22,16
2018-04-29,13
2018-05-06,13
2018-05-13,9
2018-05-20,11
2018-05-27,8
2018-06-03,10
2018-06-10,7
2018-06-17,10
2018-06-24,9
2018-07-01,7
2018-07-08,10
2018-07-15,7
2018-07-22,8
2018-07-29,8
2018-08-05,8
2018-08-12,7
2018-08-19,9
2018-08-26,11
2018-09-02,14
2018-09-09,16
2018-09-16,14
2018-09-23,15
2018-09-30,23
2018-10-07,21
2018-10-14,20
2018-10-21,24
2018-10-28,21
2018-11-04,22
2018-11-11,22
2018-11-18,23
2018-11-25,28
2018-12-02,25
2018-12-09,28
2018-12-16,37
2018-12-23,50
2018-12-30,53
2019-01-06,39
2019-01-13,38
2019-01-20,39
2019-01-27,49
2019-02-03,50
2019-02-10,53
2019-02-17,56
2019-02-24,48
2019-03-03,47
2019-03-10,44
2019-03-17,37
2019-03-24,28
2019-03-31,25
2019-04-07,21
2019-04-14,19
2019-04-21,18
2019-04-28,15
2019-05-05,15
2019-05-12,13
2019-05-19,14
2019-05-26,12
2019-06-02,9
2019-06-09,10
2019-06-16,10
2019-06-23,11
2019-06-30,9
2019-07-07,7
2019-07-14,8
2019-07-21,7
2019-07-28,7
2019-08-04,9
2019-08-11,9
2019-08-18,12
2019-08-25,13
2019-09-01,13
2019-09-08,17
2019-09-15,16
2019-09-22,20
2019-09-29,20
2019-10-06,24
2019-10-13,25
2019-10-20,25
2019-10-27,25
2019-11-03,30
2019-11-10,33
2019-11-17,32
2019-11-24,34
2019-12-01,37
2019-12-08,40
2019-12-15,58
2019-12-22,81
2019-12-29,82
2020-01-05,65
2020-01-12,62
2020-01-19,63
2020-01-26,79
2020-02-02,73
2020-02-09,66
2020-02-16,64
2020-02-23,67
