Category: All categories

Week,flu medicine: (United States)
2010-03-07,13
2010-03-14,8
2010-03-21,5
2010-03-28,4
2010-04-04,8
2010-04-11,4
2010-04-18,5
2010-04-25,6
2010-05-02,6
2010-05-09,5
2010-05-16,8
2010-05-23,4
2010-05-30,2
2010-06-06,4
2010-06-13,8
2010-06-20,3
2010-06-27,3
2010-07-04,4
2010-07-11,2
2010-07-18,2
2010-07-25,5
2010-08-01,4
2010-08-08,3
2010-08-15,6
2010-08-22,4
2010-08-29,5
2010-09-05,7
2010-09-12,9
2010-09-19,8
2010-09-26,15
2010-10-03,14
2010-10-10,10
2010-10-17,13
2010-10-24,13
2010-10-31,15
2010-11-07,14
2010-11-14,13
2010-11-21,10
2010-11-28,11
2010-12-05,11
2010-12-12,19
2010-12-19,16
2010-12-26,20
2011-01-02,32
2011-01-09,20
2011-01-16,28
2011-01-23,24
2011-01-30,27
2011-02-06,21
2011-02-13,21
2011-02-20,30
2011-02-27,22
2011-03-06,13
2011-03-13,22
2011-03-20,14
2011-03-27,9
2011-04-03,10
2011-04-10,9
2011-04-17,7
2011-04-24,8
2011-05-01,6
2011-05-08,6
2011-05-15,9
2011-05-22,5
2011-05-29,7
2011-06-05,5
2011-06-12,4
2011-06-19,7
2011-06-26,4
2011-07-03,4
2011-07-10,6
2011-07-17,5
2011-07-24,8
2011-07-31,5
2011-08-07,5
2011-08-14,5
2011-08-21,6
2011-08-28,4
2011-09-04,6
2011-09-11,9
2011-09-18,10
2011-09-25,10
2011-10-02,16
2011-10-09,9
2011-10-16,14
2011-10-23,15
2011-10-30,13
2011-11-06,19
2011-11-13,17
2011-11-20,14
2011-11-27,17
2011-12-04,12
2011-12-11,13
2011-12-18,23
2011-12-25,21
2012-01-01,18
2012-01-08,15
2012-01-15,17
2012-01-22,13
2012-01-29,20
2012-02-05,13
2012-02-12,21
2012-02-19,18
2012-02-26,17
2012-03-04,17
2012-03-11,15
2012-03-18,12
2012-03-25,16
2012-04-01,9
2012-04-08,11
2012-04-15,9
2012-04-22,10
2012-04-29,10
2012-05-06,8
2012-05-13,11
2012-05-20,9
2012-05-27,6
2012-06-03,4
2012-06-10,8
2012-06-17,6
2012-06-24,7
2012-07-01,10
2012-07-08,5
2012-07-15,6
2012-07-22,6
2012-07-29,6
2012-08-05,4
2012-08-12,8
2012-08-19,6
2012-08-26,7
2012-09-02,9
2012-09-09,9
2012-09-16,14
2012-09-23,18
2012-09-30,17
2012-10-07,19
2012-10-14,18
2012-10-21,21
2012-10-28,18
2012-11-04,17
2012-11-11,18
2012-11-18,23
2012-11-25,20
2012-12-02,29
2012-12-09,32
2012-12-16,38
2012-12-23,60
2012-12-30,61
2013-01-06,100
2013-01-13,82
2013-01-20,56
2013-01-27,50
2013-02-03,34
2013-02-10,27
2013-02-17,27
2013-02-24,22
2013-03-03,27
2013-03-10,23
2013-03-17,23
2013-03-24,17
2013-03-31,16
2013-04-07,18
2013-04-14,12
2013-04-21,11
2013-04-28,10
2013-05-05,8
2013-05-12,8
2013-05-19,11
2013-05-26,7
2013-06-02,7
2013-06-09,3
2013-06-16,5
2013-06-23,9
2013-06-30,6
2013-07-07,3
2013-07-14,5
2013-07-21,4
2013-07-28,6
2013-08-04,9
2013-08-11,9
2013-08-18,10
2013-08-25,6
2013-09-01,9
2013-09-08,9
2013-09-15,11
2013-09-22,17
2013-09-29,16
2013-10-06,16
2013-10-13,18
2013-10-20,20
2013-10-27,17
2013-11-03,24
2013-11-10,19
2013-11-17,19
2013-11-24,21
2013-12-01,25
2013-12-08,22
2013-12-15,48
2013-12-22,47
2013-12-29,60
2014-01-05,56
2014-01-12,60
2014-01-19,45
2014-01-26,36
2014-02-02,37
2014-02-09,30
2014-02-16,25
2014-02-23,27
2014-03-02,20
2014-03-09,18
2014-03-16,20
2014-03-23,18
2014-03-30,21
2014-04-06,12
2014-04-13,14
2014-04-20,14
2014-04-27,13
2014-05-04,11
2014-05-11,11
2014-05-18,7
2014-05-25,8
2014-06-01,11
2014-06-08,6
2014-06-15,8
2014-06-22,7
2014-06-29,7
2014-07-06,10
2014-07-13,10
2014-07-20,6
2014-07-27,8
2014-08-03,7
2014-08-10,8
2014-08-17,9
2014-08-24,9
2014-08-31,5
2014-09-07,19
2014-09-14,18
2014-09-21,16
2014-09-28,20
2014-10-05,19
2014-10-12,17
2014-10-19,22
2014-10-26,21
2014-11-02,19
2014-11-09,20
2014-11-16,22
2014-11-23,23
2014-11-30,32
2014-12-07,37
2014-12-14,49
2014-12-21,66
2014-12-28,65
2015-01-04,66
2015-01-11,42
2015-01-18,41
2015-01-25,42
2015-02-01,31
2015-02-08,29
2015-02-15,35
2015-02-22,33
2015-03-01,29
