Category: All categories

Week,flu: (United States)
2015-03-01,13
2015-03-08,11
2015-03-15,10
2015-03-22,9
2015-03-29,8
2015-04-05,9
2015-04-12,10
2015-04-19,9
2015-04-26,7
2015-05-03,6
2015-05-10,6
2015-05-17,6
2015-05-24,6
2015-05-31,5
2015-06-07,5
2015-06-14,4
2015-06-21,4
2015-06-28,4
2015-07-05,4
2015-07-12,4
2015-07-19,4
2015-07-26,4
2015-08-02,4
2015-08-09,4
2015-08-16,5
2015-08-23,5
2015-08-30,6
2015-09-06,7
2015-09-13,10
2015-09-20,12
2015-09-27,15
2015-10-04,19
2015-10-11,18
2015-10-18,18
2015-10-25,16
2015-11-01,15
2015-11-08,13
2015-11-15,12
2015-11-22,10
2015-11-29,11
2015-12-06,10
2015-12-13,10
2015-12-20,11
2015-12-27,11
2016-01-03,11
2016-01-10,10
2016-01-17,11
2016-01-24,11
2016-01-31,10
2016-02-07,11
2016-02-14,14
2016-02-21,15
2016-02-28,16
2016-03-06,17
2016-03-13,14
2016-03-20,13
2016-03-27,12
2016-04-03,10
2016-04-10,9
2016-04-17,10
2016-04-24,8
2016-05-01,7
2016-05-08,7
2016-05-15,7
2016-05-22,10
2016-05-29,7
2016-06-05,5
2016-06-12,5
2016-06-19,4
2016-06-26,4
2016-07-03,4
2016-07-10,4
2016-07-17,4
2016-07-24,4
2016-07-31,4
2016-08-07,4
2016-08-14,4
2016-08-21,5
2016-08-28,7
2016-09-04,8
2016-09-11,11
2016-09-18,12
2016-09-25,15
2016-10-02,17
2016-10-09,17
2016-10-16,16
2016-10-23,16
2016-10-30,13
2016-11-06,12
2016-11-13,12
2016-11-20,10
2016-11-27,12
2016-12-04,11
2016-12-11,12
2016-12-18,14
2016-12-25,17
2017-01-01,18
2017-01-08,18
2017-01-15,18
2017-01-22,19
2017-01-29,21
2017-02-05,25
2017-02-12,25
2017-02-19,22
2017-02-26,17
2017-03-05,16
2017-03-12,14
2017-03-19,14
2017-03-26,13
2017-04-02,11
2017-04-09,10
2017-04-16,8
2017-04-23,7
2017-04-30,6
2017-05-07,6
2017-05-14,6
2017-05-21,6
2017-05-28,6
2017-06-04,5
2017-06-11,5
2017-06-18,4
2017-06-25,4
2017-07-02,4
2017-07-09,4
2017-07-16,4
2017-07-23,4
2017-07-30,5
2017-08-06,5
2017-08-13,5
2017-08-20,6
2017-08-27,7
2017-09-03,8
2017-09-10,11
2017-09-17,13
2017-09-24,16
2017-10-01,18
2017-10-08,18
2017-10-15,18
2017-10-22,18
2017-10-29,16
2017-11-05,16
2017-11-12,16
2017-11-19,14
2017-11-26,16
2017-12-03,19
2017-12-10,21
2017-12-17,29
2017-12-24,38
2017-12-31,43
2018-01-07,65
2018-01-14,81
2018-01-21,94
2018-01-28,100
2018-02-04,86
2018-02-11,71
2018-02-18,44
2018-02-25,29
2018-03-04,21
2018-03-11,17
2018-03-18,15
2018-03-25,15
2018-04-01,13
2018-04-08,11
2018-04-15,9
2018-04-22,9
2018-04-29,8
2018-05-06,7
2018-05-13,6
2018-05-20,6
2018-05-27,6
2018-06-03,6
2018-06-10,5
2018-06-17,5
2018-06-24,4
2018-07-01,4
2018-07-08,5
2018-07-15,4
2018-07-22,4
2018-07-29,5
2018-08-05,5
2018-08-12,5
2018-08-19,6
2018-08-26,8
2018-09-02,11
2018-09-09,13
2018-09-16,15
2018-09-23,20
2018-09-30,26
2018-10-07,25
2018-10-14,30
2018-10-21,27
2018-10-28,23
2018-11-04,19
2018-11-11,18
2018-11-18,16
2018-11-25,18
2018-12-02,16
2018-12-09,17
2018-12-16,20
2018-12-23,25
2018-12-30,27
2019-01-06,26
2019-01-13,22
2019-01-20,23
2019-01-27,27
2019-02-03,31
2019-02-10,30
2019-02-17,30
2019-02-24,26
2019-03-03,25
2019-03-10,24
2019-03-17,20
2019-03-24,18
2019-03-31,15
2019-04-07,12
2019-04-14,10
2019-04-21,9
2019-04-28,8
2019-05-05,7
2019-05-12,7
2019-05-19,7
2019-05-26,6
2019-06-02,6
2019-06-09,5
2019-06-16,5
2019-06-23,5
2019-06-30,4
2019-07-07,5
2019-07-14,5
2019-07-21,5
2019-07-28,4
2019-08-04,5
2019-08-11,5
2019-08-18,7
2019-08-25,8
2019-09-01,9
2019-09-08,12
2019-09-15,16
2019-09-22,21
2019-09-29,24
2019-10-06,29
2019-10-13,28
2019-10-20,26
2019-10-27,22
2019-11-03,23
2019-11-10,21
2019-11-17,22
2019-11-24,19
2019-12-01,22
2019-12-08,25
2019-12-15,31
2019-12-22,39
2019-12-29,39
2020-01-05,38
2020-01-12,38
2020-01-19,45
2020-01-26,61
2020-02-02,56
2020-02-09,48
2020-02-16,42
2020-02-23,43
