Category: All categories

Week,flu: (United States)
2010-03-07,7
2010-03-14,7
2010-03-21,6
2010-03-28,6
2010-04-04,5
2010-04-11,5
2010-04-18,5
2010-04-25,4
2010-05-02,4
2010-05-09,4
2010-05-16,4
2010-05-23,4
2010-05-30,4
2010-06-06,4
2010-06-13,3
2010-06-20,3
2010-06-27,3
2010-07-04,3
2010-07-11,3
2010-07-18,4
2010-07-25,3
2010-08-01,4
2010-08-08,4
2010-08-15,4
2010-08-22,5
2010-08-29,6
2010-09-05,8
2010-09-12,11
2010-09-19,13
2010-09-26,14
2010-10-03,17
2010-10-10,16
2010-10-17,15
2010-10-24,14
2010-10-31,13
2010-11-07,13
2010-11-14,12
2010-11-21,9
2010-11-28,10
2010-12-05,11
2010-12-12,11
2010-12-19,11
2010-12-26,13
2011-01-02,15
2011-01-09,13
2011-01-16,14
2011-01-23,16
2011-01-30,15
2011-02-06,16
2011-02-13,16
2011-02-20,14
2011-02-27,12
2011-03-06,10
2011-03-13,9
2011-03-20,8
2011-03-27,7
2011-04-03,6
2011-04-10,6
2011-04-17,5
2011-04-24,5
2011-05-01,5
2011-05-08,5
2011-05-15,5
2011-05-22,4
2011-05-29,4
2011-06-05,4
2011-06-12,4
2011-06-19,3
2011-06-26,3
2011-07-03,3
2011-07-10,3
2011-07-17,3
2011-07-24,3
2011-07-31,3
2011-08-07,3
2011-08-14,4
2011-08-21,5
2011-08-28,6
2011-09-04,8
2011-09-11,11
2011-09-18,13
2011-09-25,14
2011-10-02,17
2011-10-09,17
2011-10-16,16
2011-10-23,16
2011-10-30,13
2011-11-06,12
2011-11-13,12
2011-11-20,10
2011-11-27,11
2011-12-04,10
2011-12-11,10
2011-12-18,11
2011-12-25,11
2012-01-01,11
2012-01-08,10
2012-01-15,10
2012-01-22,10
2012-01-29,10
2012-02-05,9
2012-02-12,11
2012-02-19,11
2012-02-26,11
2012-03-04,10
2012-03-11,10
2012-03-18,8
2012-03-25,7
2012-04-01,7
2012-04-08,7
2012-04-15,6
2012-04-22,6
2012-04-29,5
2012-05-06,5
2012-05-13,5
2012-05-20,5
2012-05-27,4
2012-06-03,4
2012-06-10,5
2012-06-17,4
2012-06-24,4
2012-07-01,4
2012-07-08,4
2012-07-15,3
2012-07-22,4
2012-07-29,5
2012-08-05,5
2012-08-12,5
2012-08-19,6
2012-08-26,7
2012-09-02,8
2012-09-09,10
2012-09-16,12
2012-09-23,14
2012-09-30,17
2012-10-07,17
2012-10-14,16
2012-10-21,15
2012-10-28,13
2012-11-04,13
2012-11-11,14
2012-11-18,13
2012-11-25,16
2012-12-02,23
2012-12-09,22
2012-12-16,23
2012-12-23,27
2012-12-30,35
2013-01-06,100
2013-01-13,77
2013-01-20,43
2013-01-27,30
2013-02-03,22
2013-02-10,17
2013-02-17,16
2013-02-24,14
2013-03-03,14
2013-03-10,12
2013-03-17,11
2013-03-24,10
2013-03-31,11
2013-04-07,10
2013-04-14,9
2013-04-21,8
2013-04-28,7
2013-05-05,6
2013-05-12,5
2013-05-19,5
2013-05-26,5
2013-06-02,4
2013-06-09,4
2013-06-16,4
2013-06-23,4
2013-06-30,4
2013-07-07,3
2013-07-14,3
2013-07-21,4
2013-07-28,4
2013-08-04,4
2013-08-11,4
2013-08-18,5
2013-08-25,6
2013-09-01,8
2013-09-08,10
2013-09-15,13
2013-09-22,17
2013-09-29,19
2013-10-06,20
2013-10-13,19
2013-10-20,19
2013-10-27,17
2013-11-03,16
2013-11-10,16
2013-11-17,14
2013-11-24,13
2013-12-01,14
2013-12-08,15
2013-12-15,20
2013-12-22,26
2013-12-29,34
2014-01-05,45
2014-01-12,40
2014-01-19,32
2014-01-26,26
2014-02-02,19
2014-02-09,15
2014-02-16,14
2014-02-23,12
2014-03-02,11
2014-03-09,10
2014-03-16,9
2014-03-23,9
2014-03-30,9
2014-04-06,9
2014-04-13,8
2014-04-20,8
2014-04-27,7
2014-05-04,6
2014-05-11,6
2014-05-18,5
2014-05-25,5
2014-06-01,5
2014-06-08,4
2014-06-15,4
2014-06-22,4
2014-06-29,4
2014-07-06,5
2014-07-13,4
2014-07-20,4
2014-07-27,4
2014-08-03,5
2014-08-10,5
2014-08-17,5
2014-08-24,6
2014-08-31,7
2014-09-07,11
2014-09-14,14
2014-09-21,16
2014-09-28,21
2014-10-05,25
2014-10-12,29
2014-10-19,25
2014-10-26,20
2014-11-02,18
2014-11-09,16
2014-11-16,15
2014-11-23,14
2014-11-30,19
2014-12-07,23
2014-12-14,30
2014-12-21,36
2014-12-28,41
2015-01-04,35
2015-01-11,28
2015-01-18,26
2015-01-25,22
2015-02-01,19
2015-02-08,17
2015-02-15,17
2015-02-22,15
2015-03-01,15
