Category: All categories

Week,flu symptoms: (United States)
2015-03-01,12
2015-03-08,11
2015-03-15,9
2015-03-22,9
2015-03-29,8
2015-04-05,8
2015-04-12,8
2015-04-19,7
2015-04-26,6
2015-05-03,5
2015-05-10,5
2015-05-17,5
2015-05-24,5
2015-05-31,4
2015-06-07,4
2015-06-14,3
2015-06-21,3
2015-06-28,3
2015-07-05,3
2015-07-12,3
2015-07-19,3
2015-07-26,3
2015-08-02,3
2015-08-09,3
2015-08-16,3
2015-08-23,3
2015-08-30,4
2015-09-06,4
2015-09-13,5
2015-09-20,6
2015-09-27,7
2015-10-04,8
2015-10-11,8
2015-10-18,8
2015-10-25,8
2015-11-01,8
2015-11-08,8
2015-11-15,8
2015-11-22,7
2015-11-29,9
2015-12-06,9
2015-12-13,9
2015-12-20,10
2015-12-27,10
2016-01-03,10
2016-01-10,8
2016-01-17,9
2016-01-24,9
2016-01-31,9
2016-02-07,10
2016-02-14,13
2016-02-21,15
2016-02-28,15
2016-03-06,16
2016-03-13,14
2016-03-20,12
2016-03-27,11
2016-04-03,9
2016-04-10,8
2016-04-17,8
2016-04-24,7
2016-05-01,6
2016-05-08,5
2016-05-15,5
2016-05-22,4
2016-05-29,4
2016-06-05,3
2016-06-12,3
2016-06-19,3
2016-06-26,3
2016-07-03,3
2016-07-10,3
2016-07-17,3
2016-07-24,3
2016-07-31,3
2016-08-07,3
2016-08-14,3
2016-08-21,3
2016-08-28,4
2016-09-04,4
2016-09-11,5
2016-09-18,6
2016-09-25,6
2016-10-02,7
2016-10-09,7
2016-10-16,7
2016-10-23,7
2016-10-30,7
2016-11-06,7
2016-11-13,8
2016-11-20,7
2016-11-27,9
2016-12-04,8
2016-12-11,9
2016-12-18,11
2016-12-25,13
2017-01-01,15
2017-01-08,15
2017-01-15,15
2017-01-22,15
2017-01-29,19
2017-02-05,24
2017-02-12,25
2017-02-19,22
2017-02-26,15
2017-03-05,13
2017-03-12,12
2017-03-19,13
2017-03-26,11
2017-04-02,9
2017-04-09,7
2017-04-16,6
2017-04-23,6
2017-04-30,5
2017-05-07,4
2017-05-14,4
2017-05-21,4
2017-05-28,4
2017-06-04,4
2017-06-11,4
2017-06-18,4
2017-06-25,3
2017-07-02,3
2017-07-09,3
2017-07-16,3
2017-07-23,3
2017-07-30,3
2017-08-06,3
2017-08-13,3
2017-08-20,3
2017-08-27,4
2017-09-03,5
2017-09-10,5
2017-09-17,6
2017-09-24,7
2017-10-01,7
2017-10-08,7
2017-10-15,8
2017-10-22,9
2017-10-29,9
2017-11-05,9
2017-11-12,11
2017-11-19,10
2017-11-26,13
2017-12-03,14
2017-12-10,18
2017-12-17,27
2017-12-24,37
2017-12-31,41
2018-01-07,60
2018-01-14,81
2018-01-21,94
2018-01-28,100
2018-02-04,89
2018-02-11,76
2018-02-18,47
2018-02-25,29
2018-03-04,20
2018-03-11,16
2018-03-18,13
2018-03-25,13
2018-04-01,11
2018-04-08,9
2018-04-15,8
2018-04-22,7
2018-04-29,6
2018-05-06,5
2018-05-13,5
2018-05-20,4
2018-05-27,4
2018-06-03,4
2018-06-10,3
2018-06-17,3
2018-06-24,3
2018-07-01,3
2018-07-08,3
2018-07-15,3
2018-07-22,3
2018-07-29,3
2018-08-05,3
2018-08-12,3
2018-08-19,4
2018-08-26,4
2018-09-02,6
2018-09-09,6
2018-09-16,7
2018-09-23,8
2018-09-30,9
2018-10-07,10
2018-10-14,11
2018-10-21,12
2018-10-28,12
2018-11-04,11
2018-11-11,12
2018-11-18,12
2018-11-25,13
2018-12-02,11
2018-12-09,13
2018-12-16,16
2018-12-23,21
2018-12-30,23
2019-01-06,21
2019-01-13,20
2019-01-20,21
2019-01-27,25
2019-02-03,30
2019-02-10,29
2019-02-17,28
2019-02-24,25
2019-03-03,22
2019-03-10,21
2019-03-17,18
2019-03-24,15
2019-03-31,12
2019-04-07,9
2019-04-14,8
2019-04-21,8
2019-04-28,7
2019-05-05,6
2019-05-12,6
2019-05-19,5
2019-05-26,5
2019-06-02,4
2019-06-09,4
2019-06-16,4
2019-06-23,4
2019-06-30,3
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,4
2019-08-11,3
2019-08-18,4
2019-08-25,4
2019-09-01,5
2019-09-08,6
2019-09-15,7
2019-09-22,9
2019-09-29,9
2019-10-06,11
2019-10-13,11
2019-10-20,12
2019-10-27,11
2019-11-03,13
2019-11-10,14
2019-11-17,15
2019-11-24,14
2019-12-01,17
2019-12-08,19
2019-12-15,25
2019-12-22,35
2019-12-29,33
2020-01-05,32
2020-01-12,33
2020-01-19,33
2020-01-26,40
2020-02-02,41
2020-02-09,36
2020-02-16,31
2020-02-23,31
