Category: All categories

Month,flu symptoms: (United States)
2004-01,7
2004-02,3
2004-03,2
2004-04,2
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,2
2004-10,5
2004-11,6
2004-12,6
2005-01,7
2005-02,10
2005-03,5
2005-04,3
2005-05,2
2005-06,1
2005-07,2
2005-08,2
2005-09,2
2005-10,6
2005-11,7
2005-12,7
2006-01,6
2006-02,7
2006-03,6
2006-04,3
2006-05,4
2006-06,2
2006-07,2
2006-08,1
2006-09,2
2006-10,3
2006-11,5
2006-12,7
2007-01,6
2007-02,7
2007-03,4
2007-04,2
2007-05,2
2007-06,1
2007-07,1
2007-08,1
2007-09,2
2007-10,3
2007-11,4
2007-12,4
2008-01,6
2008-02,13
2008-03,7
2008-04,3
2008-05,2
2008-06,1
2008-07,1
2008-08,1
2008-09,2
2008-10,4
2008-11,5
2008-12,5
2009-01,5
2009-02,8
2009-03,6
2009-04,55
2009-05,60
2009-06,25
2009-07,18
2009-08,27
2009-09,69
2009-10,100
2009-11,56
2009-12,19
2010-01,11
2010-02,8
2010-03,6
2010-04,4
2010-05,3
2010-06,2
2010-07,2
2010-08,2
2010-09,4
2010-10,5
2010-11,6
2010-12,7
2011-01,12
2011-02,13
2011-03,7
2011-04,4
2011-05,3
2011-06,3
2011-07,2
2011-08,2
2011-09,5
2011-10,7
2011-11,7
2011-12,7
2012-01,7
2012-02,8
2012-03,7
2012-04,5
2012-05,4
2012-06,3
2012-07,3
2012-08,4
2012-09,6
2012-10,7
2012-11,9
2012-12,18
2013-01,44
2013-02,16
2013-03,9
2013-04,6
2013-05,3
2013-06,2
2013-07,2
2013-08,3
2013-09,5
2013-10,7
2013-11,7
2013-12,14
2014-01,24
2014-02,12
2014-03,7
2014-04,5
2014-05,4
2014-06,3
2014-07,2
2014-08,2
2014-09,4
2014-10,8
2014-11,8
2014-12,21
2015-01,24
2015-02,14
2015-03,8
2015-04,6
2015-05,4
2015-06,3
2015-07,3
2015-08,3
2015-09,5
2015-10,7
2015-11,7
2015-12,8
2016-01,8
2016-02,10
2016-03,12
2016-04,7
2016-05,4
2016-06,3
2016-07,2
2016-08,3
2016-09,5
2016-10,6
2016-11,7
2016-12,9
2017-01,13
2017-02,19
2017-03,11
2017-04,6
2017-05,4
2017-06,3
2017-07,3
2017-08,3
2017-09,5
2017-10,7
2017-11,9
2017-12,20
2018-01,64
2018-02,59
2018-03,14
2018-04,7
2018-05,4
2018-06,3
2018-07,3
2018-08,3
2018-09,6
2018-10,9
2018-11,10
2018-12,13
2019-01,19
2019-02,24
2019-03,17
2019-04,8
2019-05,5
2019-06,3
2019-07,3
2019-08,3
2019-09,6
2019-10,10
2019-11,12
2019-12,21
2020-01,30
2020-02,33
