Category: All categories

Week,immunity: (United States)
2015-03-01,29
2015-03-08,26
2015-03-15,25
2015-03-22,29
2015-03-29,26
2015-04-05,29
2015-04-12,32
2015-04-19,30
2015-04-26,30
2015-05-03,27
2015-05-10,26
2015-05-17,25
2015-05-24,21
2015-05-31,19
2015-06-07,21
2015-06-14,15
2015-06-21,17
2015-06-28,17
2015-07-05,17
2015-07-12,18
2015-07-19,19
2015-07-26,19
2015-08-02,16
2015-08-09,15
2015-08-16,17
2015-08-23,17
2015-08-30,20
2015-09-06,20
2015-09-13,49
2015-09-20,30
2015-09-27,25
2015-10-04,25
2015-10-11,24
2015-10-18,27
2015-10-25,26
2015-11-01,27
2015-11-08,26
2015-11-15,26
2015-11-22,19
2015-11-29,29
2015-12-06,28
2015-12-13,24
2015-12-20,14
2015-12-27,14
2016-01-03,19
2016-01-10,18
2016-01-17,23
2016-01-24,24
2016-01-31,26
2016-02-07,24
2016-02-14,25
2016-02-21,27
2016-02-28,44
2016-03-06,31
2016-03-13,28
2016-03-20,25
2016-03-27,27
2016-04-03,28
2016-04-10,29
2016-04-17,30
2016-04-24,30
2016-05-01,29
2016-05-08,27
2016-05-15,23
2016-05-22,21
2016-05-29,18
2016-06-05,20
2016-06-12,18
2016-06-19,17
2016-06-26,16
2016-07-03,16
2016-07-10,17
2016-07-17,17
2016-07-24,16
2016-07-31,17
2016-08-07,16
2016-08-14,16
2016-08-21,18
2016-08-28,19
2016-09-04,21
2016-09-11,26
2016-09-18,27
2016-09-25,35
2016-10-02,33
2016-10-09,29
2016-10-16,28
2016-10-23,32
2016-10-30,37
2016-11-06,30
2016-11-13,31
2016-11-20,21
2016-11-27,29
2016-12-04,30
2016-12-11,28
2016-12-18,18
2016-12-25,13
2017-01-01,20
2017-01-08,24
2017-01-15,27
2017-01-22,26
2017-01-29,27
2017-02-05,27
2017-02-12,27
2017-02-19,28
2017-02-26,28
2017-03-05,28
2017-03-12,26
2017-03-19,28
2017-03-26,100
2017-04-02,38
2017-04-09,29
2017-04-16,31
2017-04-23,32
2017-04-30,30
2017-05-07,30
2017-05-14,27
2017-05-21,26
2017-05-28,20
2017-06-04,19
2017-06-11,19
2017-06-18,19
2017-06-25,17
2017-07-02,16
2017-07-09,18
2017-07-16,19
2017-07-23,17
2017-07-30,17
2017-08-06,17
2017-08-13,18
2017-08-20,18
2017-08-27,17
2017-09-03,19
2017-09-10,23
2017-09-17,22
2017-09-24,24
2017-10-01,23
2017-10-08,25
2017-10-15,25
2017-10-22,26
2017-10-29,26
2017-11-05,27
2017-11-12,27
2017-11-19,20
2017-11-26,26
2017-12-03,29
2017-12-10,29
2017-12-17,23
2017-12-24,16
2017-12-31,20
2018-01-07,24
2018-01-14,41
2018-01-21,61
2018-01-28,39
2018-02-04,32
2018-02-11,31
2018-02-18,30
2018-02-25,32
2018-03-04,29
2018-03-11,25
2018-03-18,29
2018-03-25,27
2018-04-01,28
2018-04-08,31
2018-04-15,29
2018-04-22,30
2018-04-29,29
2018-05-06,28
2018-05-13,25
2018-05-20,21
2018-05-27,19
2018-06-03,26
2018-06-10,20
2018-06-17,18
2018-06-24,18
2018-07-01,16
2018-07-08,19
2018-07-15,26
2018-07-22,22
2018-07-29,19
2018-08-05,20
2018-08-12,18
2018-08-19,51
2018-08-26,25
2018-09-02,21
2018-09-09,24
2018-09-16,24
2018-09-23,25
2018-09-30,26
2018-10-07,26
2018-10-14,27
2018-10-21,28
2018-10-28,28
2018-11-04,27
2018-11-11,26
2018-11-18,21
2018-11-25,29
2018-12-02,30
2018-12-09,30
2018-12-16,22
2018-12-23,16
2018-12-30,19
2019-01-06,23
2019-01-13,23
2019-01-20,26
2019-01-27,29
2019-02-03,27
2019-02-10,28
2019-02-17,29
2019-02-24,31
2019-03-03,31
2019-03-10,29
2019-03-17,29
2019-03-24,31
2019-03-31,30
2019-04-07,32
2019-04-14,32
2019-04-21,33
2019-04-28,35
2019-05-05,32
2019-05-12,30
2019-05-19,24
2019-05-26,21
2019-06-02,22
2019-06-09,19
2019-06-16,22
2019-06-23,21
2019-06-30,17
2019-07-07,18
2019-07-14,18
2019-07-21,19
2019-07-28,19
2019-08-04,18
2019-08-11,18
2019-08-18,19
2019-08-25,21
2019-09-01,19
2019-09-08,22
2019-09-15,25
2019-09-22,25
2019-09-29,26
2019-10-06,39
2019-10-13,33
2019-10-20,30
2019-10-27,29
2019-11-03,31
2019-11-10,28
2019-11-17,29
2019-11-24,20
2019-12-01,28
2019-12-08,28
2019-12-15,23
2019-12-22,16
2019-12-29,19
2020-01-05,23
2020-01-12,25
2020-01-19,27
2020-01-26,32
2020-02-02,31
2020-02-09,31
2020-02-16,32
2020-02-23,39
