Category: All categories

Week,immunity: (United States)
2010-03-07,44
2010-03-14,49
2010-03-21,50
2010-03-28,49
2010-04-04,64
2010-04-11,59
2010-04-18,56
2010-04-25,54
2010-05-02,56
2010-05-09,50
2010-05-16,45
2010-05-23,44
2010-05-30,38
2010-06-06,40
2010-06-13,35
2010-06-20,29
2010-06-27,35
2010-07-04,32
2010-07-11,30
2010-07-18,37
2010-07-25,34
2010-08-01,33
2010-08-08,30
2010-08-15,29
2010-08-22,34
2010-08-29,37
2010-09-05,39
2010-09-12,41
2010-09-19,40
2010-09-26,43
2010-10-03,43
2010-10-10,51
2010-10-17,48
2010-10-24,46
2010-10-31,47
2010-11-07,53
2010-11-14,46
2010-11-21,40
2010-11-28,41
2010-12-05,50
2010-12-12,45
2010-12-19,31
2010-12-26,24
2011-01-02,34
2011-01-09,38
2011-01-16,45
2011-01-23,46
2011-01-30,48
2011-02-06,48
2011-02-13,52
2011-02-20,54
2011-02-27,57
2011-03-06,51
2011-03-13,50
2011-03-20,49
2011-03-27,52
2011-04-03,50
2011-04-10,54
2011-04-17,52
2011-04-24,53
2011-05-01,52
2011-05-08,50
2011-05-15,59
2011-05-22,43
2011-05-29,43
2011-06-05,45
2011-06-12,45
2011-06-19,39
2011-06-26,40
2011-07-03,34
2011-07-10,35
2011-07-17,33
2011-07-24,37
2011-07-31,35
2011-08-07,32
2011-08-14,30
2011-08-21,35
2011-08-28,35
2011-09-04,37
2011-09-11,49
2011-09-18,52
2011-09-25,48
2011-10-02,50
2011-10-09,52
2011-10-16,58
2011-10-23,52
2011-10-30,50
2011-11-06,60
2011-11-13,100
2011-11-20,80
2011-11-27,78
2011-12-04,71
2011-12-11,64
2011-12-18,52
2011-12-25,71
2012-01-01,66
2012-01-08,61
2012-01-15,56
2012-01-22,58
2012-01-29,64
2012-02-05,69
2012-02-12,64
2012-02-19,65
2012-02-26,60
2012-03-04,56
2012-03-11,57
2012-03-18,55
2012-03-25,66
2012-04-01,54
2012-04-08,61
2012-04-15,64
2012-04-22,69
2012-04-29,64
2012-05-06,57
2012-05-13,49
2012-05-20,46
2012-05-27,44
2012-06-03,52
2012-06-10,48
2012-06-17,46
2012-06-24,42
2012-07-01,38
2012-07-08,41
2012-07-15,39
2012-07-22,39
2012-07-29,41
2012-08-05,40
2012-08-12,43
2012-08-19,44
2012-08-26,42
2012-09-02,44
2012-09-09,53
2012-09-16,53
2012-09-23,48
2012-09-30,48
2012-10-07,52
2012-10-14,48
2012-10-21,47
2012-10-28,48
2012-11-04,48
2012-11-11,55
2012-11-18,42
2012-11-25,55
2012-12-02,66
2012-12-09,67
2012-12-16,45
2012-12-23,30
2012-12-30,39
2013-01-06,55
2013-01-13,55
2013-01-20,50
2013-01-27,52
2013-02-03,56
2013-02-10,68
2013-02-17,64
2013-02-24,58
2013-03-03,56
2013-03-10,66
2013-03-17,65
2013-03-24,55
2013-03-31,57
2013-04-07,59
2013-04-14,60
2013-04-21,61
2013-04-28,66
2013-05-05,59
2013-05-12,50
2013-05-19,46
2013-05-26,39
2013-06-02,47
2013-06-09,43
2013-06-16,42
2013-06-23,38
2013-06-30,33
2013-07-07,39
2013-07-14,50
2013-07-21,43
2013-07-28,38
2013-08-04,36
2013-08-11,36
2013-08-18,41
2013-08-25,40
2013-09-01,42
2013-09-08,48
2013-09-15,46
2013-09-22,53
2013-09-29,52
2013-10-06,51
2013-10-13,51
2013-10-20,50
2013-10-27,54
2013-11-03,51
2013-11-10,54
2013-11-17,55
2013-11-24,44
2013-12-01,57
2013-12-08,61
2013-12-15,56
2013-12-22,34
2013-12-29,37
2014-01-05,53
2014-01-12,53
2014-01-19,53
2014-01-26,51
2014-02-02,55
2014-02-09,54
2014-02-16,56
2014-02-23,62
2014-03-02,58
2014-03-09,57
2014-03-16,56
2014-03-23,61
2014-03-30,60
2014-04-06,66
2014-04-13,55
2014-04-20,65
2014-04-27,64
2014-05-04,62
2014-05-11,54
2014-05-18,55
2014-05-25,43
2014-06-01,44
2014-06-08,48
2014-06-15,43
2014-06-22,43
2014-06-29,41
2014-07-06,40
2014-07-13,41
2014-07-20,38
2014-07-27,43
2014-08-03,38
2014-08-10,34
2014-08-17,38
2014-08-24,41
2014-08-31,42
2014-09-07,54
2014-09-14,56
2014-09-21,52
2014-09-28,57
2014-10-05,62
2014-10-12,68
2014-10-19,60
2014-10-26,54
2014-11-02,59
2014-11-09,54
2014-11-16,56
2014-11-23,43
2014-11-30,60
2014-12-07,62
2014-12-14,53
2014-12-21,31
2014-12-28,32
2015-01-04,48
2015-01-11,48
2015-01-18,53
2015-01-25,71
2015-02-01,80
2015-02-08,79
2015-02-15,61
2015-02-22,66
2015-03-01,67
