Category: All categories

Week,Influenza: (United States)
2005-03-13,5
2005-03-20,5
2005-03-27,4
2005-04-03,4
2005-04-10,4
2005-04-17,3
2005-04-24,3
2005-05-01,3
2005-05-08,2
2005-05-15,2
2005-05-22,2
2005-05-29,2
2005-06-05,2
2005-06-12,2
2005-06-19,2
2005-06-26,2
2005-07-03,2
2005-07-10,2
2005-07-17,2
2005-07-24,2
2005-07-31,2
2005-08-07,2
2005-08-14,2
2005-08-21,2
2005-08-28,2
2005-09-04,3
2005-09-11,4
2005-09-18,6
2005-09-25,8
2005-10-02,16
2005-10-09,19
2005-10-16,17
2005-10-23,21
2005-10-30,26
2005-11-06,19
2005-11-13,15
2005-11-20,10
2005-11-27,10
2005-12-04,9
2005-12-11,8
2005-12-18,7
2005-12-25,10
2006-01-01,7
2006-01-08,6
2006-01-15,6
2006-01-22,6
2006-01-29,6
2006-02-05,6
2006-02-12,6
2006-02-19,7
2006-02-26,7
2006-03-05,6
2006-03-12,7
2006-03-19,6
2006-03-26,5
2006-04-02,5
2006-04-09,4
2006-04-16,4
2006-04-23,4
2006-04-30,4
2006-05-07,4
2006-05-14,3
2006-05-21,3
2006-05-28,3
2006-06-04,2
2006-06-11,3
2006-06-18,2
2006-06-25,2
2006-07-02,2
2006-07-09,2
2006-07-16,2
2006-07-23,2
2006-07-30,2
2006-08-06,2
2006-08-13,2
2006-08-20,2
2006-08-27,2
2006-09-03,2
2006-09-10,3
2006-09-17,4
2006-09-24,6
2006-10-01,9
2006-10-08,11
2006-10-15,13
2006-10-22,14
2006-10-29,14
2006-11-05,13
2006-11-12,12
2006-11-19,7
2006-11-26,10
2006-12-03,8
2006-12-10,7
2006-12-17,7
2006-12-24,6
2006-12-31,6
2007-01-07,6
2007-01-14,6
2007-01-21,6
2007-01-28,7
2007-02-04,8
2007-02-11,8
2007-02-18,7
2007-02-25,6
2007-03-04,6
2007-03-11,5
2007-03-18,4
2007-03-25,4
2007-04-01,3
2007-04-08,3
2007-04-15,3
2007-04-22,3
2007-04-29,2
2007-05-06,2
2007-05-13,2
2007-05-20,2
2007-05-27,2
2007-06-03,2
2007-06-10,2
2007-06-17,2
2007-06-24,2
2007-07-01,1
2007-07-08,2
2007-07-15,2
2007-07-22,1
2007-07-29,2
2007-08-05,2
2007-08-12,2
2007-08-19,2
2007-08-26,2
2007-09-02,2
2007-09-09,3
2007-09-16,4
2007-09-23,6
2007-09-30,9
2007-10-07,11
2007-10-14,13
2007-10-21,13
2007-10-28,12
2007-11-04,12
2007-11-11,11
2007-11-18,7
2007-11-25,8
2007-12-02,6
2007-12-09,6
2007-12-16,5
2007-12-23,5
2007-12-30,5
2008-01-06,6
2008-01-13,5
2008-01-20,7
2008-01-27,9
2008-02-03,12
2008-02-10,13
2008-02-17,16
2008-02-24,14
2008-03-02,10
2008-03-09,8
2008-03-16,7
2008-03-23,5
2008-03-30,5
2008-04-06,4
2008-04-13,3
2008-04-20,3
2008-04-27,3
2008-05-04,2
2008-05-11,2
2008-05-18,2
2008-05-25,2
2008-06-01,2
2008-06-08,2
2008-06-15,2
2008-06-22,2
2008-06-29,2
2008-07-06,2
2008-07-13,2
2008-07-20,2
2008-07-27,2
2008-08-03,2
2008-08-10,2
2008-08-17,2
2008-08-24,2
2008-08-31,2
2008-09-07,3
2008-09-14,4
2008-09-21,6
2008-09-28,8
2008-10-05,10
2008-10-12,12
2008-10-19,13
2008-10-26,13
2008-11-02,11
2008-11-09,16
2008-11-16,10
2008-11-23,6
2008-11-30,7
2008-12-07,6
2008-12-14,5
2008-12-21,5
2008-12-28,5
2009-01-04,6
2009-01-11,5
2009-01-18,5
2009-01-25,6
2009-02-01,7
2009-02-08,8
2009-02-15,8
2009-02-22,8
2009-03-01,8
2009-03-08,6
2009-03-15,6
2009-03-22,5
2009-03-29,4
2009-04-05,3
2009-04-12,3
2009-04-19,10
2009-04-26,100
2009-05-03,29
2009-05-10,13
2009-05-17,12
2009-05-24,8
2009-05-31,7
2009-06-07,9
2009-06-14,8
2009-06-21,8
2009-06-28,11
2009-07-05,8
2009-07-12,7
2009-07-19,7
2009-07-26,9
2009-08-02,9
2009-08-09,10
2009-08-16,11
2009-08-23,16
2009-08-30,21
2009-09-06,22
2009-09-13,26
2009-09-20,29
2009-09-27,34
2009-10-04,41
2009-10-11,44
2009-10-18,55
2009-10-25,53
2009-11-01,42
2009-11-08,32
2009-11-15,24
2009-11-22,15
2009-11-29,13
2009-12-06,11
2009-12-13,10
2009-12-20,7
2009-12-27,7
2010-01-03,8
2010-01-10,7
2010-01-17,6
2010-01-24,5
2010-01-31,5
2010-02-07,4
2010-02-14,4
2010-02-21,5
2010-02-28,4
2010-03-07,5
