Category: All categories

Week,influenza: (United States)
2015-03-01,16
2015-03-08,18
2015-03-15,18
2015-03-22,17
2015-03-29,16
2015-04-05,18
2015-04-12,17
2015-04-19,14
2015-04-26,13
2015-05-03,12
2015-05-10,10
2015-05-17,10
2015-05-24,9
2015-05-31,7
2015-06-07,7
2015-06-14,6
2015-06-21,5
2015-06-28,5
2015-07-05,5
2015-07-12,5
2015-07-19,5
2015-07-26,5
2015-08-02,5
2015-08-09,5
2015-08-16,6
2015-08-23,7
2015-08-30,9
2015-09-06,9
2015-09-13,11
2015-09-20,12
2015-09-27,14
2015-10-04,14
2015-10-11,14
2015-10-18,13
2015-10-25,13
2015-11-01,13
2015-11-08,12
2015-11-15,12
2015-11-22,8
2015-11-29,13
2015-12-06,12
2015-12-13,11
2015-12-20,8
2015-12-27,10
2016-01-03,12
2016-01-10,12
2016-01-17,12
2016-01-24,14
2016-01-31,16
2016-02-07,18
2016-02-14,22
2016-02-21,27
2016-02-28,30
2016-03-06,32
2016-03-13,27
2016-03-20,23
2016-03-27,21
2016-04-03,19
2016-04-10,18
2016-04-17,17
2016-04-24,13
2016-05-01,11
2016-05-08,10
2016-05-15,9
2016-05-22,7
2016-05-29,6
2016-06-05,6
2016-06-12,5
2016-06-19,4
2016-06-26,5
2016-07-03,4
2016-07-10,5
2016-07-17,4
2016-07-24,4
2016-07-31,4
2016-08-07,4
2016-08-14,5
2016-08-21,6
2016-08-28,7
2016-09-04,7
2016-09-11,10
2016-09-18,10
2016-09-25,12
2016-10-02,12
2016-10-09,11
2016-10-16,11
2016-10-23,11
2016-10-30,11
2016-11-06,9
2016-11-13,11
2016-11-20,8
2016-11-27,12
2016-12-04,12
2016-12-11,13
2016-12-18,13
2016-12-25,16
2017-01-01,19
2017-01-08,22
2017-01-15,24
2017-01-22,29
2017-01-29,35
2017-02-05,43
2017-02-12,42
2017-02-19,40
2017-02-26,31
2017-03-05,29
2017-03-12,27
2017-03-19,28
2017-03-26,25
2017-04-02,21
2017-04-09,17
2017-04-16,15
2017-04-23,13
2017-04-30,11
2017-05-07,10
2017-05-14,8
2017-05-21,8
2017-05-28,8
2017-06-04,8
2017-06-11,7
2017-06-18,6
2017-06-25,7
2017-07-02,5
2017-07-09,6
2017-07-16,6
2017-07-23,5
2017-07-30,6
2017-08-06,6
2017-08-13,6
2017-08-20,6
2017-08-27,8
2017-09-03,8
2017-09-10,10
2017-09-17,12
2017-09-24,15
2017-10-01,13
2017-10-08,12
2017-10-15,14
2017-10-22,14
2017-10-29,13
2017-11-05,14
2017-11-12,15
2017-11-19,11
2017-11-26,17
2017-12-03,20
2017-12-10,23
2017-12-17,34
2017-12-24,45
2017-12-31,56
2018-01-07,70
2018-01-14,80
2018-01-21,91
2018-01-28,100
2018-02-04,87
2018-02-11,73
2018-02-18,54
2018-02-25,41
2018-03-04,32
2018-03-11,27
2018-03-18,24
2018-03-25,27
2018-04-01,22
2018-04-08,19
2018-04-15,16
2018-04-22,15
2018-04-29,12
2018-05-06,11
2018-05-13,9
2018-05-20,8
2018-05-27,6
2018-06-03,6
2018-06-10,7
2018-06-17,6
2018-06-24,5
2018-07-01,4
2018-07-08,5
2018-07-15,5
2018-07-22,5
2018-07-29,5
2018-08-05,6
2018-08-12,6
2018-08-19,7
2018-08-26,8
2018-09-02,11
2018-09-09,11
2018-09-16,12
2018-09-23,14
2018-09-30,15
2018-10-07,14
2018-10-14,17
2018-10-21,16
2018-10-28,15
2018-11-04,14
2018-11-11,14
2018-11-18,11
2018-11-25,15
2018-12-02,15
2018-12-09,16
2018-12-16,19
2018-12-23,22
2018-12-30,24
2019-01-06,25
2019-01-13,28
2019-01-20,32
2019-01-27,36
2019-02-03,39
2019-02-10,42
2019-02-17,43
2019-02-24,43
2019-03-03,47
2019-03-10,47
2019-03-17,43
2019-03-24,34
2019-03-31,27
2019-04-07,20
2019-04-14,17
2019-04-21,15
2019-04-28,13
2019-05-05,12
2019-05-12,10
2019-05-19,8
2019-05-26,7
2019-06-02,7
2019-06-09,7
2019-06-16,6
2019-06-23,6
2019-06-30,5
2019-07-07,6
2019-07-14,6
2019-07-21,6
2019-07-28,6
2019-08-04,5
2019-08-11,5
2019-08-18,7
2019-08-25,7
2019-09-01,8
2019-09-08,10
2019-09-15,12
2019-09-22,13
2019-09-29,15
2019-10-06,16
2019-10-13,15
2019-10-20,15
2019-10-27,15
2019-11-03,17
2019-11-10,17
2019-11-17,19
2019-11-24,17
2019-12-01,25
2019-12-08,29
2019-12-15,38
2019-12-22,51
2019-12-29,51
2020-01-05,50
2020-01-12,60
2020-01-19,72
2020-01-26,97
2020-02-02,92
2020-02-09,87
2020-02-16,78
2020-02-23,76
