Category: All categories

Week,influenza: (United States)
2005-03-13,5
2005-03-20,6
2005-03-27,4
2005-04-03,5
2005-04-10,5
2005-04-17,5
2005-04-24,5
2005-05-01,4
2005-05-08,4
2005-05-15,4
2005-05-22,4
2005-05-29,2
2005-06-05,2
2005-06-12,2
2005-06-19,2
2005-06-26,2
2005-07-03,2
2005-07-10,2
2005-07-17,3
2005-07-24,2
2005-07-31,2
2005-08-07,2
2005-08-14,2
2005-08-21,3
2005-08-28,3
2005-09-04,3
2005-09-11,5
2005-09-18,5
2005-09-25,7
2005-10-02,10
2005-10-09,13
2005-10-16,10
2005-10-23,9
2005-10-30,11
2005-11-06,10
2005-11-13,10
2005-11-20,8
2005-11-27,8
2005-12-04,8
2005-12-11,7
2005-12-18,5
2005-12-25,6
2006-01-01,5
2006-01-08,6
2006-01-15,7
2006-01-22,8
2006-01-29,7
2006-02-05,8
2006-02-12,8
2006-02-19,9
2006-02-26,8
2006-03-05,9
2006-03-12,9
2006-03-19,8
2006-03-26,7
2006-04-02,6
2006-04-09,6
2006-04-16,6
2006-04-23,7
2006-04-30,7
2006-05-07,6
2006-05-14,5
2006-05-21,4
2006-05-28,4
2006-06-04,3
2006-06-11,4
2006-06-18,4
2006-06-25,2
2006-07-02,2
2006-07-09,3
2006-07-16,2
2006-07-23,2
2006-07-30,3
2006-08-06,2
2006-08-13,3
2006-08-20,3
2006-08-27,3
2006-09-03,3
2006-09-10,4
2006-09-17,4
2006-09-24,5
2006-10-01,4
2006-10-08,5
2006-10-15,6
2006-10-22,6
2006-10-29,6
2006-11-05,6
2006-11-12,6
2006-11-19,5
2006-11-26,5
2006-12-03,6
2006-12-10,5
2006-12-17,4
2006-12-24,3
2006-12-31,4
2007-01-07,5
2007-01-14,4
2007-01-21,6
2007-01-28,7
2007-02-04,8
2007-02-11,8
2007-02-18,7
2007-02-25,7
2007-03-04,6
2007-03-11,5
2007-03-18,5
2007-03-25,5
2007-04-01,4
2007-04-08,4
2007-04-15,3
2007-04-22,5
2007-04-29,4
2007-05-06,3
2007-05-13,3
2007-05-20,2
2007-05-27,2
2007-06-03,3
2007-06-10,2
2007-06-17,2
2007-06-24,2
2007-07-01,1
2007-07-08,1
2007-07-15,2
2007-07-22,1
2007-07-29,2
2007-08-05,2
2007-08-12,2
2007-08-19,2
2007-08-26,3
2007-09-02,2
2007-09-09,3
2007-09-16,4
2007-09-23,4
2007-09-30,4
2007-10-07,5
2007-10-14,6
2007-10-21,4
2007-10-28,5
2007-11-04,6
2007-11-11,5
2007-11-18,4
2007-11-25,5
2007-12-02,5
2007-12-09,4
2007-12-16,4
2007-12-23,3
2007-12-30,4
2008-01-06,5
2008-01-13,5
2008-01-20,5
2008-01-27,7
2008-02-03,11
2008-02-10,12
2008-02-17,13
2008-02-24,12
2008-03-02,10
2008-03-09,10
2008-03-16,7
2008-03-23,6
2008-03-30,5
2008-04-06,5
2008-04-13,4
2008-04-20,4
2008-04-27,3
2008-05-04,3
2008-05-11,3
2008-05-18,2
2008-05-25,2
2008-06-01,2
2008-06-08,2
2008-06-15,2
2008-06-22,2
2008-06-29,2
2008-07-06,2
2008-07-13,1
2008-07-20,2
2008-07-27,2
2008-08-03,2
2008-08-10,2
2008-08-17,2
2008-08-24,2
2008-08-31,2
2008-09-07,3
2008-09-14,3
2008-09-21,4
2008-09-28,4
2008-10-05,5
2008-10-12,4
2008-10-19,5
2008-10-26,5
2008-11-02,4
2008-11-09,5
2008-11-16,5
2008-11-23,4
2008-11-30,4
2008-12-07,4
2008-12-14,3
2008-12-21,2
2008-12-28,3
2009-01-04,4
2009-01-11,4
2009-01-18,4
2009-01-25,5
2009-02-01,6
2009-02-08,6
2009-02-15,7
2009-02-22,7
2009-03-01,8
2009-03-08,7
2009-03-15,7
2009-03-22,6
2009-03-29,5
2009-04-05,4
2009-04-12,4
2009-04-19,18
2009-04-26,100
2009-05-03,27
2009-05-10,16
2009-05-17,12
2009-05-24,9
2009-05-31,8
2009-06-07,8
2009-06-14,7
2009-06-21,7
2009-06-28,8
2009-07-05,6
2009-07-12,6
2009-07-19,5
2009-07-26,6
2009-08-02,7
2009-08-09,7
2009-08-16,7
2009-08-23,8
2009-08-30,10
2009-09-06,10
2009-09-13,11
2009-09-20,12
2009-09-27,13
2009-10-04,14
2009-10-11,14
2009-10-18,16
2009-10-25,15
2009-11-01,12
2009-11-08,10
2009-11-15,8
2009-11-22,6
2009-11-29,6
2009-12-06,5
2009-12-13,4
2009-12-20,2
2009-12-27,2
2010-01-03,3
2010-01-10,4
2010-01-17,4
2010-01-24,3
2010-01-31,4
2010-02-07,3
2010-02-14,3
2010-02-21,3
2010-02-28,4
2010-03-07,4
