Category: All categories

Month,Influenza symptoms: (United States)
2004-01,11
2004-02,6
2004-03,8
2004-04,5
2004-05,4
2004-06,1
2004-07,2
2004-08,2
2004-09,6
2004-10,10
2004-11,12
2004-12,9
2005-01,14
2005-02,21
2005-03,12
2005-04,6
2005-05,4
2005-06,2
2005-07,3
2005-08,2
2005-09,7
2005-10,8
2005-11,10
2005-12,9
2006-01,10
2006-02,13
2006-03,15
2006-04,8
2006-05,3
2006-06,3
2006-07,2
2006-08,2
2006-09,2
2006-10,5
2006-11,8
2006-12,6
2007-01,7
2007-02,15
2007-03,10
2007-04,4
2007-05,3
2007-06,2
2007-07,2
2007-08,2
2007-09,2
2007-10,4
2007-11,6
2007-12,6
2008-01,10
2008-02,28
2008-03,21
2008-04,6
2008-05,4
2008-06,2
2008-07,2
2008-08,1
2008-09,2
2008-10,6
2008-11,7
2008-12,6
2009-01,8
2009-02,14
2009-03,19
2009-04,20
2009-05,12
2009-06,9
2009-07,6
2009-08,6
2009-09,16
2009-10,26
2009-11,14
2009-12,6
2010-01,6
2010-02,4
2010-03,5
2010-04,5
2010-05,4
2010-06,2
2010-07,2
2010-08,2
2010-09,3
2010-10,5
2010-11,4
2010-12,6
2011-01,12
2011-02,22
2011-03,15
2011-04,6
2011-05,4
2011-06,2
2011-07,2
2011-08,2
2011-09,4
2011-10,5
2011-11,6
2011-12,5
2012-01,7
2012-02,12
2012-03,15
2012-04,8
2012-05,7
2012-06,3
2012-07,2
2012-08,3
2012-09,5
2012-10,7
2012-11,9
2012-12,23
2013-01,51
2013-02,18
2013-03,11
2013-04,7
2013-05,4
2013-06,2
2013-07,2
2013-08,2
2013-09,4
2013-10,6
2013-11,7
2013-12,13
2014-01,29
2014-02,13
2014-03,8
2014-04,8
2014-05,6
2014-06,3
2014-07,2
2014-08,2
2014-09,3
2014-10,7
2014-11,9
2014-12,46
2015-01,47
2015-02,24
2015-03,17
2015-04,13
2015-05,6
2015-06,3
2015-07,2
2015-08,2
2015-09,4
2015-10,6
2015-11,7
2015-12,7
2016-01,8
2016-02,16
2016-03,23
2016-04,13
2016-05,5
2016-06,2
2016-07,2
2016-08,2
2016-09,3
2016-10,5
2016-11,6
2016-12,9
2017-01,25
2017-02,47
2017-03,26
2017-04,14
2017-05,6
2017-06,4
2017-07,3
2017-08,3
2017-09,4
2017-10,7
2017-11,9
2017-12,31
2018-01,100
2018-02,84
2018-03,33
2018-04,17
2018-05,7
2018-06,3
2018-07,2
2018-08,2
2018-09,5
2018-10,8
2018-11,8
2018-12,13
2019-01,28
2019-02,45
2019-03,48
2019-04,18
2019-05,6
2019-06,4
2019-07,3
2019-08,3
2019-09,6
2019-10,10
2019-11,13
2019-12,34
2020-01,68
2020-02,83
