Category: All categories

Week,Influenza vaccine: (United States)
2015-03-01,5
2015-03-08,4
2015-03-15,3
2015-03-22,3
2015-03-29,3
2015-04-05,3
2015-04-12,3
2015-04-19,3
2015-04-26,2
2015-05-03,2
2015-05-10,2
2015-05-17,2
2015-05-24,2
2015-05-31,2
2015-06-07,2
2015-06-14,2
2015-06-21,2
2015-06-28,2
2015-07-05,2
2015-07-12,2
2015-07-19,3
2015-07-26,3
2015-08-02,4
2015-08-09,5
2015-08-16,6
2015-08-23,9
2015-08-30,13
2015-09-06,16
2015-09-13,29
2015-09-20,37
2015-09-27,49
2015-10-04,68
2015-10-11,60
2015-10-18,61
2015-10-25,50
2015-11-01,40
2015-11-08,32
2015-11-15,26
2015-11-22,18
2015-11-29,17
2015-12-06,15
2015-12-13,13
2015-12-20,9
2015-12-27,9
2016-01-03,9
2016-01-10,8
2016-01-17,7
2016-01-24,7
2016-01-31,7
2016-02-07,6
2016-02-14,7
2016-02-21,7
2016-02-28,6
2016-03-06,6
2016-03-13,5
2016-03-20,5
2016-03-27,4
2016-04-03,4
2016-04-10,4
2016-04-17,4
2016-04-24,3
2016-05-01,3
2016-05-08,2
2016-05-15,2
2016-05-22,2
2016-05-29,2
2016-06-05,2
2016-06-12,2
2016-06-19,2
2016-06-26,2
2016-07-03,2
2016-07-10,2
2016-07-17,2
2016-07-24,2
2016-07-31,3
2016-08-07,4
2016-08-14,6
2016-08-21,8
2016-08-28,12
2016-09-04,19
2016-09-11,28
2016-09-18,34
2016-09-25,48
2016-10-02,57
2016-10-09,55
2016-10-16,50
2016-10-23,46
2016-10-30,35
2016-11-06,28
2016-11-13,26
2016-11-20,17
2016-11-27,19
2016-12-04,16
2016-12-11,14
2016-12-18,12
2016-12-25,11
2017-01-01,14
2017-01-08,13
2017-01-15,12
2017-01-22,12
2017-01-29,12
2017-02-05,12
2017-02-12,11
2017-02-19,9
2017-02-26,7
2017-03-05,6
2017-03-12,5
2017-03-19,5
2017-03-26,5
2017-04-02,5
2017-04-09,4
2017-04-16,4
2017-04-23,3
2017-04-30,3
2017-05-07,3
2017-05-14,2
2017-05-21,2
2017-05-28,2
2017-06-04,3
2017-06-11,3
2017-06-18,2
2017-06-25,3
2017-07-02,2
2017-07-09,3
2017-07-16,3
2017-07-23,3
2017-07-30,4
2017-08-06,5
2017-08-13,7
2017-08-20,11
2017-08-27,14
2017-09-03,18
2017-09-10,29
2017-09-17,38
2017-09-24,50
2017-10-01,59
2017-10-08,57
2017-10-15,55
2017-10-22,50
2017-10-29,43
2017-11-05,38
2017-11-12,32
2017-11-19,22
2017-11-26,25
2017-12-03,30
2017-12-10,22
2017-12-17,20
2017-12-24,20
2017-12-31,23
2018-01-07,41
2018-01-14,50
2018-01-21,57
2018-01-28,59
2018-02-04,37
2018-02-11,32
2018-02-18,15
2018-02-25,10
2018-03-04,7
2018-03-11,6
2018-03-18,5
2018-03-25,5
2018-04-01,5
2018-04-08,4
2018-04-15,4
2018-04-22,3
2018-04-29,4
2018-05-06,3
2018-05-13,3
2018-05-20,3
2018-05-27,3
2018-06-03,3
2018-06-10,3
2018-06-17,3
2018-06-24,2
2018-07-01,2
2018-07-08,3
2018-07-15,3
2018-07-22,3
2018-07-29,4
2018-08-05,5
2018-08-12,6
2018-08-19,10
2018-08-26,13
2018-09-02,23
2018-09-09,34
2018-09-16,43
2018-09-23,58
2018-09-30,82
2018-10-07,85
2018-10-14,100
2018-10-21,83
2018-10-28,64
2018-11-04,50
2018-11-11,40
2018-11-18,29
2018-11-25,29
2018-12-02,24
2018-12-09,20
2018-12-16,19
2018-12-23,16
2018-12-30,21
2019-01-06,22
2019-01-13,16
2019-01-20,13
2019-01-27,14
2019-02-03,14
2019-02-10,13
2019-02-17,12
2019-02-24,10
2019-03-03,10
2019-03-10,9
2019-03-17,7
2019-03-24,7
2019-03-31,6
2019-04-07,5
2019-04-14,4
2019-04-21,4
2019-04-28,4
2019-05-05,3
2019-05-12,3
2019-05-19,3
2019-05-26,3
2019-06-02,3
2019-06-09,2
2019-06-16,3
2019-06-23,3
2019-06-30,2
2019-07-07,3
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,4
2019-08-11,7
2019-08-18,10
2019-08-25,13
2019-09-01,19
2019-09-08,30
2019-09-15,43
2019-09-22,62
2019-09-29,81
2019-10-06,98
2019-10-13,90
2019-10-20,79
2019-10-27,63
2019-11-03,57
2019-11-10,47
2019-11-17,40
2019-11-24,27
2019-12-01,29
2019-12-08,30
2019-12-15,28
2019-12-22,23
2019-12-29,24
2020-01-05,28
2020-01-12,28
2020-01-19,25
2020-01-26,28
2020-02-02,22
2020-02-09,19
2020-02-16,16
2020-02-23,14
