Category: All categories

Week,Influenza vaccine: (United States)
2005-03-13,1
2005-03-20,1
2005-03-27,1
2005-04-03,<1
2005-04-10,1
2005-04-17,1
2005-04-24,1
2005-05-01,1
2005-05-08,<1
2005-05-15,<1
2005-05-22,<1
2005-05-29,1
2005-06-05,1
2005-06-12,1
2005-06-19,1
2005-06-26,1
2005-07-03,1
2005-07-10,<1
2005-07-17,1
2005-07-24,1
2005-07-31,1
2005-08-07,1
2005-08-14,1
2005-08-21,1
2005-08-28,2
2005-09-04,2
2005-09-11,4
2005-09-18,5
2005-09-25,11
2005-10-02,23
2005-10-09,31
2005-10-16,32
2005-10-23,43
2005-10-30,55
2005-11-06,40
2005-11-13,27
2005-11-20,16
2005-11-27,16
2005-12-04,11
2005-12-11,8
2005-12-18,5
2005-12-25,6
2006-01-01,4
2006-01-08,3
2006-01-15,2
2006-01-22,2
2006-01-29,2
2006-02-05,1
2006-02-12,1
2006-02-19,1
2006-02-26,1
2006-03-05,1
2006-03-12,1
2006-03-19,1
2006-03-26,1
2006-04-02,1
2006-04-09,1
2006-04-16,1
2006-04-23,1
2006-04-30,1
2006-05-07,1
2006-05-14,1
2006-05-21,1
2006-05-28,<1
2006-06-04,1
2006-06-11,1
2006-06-18,1
2006-06-25,1
2006-07-02,1
2006-07-09,1
2006-07-16,1
2006-07-23,1
2006-07-30,1
2006-08-06,1
2006-08-13,1
2006-08-20,1
2006-08-27,1
2006-09-03,2
2006-09-10,3
2006-09-17,5
2006-09-24,9
2006-10-01,20
2006-10-08,24
2006-10-15,30
2006-10-22,34
2006-10-29,33
2006-11-05,29
2006-11-12,27
2006-11-19,13
2006-11-26,15
2006-12-03,10
2006-12-10,7
2006-12-17,4
2006-12-24,3
2006-12-31,3
2007-01-07,3
2007-01-14,2
2007-01-21,2
2007-01-28,2
2007-02-04,2
2007-02-11,4
2007-02-18,1
2007-02-25,1
2007-03-04,1
2007-03-11,1
2007-03-18,1
2007-03-25,1
2007-04-01,1
2007-04-08,1
2007-04-15,<1
2007-04-22,1
2007-04-29,1
2007-05-06,1
2007-05-13,1
2007-05-20,<1
2007-05-27,<1
2007-06-03,1
2007-06-10,1
2007-06-17,1
2007-06-24,<1
2007-07-01,<1
2007-07-08,<1
2007-07-15,1
2007-07-22,<1
2007-07-29,1
2007-08-05,1
2007-08-12,1
2007-08-19,1
2007-08-26,1
2007-09-02,2
2007-09-09,3
2007-09-16,6
2007-09-23,9
2007-09-30,19
2007-10-07,25
2007-10-14,28
2007-10-21,33
2007-10-28,29
2007-11-04,26
2007-11-11,23
2007-11-18,12
2007-11-25,12
2007-12-02,8
2007-12-09,6
2007-12-16,4
2007-12-23,3
2007-12-30,3
2008-01-06,2
2008-01-13,2
2008-01-20,2
2008-01-27,2
2008-02-03,3
2008-02-10,3
2008-02-17,3
2008-02-24,3
2008-03-02,2
2008-03-09,1
2008-03-16,1
2008-03-23,1
2008-03-30,1
2008-04-06,1
2008-04-13,1
2008-04-20,1
2008-04-27,1
2008-05-04,1
2008-05-11,1
2008-05-18,1
2008-05-25,1
2008-06-01,1
2008-06-08,<1
2008-06-15,<1
2008-06-22,<1
2008-06-29,1
2008-07-06,1
2008-07-13,1
2008-07-20,<1
2008-07-27,1
2008-08-03,1
2008-08-10,1
2008-08-17,1
2008-08-24,1
2008-08-31,3
2008-09-07,4
2008-09-14,6
2008-09-21,10
2008-09-28,16
2008-10-05,24
2008-10-12,27
2008-10-19,31
2008-10-26,33
2008-11-02,25
2008-11-09,23
2008-11-16,15
2008-11-23,8
2008-11-30,8
2008-12-07,6
2008-12-14,5
2008-12-21,3
2008-12-28,3
2009-01-04,3
2009-01-11,3
2009-01-18,3
2009-01-25,2
2009-02-01,2
2009-02-08,2
2009-02-15,2
2009-02-22,2
2009-03-01,2
2009-03-08,1
2009-03-15,1
2009-03-22,1
2009-03-29,1
2009-04-05,1
2009-04-12,1
2009-04-19,2
2009-04-26,21
2009-05-03,4
2009-05-10,2
2009-05-17,2
2009-05-24,2
2009-05-31,1
2009-06-07,2
2009-06-14,2
2009-06-21,2
2009-06-28,2
2009-07-05,2
2009-07-12,2
2009-07-19,3
2009-07-26,5
2009-08-02,5
2009-08-09,6
2009-08-16,9
2009-08-23,16
2009-08-30,28
2009-09-06,31
2009-09-13,44
2009-09-20,48
2009-09-27,61
2009-10-04,76
2009-10-11,81
2009-10-18,100
2009-10-25,95
2009-11-01,70
2009-11-08,57
2009-11-15,38
2009-11-22,20
2009-11-29,19
2009-12-06,16
2009-12-13,16
2009-12-20,9
2009-12-27,7
2010-01-03,9
2010-01-10,8
2010-01-17,6
2010-01-24,4
2010-01-31,4
2010-02-07,2
2010-02-14,2
2010-02-21,2
2010-02-28,2
2010-03-07,2
