Category: All categories

Month,Influenza: (United States)
2004-01,12
2004-02,8
2004-03,6
2004-04,4
2004-05,3
2004-06,2
2004-07,2
2004-08,3
2004-09,7
2004-10,48
2004-11,17
2004-12,14
2005-01,15
2005-02,19
2005-03,11
2005-04,6
2005-05,4
2005-06,3
2005-07,3
2005-08,4
2005-09,9
2005-10,31
2005-11,29
2005-12,15
2006-01,12
2006-02,11
2006-03,11
2006-04,7
2006-05,6
2006-06,4
2006-07,3
2006-08,4
2006-09,7
2006-10,21
2006-11,20
2006-12,13
2007-01,11
2007-02,13
2007-03,9
2007-04,5
2007-05,4
2007-06,3
2007-07,3
2007-08,3
2007-09,7
2007-10,20
2007-11,17
2007-12,10
2008-01,11
2008-02,24
2008-03,14
2008-04,6
2008-05,4
2008-06,3
2008-07,3
2008-08,3
2008-09,8
2008-10,20
2008-11,19
2008-12,11
2009-01,10
2009-02,14
2009-03,11
2009-04,42
2009-05,34
2009-06,15
2009-07,15
2009-08,20
2009-09,47
2009-10,85
2009-11,49
2009-12,18
2010-01,11
2010-02,8
2010-03,7
2010-04,6
2010-05,5
2010-06,4
2010-07,4
2010-08,5
2010-09,12
2010-10,17
2010-11,13
2010-12,11
2011-01,15
2011-02,17
2011-03,10
2011-04,6
2011-05,5
2011-06,4
2011-07,3
2011-08,4
2011-09,12
2011-10,18
2011-11,13
2011-12,10
2012-01,10
2012-02,11
2012-03,10
2012-04,7
2012-05,5
2012-06,4
2012-07,4
2012-08,5
2012-09,12
2012-10,17
2012-11,15
2012-12,26
2013-01,68
2013-02,20
2013-03,12
2013-04,8
2013-05,5
2013-06,4
2013-07,4
2013-08,5
2013-09,14
2013-10,21
2013-11,16
2013-12,20
2014-01,38
2014-02,16
2014-03,10
2014-04,8
2014-05,6
2014-06,4
2014-07,4
2014-08,5
2014-09,14
2014-10,28
2014-11,18
2014-12,32
2015-01,34
2015-02,18
2015-03,12
2015-04,9
2015-05,6
2015-06,4
2015-07,4
2015-08,5
2015-09,13
2015-10,24
2015-11,16
2015-12,13
2016-01,12
2016-02,17
2016-03,19
2016-04,12
2016-05,7
2016-06,5
2016-07,4
2016-08,5
2016-09,14
2016-10,20
2016-11,14
2016-12,16
2017-01,23
2017-02,30
2017-03,19
2017-04,11
2017-05,7
2017-06,5
2017-07,5
2017-08,6
2017-09,15
2017-10,23
2017-11,19
2017-12,33
2018-01,100
2018-02,88
2018-03,24
2018-04,13
2018-05,8
2018-06,6
2018-07,5
2018-08,7
2018-09,19
2018-10,34
2018-11,23
2018-12,24
2019-01,32
2019-02,39
2019-03,29
2019-04,14
2019-05,8
2019-06,6
2019-07,5
2019-08,7
2019-09,19
2019-10,34
2019-11,27
2019-12,40
2020-01,60
2020-02,72
