Category: All categories

Month,Influenza: (United States)
2004-01,25
2004-02,24
2004-03,19
2004-04,16
2004-05,11
2004-06,5
2004-07,6
2004-08,7
2004-09,13
2004-10,33
2004-11,25
2004-12,19
2005-01,25
2005-02,39
2005-03,23
2005-04,19
2005-05,12
2005-06,8
2005-07,7
2005-08,9
2005-09,17
2005-10,36
2005-11,34
2005-12,24
2006-01,24
2006-02,29
2006-03,31
2006-04,23
2006-05,21
2006-06,12
2006-07,10
2006-08,9
2006-09,13
2006-10,20
2006-11,19
2006-12,17
2007-01,19
2007-02,28
2007-03,21
2007-04,15
2007-05,11
2007-06,8
2007-07,7
2007-08,8
2007-09,11
2007-10,19
2007-11,18
2007-12,14
2008-01,20
2008-02,43
2008-03,29
2008-04,16
2008-05,10
2008-06,8
2008-07,7
2008-08,7
2008-09,12
2008-10,17
2008-11,16
2008-12,13
2009-01,14
2009-02,25
2009-03,25
2009-04,100
2009-05,67
2009-06,29
2009-07,23
2009-08,26
2009-09,41
2009-10,54
2009-11,35
2009-12,16
2010-01,12
2010-02,12
2010-03,14
2010-04,13
2010-05,11
2010-06,7
2010-07,6
2010-08,7
2010-09,12
2010-10,14
2010-11,14
2010-12,12
2011-01,18
2011-02,26
2011-03,19
2011-04,11
2011-05,8
2011-06,6
2011-07,5
2011-08,6
2011-09,11
2011-10,12
2011-11,12
2011-12,9
2012-01,10
2012-02,15
2012-03,16
2012-04,12
2012-05,9
2012-06,6
2012-07,5
2012-08,6
2012-09,11
2012-10,13
2012-11,14
2012-12,25
2013-01,48
2013-02,23
2013-03,15
2013-04,12
2013-05,8
2013-06,5
2013-07,5
2013-08,6
2013-09,12
2013-10,15
2013-11,13
2013-12,19
2014-01,31
2014-02,18
2014-03,12
2014-04,13
2014-05,9
2014-06,6
2014-07,5
2014-08,7
2014-09,12
2014-10,19
2014-11,15
2014-12,38
2015-01,38
2015-02,22
2015-03,18
2015-04,17
2015-05,11
2015-06,7
2015-07,5
2015-08,6
2015-09,12
2015-10,15
2015-11,13
2015-12,13
2016-01,13
2016-02,24
2016-03,29
2016-04,18
2016-05,10
2016-06,6
2016-07,5
2016-08,6
2016-09,10
2016-10,12
2016-11,11
2016-12,15
2017-01,27
2017-02,44
2017-03,30
2017-04,18
2017-05,10
2017-06,8
2017-07,6
2017-08,7
2017-09,12
2017-10,14
2017-11,15
2017-12,32
2018-01,86
2018-02,76
2018-03,31
2018-04,20
2018-05,10
2018-06,6
2018-07,6
2018-08,7
2018-09,13
2018-10,16
2018-11,15
2018-12,20
2019-01,33
2019-02,45
2019-03,46
2019-04,21
2019-05,11
2019-06,7
2019-07,6
2019-08,7
2019-09,12
2019-10,17
2019-11,19
2019-12,40
2020-01,71
2020-02,96
