Category: All categories

Week,pneumonia: (United States)
2015-03-01,37
2015-03-08,35
2015-03-15,33
2015-03-22,35
2015-03-29,32
2015-04-05,32
2015-04-12,33
2015-04-19,29
2015-04-26,28
2015-05-03,28
2015-05-10,26
2015-05-17,25
2015-05-24,24
2015-05-31,24
2015-06-07,23
2015-06-14,23
2015-06-21,22
2015-06-28,22
2015-07-05,21
2015-07-12,22
2015-07-19,21
2015-07-26,22
2015-08-02,22
2015-08-09,21
2015-08-16,22
2015-08-23,22
2015-08-30,25
2015-09-06,27
2015-09-13,29
2015-09-20,31
2015-09-27,32
2015-10-04,34
2015-10-11,35
2015-10-18,36
2015-10-25,36
2015-11-01,37
2015-11-08,39
2015-11-15,38
2015-11-22,34
2015-11-29,40
2015-12-06,38
2015-12-13,38
2015-12-20,37
2015-12-27,43
2016-01-03,41
2016-01-10,38
2016-01-17,38
2016-01-24,40
2016-01-31,41
2016-02-07,41
2016-02-14,42
2016-02-21,43
2016-02-28,41
2016-03-06,40
2016-03-13,40
2016-03-20,36
2016-03-27,34
2016-04-03,34
2016-04-10,31
2016-04-17,32
2016-04-24,28
2016-05-01,26
2016-05-08,25
2016-05-15,25
2016-05-22,24
2016-05-29,23
2016-06-05,22
2016-06-12,21
2016-06-19,21
2016-06-26,19
2016-07-03,19
2016-07-10,20
2016-07-17,20
2016-07-24,18
2016-07-31,18
2016-08-07,19
2016-08-14,20
2016-08-21,20
2016-08-28,22
2016-09-04,23
2016-09-11,100
2016-09-18,35
2016-09-25,33
2016-10-02,32
2016-10-09,33
2016-10-16,33
2016-10-23,33
2016-10-30,34
2016-11-06,32
2016-11-13,38
2016-11-20,34
2016-11-27,39
2016-12-04,37
2016-12-11,37
2016-12-18,39
2016-12-25,45
2017-01-01,46
2017-01-08,43
2017-01-15,42
2017-01-22,41
2017-01-29,42
2017-02-05,43
2017-02-12,43
2017-02-19,42
2017-02-26,39
2017-03-05,36
2017-03-12,35
2017-03-19,36
2017-03-26,34
2017-04-02,33
2017-04-09,31
2017-04-16,31
2017-04-23,30
2017-04-30,27
2017-05-07,27
2017-05-14,26
2017-05-21,25
2017-05-28,25
2017-06-04,24
2017-06-11,23
2017-06-18,22
2017-06-25,21
2017-07-02,20
2017-07-09,21
2017-07-16,20
2017-07-23,21
2017-07-30,21
2017-08-06,21
2017-08-13,20
2017-08-20,21
2017-08-27,22
2017-09-03,23
2017-09-10,26
2017-09-17,29
2017-09-24,31
2017-10-01,31
2017-10-08,32
2017-10-15,33
2017-10-22,34
2017-10-29,35
2017-11-05,38
2017-11-12,40
2017-11-19,36
2017-11-26,43
2017-12-03,43
2017-12-10,45
2017-12-17,49
2017-12-24,57
2017-12-31,69
2018-01-07,61
2018-01-14,60
2018-01-21,62
2018-01-28,59
2018-02-04,59
2018-02-11,58
2018-02-18,49
2018-02-25,47
2018-03-04,41
2018-03-11,39
2018-03-18,37
2018-03-25,37
2018-04-01,36
2018-04-08,33
2018-04-15,33
2018-04-22,31
2018-04-29,28
2018-05-06,28
2018-05-13,26
2018-05-20,26
2018-05-27,26
2018-06-03,25
2018-06-10,23
2018-06-17,24
2018-06-24,23
2018-07-01,20
2018-07-08,22
2018-07-15,21
2018-07-22,21
2018-07-29,21
2018-08-05,21
2018-08-12,22
2018-08-19,21
2018-08-26,25
2018-09-02,26
2018-09-09,29
2018-09-16,31
2018-09-23,33
2018-09-30,34
2018-10-07,35
2018-10-14,36
2018-10-21,37
2018-10-28,37
2018-11-04,37
2018-11-11,55
2018-11-18,43
2018-11-25,46
2018-12-02,44
2018-12-09,44
2018-12-16,45
2018-12-23,49
2018-12-30,54
2019-01-06,50
2019-01-13,46
2019-01-20,57
2019-01-27,50
2019-02-03,51
2019-02-10,50
2019-02-17,50
2019-02-24,46
2019-03-03,50
2019-03-10,48
2019-03-17,46
2019-03-24,43
2019-03-31,40
2019-04-07,36
2019-04-14,35
2019-04-21,36
2019-04-28,32
2019-05-05,32
2019-05-12,33
2019-05-19,32
2019-05-26,29
2019-06-02,29
2019-06-09,29
2019-06-16,28
2019-06-23,27
2019-06-30,24
2019-07-07,25
2019-07-14,24
2019-07-21,24
2019-07-28,24
2019-08-04,25
2019-08-11,24
2019-08-18,27
2019-08-25,29
2019-09-01,30
2019-09-08,34
2019-09-15,35
2019-09-22,40
2019-09-29,39
2019-10-06,39
2019-10-13,41
2019-10-20,42
2019-10-27,41
2019-11-03,44
2019-11-10,46
2019-11-17,48
2019-11-24,42
2019-12-01,48
2019-12-08,47
2019-12-15,49
2019-12-22,79
2019-12-29,68
2020-01-05,60
2020-01-12,54
2020-01-19,60
2020-01-26,60
2020-02-02,56
2020-02-09,54
2020-02-16,55
2020-02-23,58
