Category: All categories

Week,pneumonia: (United States)
2005-03-13,60
2005-03-20,69
2005-03-27,64
2005-04-03,64
2005-04-10,56
2005-04-17,49
2005-04-24,47
2005-05-01,53
2005-05-08,51
2005-05-15,43
2005-05-22,39
2005-05-29,40
2005-06-05,37
2005-06-12,32
2005-06-19,35
2005-06-26,30
2005-07-03,29
2005-07-10,33
2005-07-17,29
2005-07-24,33
2005-07-31,33
2005-08-07,32
2005-08-14,28
2005-08-21,31
2005-08-28,34
2005-09-04,33
2005-09-11,41
2005-09-18,38
2005-09-25,44
2005-10-02,45
2005-10-09,45
2005-10-16,48
2005-10-23,47
2005-10-30,49
2005-11-06,51
2005-11-13,54
2005-11-20,46
2005-11-27,50
2005-12-04,51
2005-12-11,49
2005-12-18,51
2005-12-25,62
2006-01-01,62
2006-01-08,53
2006-01-15,55
2006-01-22,53
2006-01-29,57
2006-02-05,57
2006-02-12,62
2006-02-19,63
2006-02-26,59
2006-03-05,60
2006-03-12,53
2006-03-19,54
2006-03-26,53
2006-04-02,54
2006-04-09,45
2006-04-16,45
2006-04-23,39
2006-04-30,39
2006-05-07,35
2006-05-14,36
2006-05-21,37
2006-05-28,38
2006-06-04,30
2006-06-11,33
2006-06-18,31
2006-06-25,29
2006-07-02,27
2006-07-09,31
2006-07-16,25
2006-07-23,30
2006-07-30,32
2006-08-06,29
2006-08-13,28
2006-08-20,26
2006-08-27,30
2006-09-03,32
2006-09-10,36
2006-09-17,45
2006-09-24,44
2006-10-01,45
2006-10-08,48
2006-10-15,43
2006-10-22,50
2006-10-29,52
2006-11-05,56
2006-11-12,58
2006-11-19,44
2006-11-26,56
2006-12-03,55
2006-12-10,54
2006-12-17,49
2006-12-24,59
2006-12-31,67
2007-01-07,58
2007-01-14,52
2007-01-21,52
2007-01-28,61
2007-02-04,59
2007-02-11,57
2007-02-18,61
2007-02-25,64
2007-03-04,63
2007-03-11,53
2007-03-18,52
2007-03-25,49
2007-04-01,47
2007-04-08,48
2007-04-15,46
2007-04-22,43
2007-04-29,42
2007-05-06,39
2007-05-13,39
2007-05-20,38
2007-05-27,37
2007-06-03,40
2007-06-10,34
2007-06-17,33
2007-06-24,28
2007-07-01,26
2007-07-08,31
2007-07-15,30
2007-07-22,31
2007-07-29,32
2007-08-05,32
2007-08-12,32
2007-08-19,29
2007-08-26,28
2007-09-02,30
2007-09-09,37
2007-09-16,42
2007-09-23,43
2007-09-30,46
2007-10-07,49
2007-10-14,49
2007-10-21,51
2007-10-28,51
2007-11-04,58
2007-11-11,60
2007-11-18,49
2007-11-25,52
2007-12-02,53
2007-12-09,49
2007-12-16,49
2007-12-23,56
2007-12-30,62
2008-01-06,62
2008-01-13,61
2008-01-20,75
2008-01-27,76
2008-02-03,79
2008-02-10,76
2008-02-17,77
2008-02-24,76
2008-03-02,67
2008-03-09,65
2008-03-16,58
2008-03-23,57
2008-03-30,52
2008-04-06,48
2008-04-13,47
2008-04-20,48
2008-04-27,43
2008-05-04,42
2008-05-11,41
2008-05-18,38
2008-05-25,35
2008-06-01,34
2008-06-08,33
2008-06-15,34
2008-06-22,31
2008-06-29,28
2008-07-06,31
2008-07-13,32
2008-07-20,29
2008-07-27,30
2008-08-03,52
2008-08-10,49
2008-08-17,35
2008-08-24,35
2008-08-31,38
2008-09-07,42
2008-09-14,44
2008-09-21,45
2008-09-28,47
2008-10-05,54
2008-10-12,54
2008-10-19,55
2008-10-26,60
2008-11-02,58
2008-11-09,60
2008-11-16,61
2008-11-23,52
2008-11-30,64
2008-12-07,62
2008-12-14,54
2008-12-21,54
2008-12-28,60
2009-01-04,65
2009-01-11,65
2009-01-18,65
2009-01-25,58
2009-02-01,66
2009-02-08,70
2009-02-15,71
2009-02-22,70
2009-03-01,69
2009-03-08,64
2009-03-15,61
2009-03-22,64
2009-03-29,53
2009-04-05,55
2009-04-12,52
2009-04-19,49
2009-04-26,56
2009-05-03,46
2009-05-10,44
2009-05-17,44
2009-05-24,45
2009-05-31,44
2009-06-07,41
2009-06-14,42
2009-06-21,40
2009-06-28,37
2009-07-05,40
2009-07-12,39
2009-07-19,40
2009-07-26,40
2009-08-02,41
2009-08-09,37
2009-08-16,40
2009-08-23,40
2009-08-30,47
2009-09-06,48
2009-09-13,59
2009-09-20,67
2009-09-27,72
2009-10-04,76
2009-10-11,82
2009-10-18,95
2009-10-25,91
2009-11-01,100
2009-11-08,86
2009-11-15,86
2009-11-22,68
2009-11-29,67
2009-12-06,65
2009-12-13,60
2009-12-20,55
2009-12-27,66
2010-01-03,66
2010-01-10,60
2010-01-17,60
2010-01-24,65
2010-01-31,76
2010-02-07,68
2010-02-14,70
2010-02-21,67
2010-02-28,71
2010-03-07,69
