Category: All categories

Week,prevent flu: (United States)
2015-03-01,8
2015-03-08,6
2015-03-15,6
2015-03-22,6
2015-03-29,5
2015-04-05,6
2015-04-12,4
2015-04-19,5
2015-04-26,4
2015-05-03,4
2015-05-10,4
2015-05-17,3
2015-05-24,1
2015-05-31,3
2015-06-07,2
2015-06-14,2
2015-06-21,1
2015-06-28,1
2015-07-05,2
2015-07-12,1
2015-07-19,2
2015-07-26,2
2015-08-02,2
2015-08-09,1
2015-08-16,2
2015-08-23,2
2015-08-30,3
2015-09-06,2
2015-09-13,3
2015-09-20,6
2015-09-27,5
2015-10-04,6
2015-10-11,7
2015-10-18,6
2015-10-25,6
2015-11-01,7
2015-11-08,6
2015-11-15,6
2015-11-22,5
2015-11-29,6
2015-12-06,7
2015-12-13,5
2015-12-20,9
2015-12-27,5
2016-01-03,5
2016-01-10,6
2016-01-17,6
2016-01-24,6
2016-01-31,6
2016-02-07,9
2016-02-14,7
2016-02-21,7
2016-02-28,10
2016-03-06,11
2016-03-13,7
2016-03-20,6
2016-03-27,7
2016-04-03,5
2016-04-10,6
2016-04-17,5
2016-04-24,4
2016-05-01,5
2016-05-08,3
2016-05-15,4
2016-05-22,2
2016-05-29,1
2016-06-05,1
2016-06-12,2
2016-06-19,1
2016-06-26,2
2016-07-03,1
2016-07-10,2
2016-07-17,1
2016-07-24,1
2016-07-31,1
2016-08-07,2
2016-08-14,1
2016-08-21,3
2016-08-28,3
2016-09-04,3
2016-09-11,4
2016-09-18,4
2016-09-25,6
2016-10-02,5
2016-10-09,4
2016-10-16,7
2016-10-23,7
2016-10-30,5
2016-11-06,5
2016-11-13,7
2016-11-20,4
2016-11-27,6
2016-12-04,8
2016-12-11,8
2016-12-18,11
2016-12-25,15
2017-01-01,13
2017-01-08,12
2017-01-15,14
2017-01-22,11
2017-01-29,14
2017-02-05,20
2017-02-12,18
2017-02-19,15
2017-02-26,9
2017-03-05,10
2017-03-12,9
2017-03-19,9
2017-03-26,7
2017-04-02,6
2017-04-09,6
2017-04-16,5
2017-04-23,4
2017-04-30,5
2017-05-07,4
2017-05-14,3
2017-05-21,4
2017-05-28,2
2017-06-04,1
2017-06-11,3
2017-06-18,2
2017-06-25,2
2017-07-02,2
2017-07-09,3
2017-07-16,1
2017-07-23,2
2017-07-30,1
2017-08-06,2
2017-08-13,2
2017-08-20,2
2017-08-27,3
2017-09-03,3
2017-09-10,5
2017-09-17,7
2017-09-24,6
2017-10-01,6
2017-10-08,6
2017-10-15,8
2017-10-22,7
2017-10-29,7
2017-11-05,7
2017-11-12,7
2017-11-19,8
2017-11-26,9
2017-12-03,15
2017-12-10,16
2017-12-17,25
2017-12-24,33
2017-12-31,32
2018-01-07,61
2018-01-14,83
2018-01-21,98
2018-01-28,100
2018-02-04,79
2018-02-11,64
2018-02-18,30
2018-02-25,16
2018-03-04,14
2018-03-11,9
2018-03-18,11
2018-03-25,9
2018-04-01,6
2018-04-08,8
2018-04-15,5
2018-04-22,5
2018-04-29,5
2018-05-06,5
2018-05-13,4
2018-05-20,3
2018-05-27,3
2018-06-03,2
2018-06-10,3
2018-06-17,3
2018-06-24,2
2018-07-01,2
2018-07-08,3
2018-07-15,3
2018-07-22,2
2018-07-29,1
2018-08-05,3
2018-08-12,3
2018-08-19,4
2018-08-26,4
2018-09-02,5
2018-09-09,9
2018-09-16,6
2018-09-23,9
2018-09-30,11
2018-10-07,9
2018-10-14,13
2018-10-21,13
2018-10-28,10
2018-11-04,10
2018-11-11,10
2018-11-18,8
2018-11-25,10
2018-12-02,12
2018-12-09,12
2018-12-16,15
2018-12-23,19
2018-12-30,18
2019-01-06,21
2019-01-13,21
2019-01-20,17
2019-01-27,19
2019-02-03,30
2019-02-10,23
2019-02-17,22
2019-02-24,18
2019-03-03,19
2019-03-10,16
2019-03-17,14
2019-03-24,12
2019-03-31,11
2019-04-07,9
2019-04-14,6
2019-04-21,5
2019-04-28,5
2019-05-05,6
2019-05-12,4
2019-05-19,5
2019-05-26,3
2019-06-02,4
2019-06-09,3
2019-06-16,2
2019-06-23,3
2019-06-30,2
2019-07-07,3
2019-07-14,2
2019-07-21,3
2019-07-28,2
2019-08-04,1
2019-08-11,3
2019-08-18,5
2019-08-25,3
2019-09-01,3
2019-09-08,6
2019-09-15,7
2019-09-22,9
2019-09-29,10
2019-10-06,10
2019-10-13,11
2019-10-20,12
2019-10-27,10
2019-11-03,12
2019-11-10,10
2019-11-17,15
2019-11-24,11
2019-12-01,13
2019-12-08,19
2019-12-15,24
2019-12-22,32
2019-12-29,28
2020-01-05,28
2020-01-12,33
2020-01-19,38
2020-01-26,66
2020-02-02,46
2020-02-09,36
2020-02-16,31
2020-02-23,33
