Category: All categories

Week,prevent flu: (United States)
2005-03-13,6
2005-03-20,0
2005-03-27,3
2005-04-03,0
2005-04-10,6
2005-04-17,0
2005-04-24,0
2005-05-01,0
2005-05-08,3
2005-05-15,0
2005-05-22,3
2005-05-29,0
2005-06-05,0
2005-06-12,0
2005-06-19,0
2005-06-26,0
2005-07-03,0
2005-07-10,0
2005-07-17,3
2005-07-24,3
2005-07-31,0
2005-08-07,3
2005-08-14,0
2005-08-21,0
2005-08-28,0
2005-09-04,3
2005-09-11,2
2005-09-18,5
2005-09-25,5
2005-10-02,5
2005-10-09,9
2005-10-16,6
2005-10-23,3
2005-10-30,5
2005-11-06,4
2005-11-13,7
2005-11-20,5
2005-11-27,4
2005-12-04,2
2005-12-11,4
2005-12-18,5
2005-12-25,3
2006-01-01,2
2006-01-08,4
2006-01-15,4
2006-01-22,3
2006-01-29,2
2006-02-05,4
2006-02-12,6
2006-02-19,7
2006-02-26,4
2006-03-05,5
2006-03-12,3
2006-03-19,3
2006-03-26,0
2006-04-02,2
2006-04-09,2
2006-04-16,3
2006-04-23,0
2006-04-30,4
2006-05-07,3
2006-05-14,0
2006-05-21,2
2006-05-28,2
2006-06-04,4
2006-06-11,2
2006-06-18,2
2006-06-25,2
2006-07-02,0
2006-07-09,2
2006-07-16,2
2006-07-23,2
2006-07-30,2
2006-08-06,2
2006-08-13,0
2006-08-20,2
2006-08-27,0
2006-09-03,2
2006-09-10,2
2006-09-17,3
2006-09-24,2
2006-10-01,3
2006-10-08,2
2006-10-15,4
2006-10-22,4
2006-10-29,0
2006-11-05,3
2006-11-12,2
2006-11-19,3
2006-11-26,3
2006-12-03,4
2006-12-10,0
2006-12-17,2
2006-12-24,2
2006-12-31,0
2007-01-07,3
2007-01-14,2
2007-01-21,3
2007-01-28,3
2007-02-04,5
2007-02-11,1
2007-02-18,2
2007-02-25,2
2007-03-04,1
2007-03-11,1
2007-03-18,3
2007-03-25,1
2007-04-01,2
2007-04-08,1
2007-04-15,1
2007-04-22,1
2007-04-29,3
2007-05-06,2
2007-05-13,1
2007-05-20,1
2007-05-27,1
2007-06-03,0
2007-06-10,1
2007-06-17,0
2007-06-24,0
2007-07-01,0
2007-07-08,4
2007-07-15,1
2007-07-22,0
2007-07-29,1
2007-08-05,1
2007-08-12,0
2007-08-19,1
2007-08-26,1
2007-09-02,1
2007-09-09,1
2007-09-16,1
2007-09-23,1
2007-09-30,3
2007-10-07,2
2007-10-14,2
2007-10-21,1
2007-10-28,3
2007-11-04,3
2007-11-11,1
2007-11-18,2
2007-11-25,4
2007-12-02,1
2007-12-09,3
2007-12-16,3
2007-12-23,1
2007-12-30,3
2008-01-06,2
2008-01-13,2
2008-01-20,2
2008-01-27,4
2008-02-03,4
2008-02-10,2
2008-02-17,3
2008-02-24,4
2008-03-02,4
2008-03-09,3
2008-03-16,1
2008-03-23,5
2008-03-30,1
2008-04-06,0
2008-04-13,2
2008-04-20,0
2008-04-27,1
2008-05-04,1
2008-05-11,1
2008-05-18,1
2008-05-25,1
2008-06-01,0
2008-06-08,0
2008-06-15,1
2008-06-22,1
2008-06-29,0
2008-07-06,1
2008-07-13,0
2008-07-20,0
2008-07-27,0
2008-08-03,0
2008-08-10,1
2008-08-17,1
2008-08-24,1
2008-08-31,1
2008-09-07,1
2008-09-14,1
2008-09-21,2
2008-09-28,2
2008-10-05,1
2008-10-12,2
2008-10-19,3
2008-10-26,2
2008-11-02,2
2008-11-09,3
2008-11-16,3
2008-11-23,1
2008-11-30,3
2008-12-07,4
2008-12-14,3
2008-12-21,2
2008-12-28,3
2009-01-04,2
2009-01-11,2
2009-01-18,2
2009-01-25,5
2009-02-01,3
2009-02-08,1
2009-02-15,3
2009-02-22,3
2009-03-01,3
2009-03-08,2
2009-03-15,3
2009-03-22,2
2009-03-29,2
2009-04-05,2
2009-04-12,1
2009-04-19,3
2009-04-26,100
2009-05-03,16
2009-05-10,7
2009-05-17,6
2009-05-24,4
2009-05-31,3
2009-06-07,3
2009-06-14,4
2009-06-21,1
2009-06-28,2
2009-07-05,1
2009-07-12,4
2009-07-19,3
2009-07-26,4
2009-08-02,4
2009-08-09,4
2009-08-16,7
2009-08-23,7
2009-08-30,12
2009-09-06,12
2009-09-13,12
2009-09-20,14
2009-09-27,13
2009-10-04,17
2009-10-11,21
2009-10-18,35
2009-10-25,29
2009-11-01,23
2009-11-08,13
2009-11-15,12
2009-11-22,6
2009-11-29,6
2009-12-06,5
2009-12-13,4
2009-12-20,3
2009-12-27,3
2010-01-03,2
2010-01-10,3
2010-01-17,4
2010-01-24,2
2010-01-31,4
2010-02-07,3
2010-02-14,2
2010-02-21,5
2010-02-28,4
2010-03-07,2
