Category: All categories

Week,tamiflu: (United States)
2015-03-01,7
2015-03-08,7
2015-03-15,6
2015-03-22,4
2015-03-29,4
2015-04-05,4
2015-04-12,3
2015-04-19,2
2015-04-26,2
2015-05-03,2
2015-05-10,1
2015-05-17,1
2015-05-24,1
2015-05-31,1
2015-06-07,1
2015-06-14,1
2015-06-21,1
2015-06-28,1
2015-07-05,<1
2015-07-12,<1
2015-07-19,1
2015-07-26,1
2015-08-02,<1
2015-08-09,<1
2015-08-16,1
2015-08-23,1
2015-08-30,1
2015-09-06,1
2015-09-13,1
2015-09-20,1
2015-09-27,1
2015-10-04,2
2015-10-11,2
2015-10-18,2
2015-10-25,2
2015-11-01,2
2015-11-08,2
2015-11-15,2
2015-11-22,2
2015-11-29,3
2015-12-06,3
2015-12-13,3
2015-12-20,4
2015-12-27,5
2016-01-03,4
2016-01-10,3
2016-01-17,3
2016-01-24,4
2016-01-31,5
2016-02-07,7
2016-02-14,10
2016-02-21,12
2016-02-28,14
2016-03-06,16
2016-03-13,13
2016-03-20,11
2016-03-27,9
2016-04-03,7
2016-04-10,6
2016-04-17,5
2016-04-24,4
2016-05-01,3
2016-05-08,2
2016-05-15,2
2016-05-22,1
2016-05-29,1
2016-06-05,1
2016-06-12,1
2016-06-19,1
2016-06-26,1
2016-07-03,1
2016-07-10,1
2016-07-17,1
2016-07-24,<1
2016-07-31,1
2016-08-07,1
2016-08-14,<1
2016-08-21,1
2016-08-28,1
2016-09-04,1
2016-09-11,1
2016-09-18,2
2016-09-25,1
2016-10-02,1
2016-10-09,1
2016-10-16,2
2016-10-23,2
2016-10-30,2
2016-11-06,2
2016-11-13,2
2016-11-20,2
2016-11-27,2
2016-12-04,3
2016-12-11,4
2016-12-18,6
2016-12-25,8
2017-01-01,9
2017-01-08,9
2017-01-15,11
2017-01-22,12
2017-01-29,15
2017-02-05,20
2017-02-12,21
2017-02-19,21
2017-02-26,14
2017-03-05,12
2017-03-12,11
2017-03-19,11
2017-03-26,10
2017-04-02,7
2017-04-09,5
2017-04-16,4
2017-04-23,2
2017-04-30,2
2017-05-07,2
2017-05-14,1
2017-05-21,1
2017-05-28,1
2017-06-04,1
2017-06-11,1
2017-06-18,1
2017-06-25,1
2017-07-02,1
2017-07-09,1
2017-07-16,<1
2017-07-23,1
2017-07-30,1
2017-08-06,1
2017-08-13,<1
2017-08-20,1
2017-08-27,1
2017-09-03,1
2017-09-10,1
2017-09-17,1
2017-09-24,1
2017-10-01,2
2017-10-08,2
2017-10-15,2
2017-10-22,2
2017-10-29,3
2017-11-05,3
2017-11-12,3
2017-11-19,4
2017-11-26,4
2017-12-03,6
2017-12-10,10
2017-12-17,24
2017-12-24,30
2017-12-31,35
2018-01-07,50
2018-01-14,58
2018-01-21,77
2018-01-28,100
2018-02-04,79
2018-02-11,72
2018-02-18,42
2018-02-25,24
2018-03-04,17
2018-03-11,14
2018-03-18,11
2018-03-25,11
2018-04-01,8
2018-04-08,6
2018-04-15,4
2018-04-22,3
2018-04-29,3
2018-05-06,2
2018-05-13,1
2018-05-20,1
2018-05-27,1
2018-06-03,1
2018-06-10,1
2018-06-17,1
2018-06-24,1
2018-07-01,1
2018-07-08,1
2018-07-15,1
2018-07-22,1
2018-07-29,1
2018-08-05,1
2018-08-12,1
2018-08-19,1
2018-08-26,1
2018-09-02,1
2018-09-09,2
2018-09-16,2
2018-09-23,2
2018-09-30,2
2018-10-07,2
2018-10-14,2
2018-10-21,3
2018-10-28,3
2018-11-04,3
2018-11-11,3
2018-11-18,4
2018-11-25,4
2018-12-02,4
2018-12-09,6
2018-12-16,10
2018-12-23,13
2018-12-30,12
2019-01-06,11
2019-01-13,14
2019-01-20,17
2019-01-27,22
2019-02-03,28
2019-02-10,28
2019-02-17,29
2019-02-24,25
2019-03-03,23
2019-03-10,23
2019-03-17,19
2019-03-24,14
2019-03-31,11
2019-04-07,8
2019-04-14,6
2019-04-21,4
2019-04-28,3
2019-05-05,2
2019-05-12,2
2019-05-19,2
2019-05-26,2
2019-06-02,1
2019-06-09,1
2019-06-16,1
2019-06-23,1
2019-06-30,1
2019-07-07,1
2019-07-14,1
2019-07-21,1
2019-07-28,1
2019-08-04,1
2019-08-11,1
2019-08-18,1
2019-08-25,1
2019-09-01,1
2019-09-08,1
2019-09-15,2
2019-09-22,2
2019-09-29,2
2019-10-06,3
2019-10-13,3
2019-10-20,3
2019-10-27,4
2019-11-03,5
2019-11-10,6
2019-11-17,8
2019-11-24,9
2019-12-01,9
2019-12-08,13
2019-12-15,19
2019-12-22,32
2019-12-29,28
2020-01-05,25
2020-01-12,31
2020-01-19,34
2020-01-26,40
2020-02-02,48
2020-02-09,45
2020-02-16,36
2020-02-23,33
