Category: All categories

Week,tamiflu: (United States)
2010-03-07,3
2010-03-14,3
2010-03-21,4
2010-03-28,3
2010-04-04,3
2010-04-11,2
2010-04-18,2
2010-04-25,2
2010-05-02,1
2010-05-09,2
2010-05-16,3
2010-05-23,3
2010-05-30,2
2010-06-06,1
2010-06-13,1
2010-06-20,1
2010-06-27,2
2010-07-04,1
2010-07-11,1
2010-07-18,1
2010-07-25,1
2010-08-01,1
2010-08-08,1
2010-08-15,1
2010-08-22,2
2010-08-29,1
2010-09-05,2
2010-09-12,2
2010-09-19,2
2010-09-26,2
2010-10-03,2
2010-10-10,3
2010-10-17,3
2010-10-24,2
2010-10-31,3
2010-11-07,2
2010-11-14,3
2010-11-21,3
2010-11-28,3
2010-12-05,5
2010-12-12,7
2010-12-19,10
2010-12-26,9
2011-01-02,11
2011-01-09,13
2011-01-16,17
2011-01-23,22
2011-01-30,24
2011-02-06,25
2011-02-13,25
2011-02-20,23
2011-02-27,18
2011-03-06,12
2011-03-13,11
2011-03-20,8
2011-03-27,6
2011-04-03,5
2011-04-10,4
2011-04-17,3
2011-04-24,2
2011-05-01,2
2011-05-08,2
2011-05-15,2
2011-05-22,2
2011-05-29,1
2011-06-05,1
2011-06-12,1
2011-06-19,1
2011-06-26,2
2011-07-03,1
2011-07-10,1
2011-07-17,1
2011-07-24,1
2011-07-31,1
2011-08-07,1
2011-08-14,1
2011-08-21,1
2011-08-28,1
2011-09-04,1
2011-09-11,2
2011-09-18,2
2011-09-25,2
2011-10-02,2
2011-10-09,3
2011-10-16,1
2011-10-23,2
2011-10-30,2
2011-11-06,3
2011-11-13,3
2011-11-20,3
2011-11-27,3
2011-12-04,3
2011-12-11,3
2011-12-18,4
2011-12-25,3
2012-01-01,3
2012-01-08,3
2012-01-15,3
2012-01-22,4
2012-01-29,5
2012-02-05,5
2012-02-12,6
2012-02-19,7
2012-02-26,9
2012-03-04,9
2012-03-11,11
2012-03-18,8
2012-03-25,6
2012-04-01,5
2012-04-08,5
2012-04-15,5
2012-04-22,4
2012-04-29,3
2012-05-06,3
2012-05-13,3
2012-05-20,2
2012-05-27,2
2012-06-03,2
2012-06-10,2
2012-06-17,2
2012-06-24,1
2012-07-01,1
2012-07-08,1
2012-07-15,1
2012-07-22,1
2012-07-29,1
2012-08-05,1
2012-08-12,1
2012-08-19,1
2012-08-26,1
2012-09-02,1
2012-09-09,1
2012-09-16,2
2012-09-23,2
2012-09-30,2
2012-10-07,3
2012-10-14,4
2012-10-21,3
2012-10-28,4
2012-11-04,5
2012-11-11,8
2012-11-18,11
2012-11-25,12
2012-12-02,19
2012-12-09,26
2012-12-16,39
2012-12-23,49
2012-12-30,50
2013-01-06,88
2013-01-13,83
2013-01-20,59
2013-01-27,41
2013-02-03,32
2013-02-10,24
2013-02-17,18
2013-02-24,17
2013-03-03,17
2013-03-10,15
2013-03-17,12
2013-03-24,12
2013-03-31,9
2013-04-07,7
2013-04-14,6
2013-04-21,4
2013-04-28,3
2013-05-05,3
2013-05-12,3
2013-05-19,2
2013-05-26,2
2013-06-02,2
2013-06-09,2
2013-06-16,1
2013-06-23,1
2013-06-30,2
2013-07-07,1
2013-07-14,1
2013-07-21,1
2013-07-28,1
2013-08-04,1
2013-08-11,1
2013-08-18,1
2013-08-25,2
2013-09-01,2
2013-09-08,2
2013-09-15,2
2013-09-22,3
2013-09-29,3
2013-10-06,3
2013-10-13,4
2013-10-20,4
2013-10-27,4
2013-11-03,5
2013-11-10,7
2013-11-17,6
2013-11-24,8
2013-12-01,11
2013-12-08,14
2013-12-15,29
2013-12-22,39
2013-12-29,45
2014-01-05,47
2014-01-12,45
2014-01-19,36
2014-01-26,33
2014-02-02,24
2014-02-09,19
2014-02-16,15
2014-02-23,11
2014-03-02,9
2014-03-09,8
2014-03-16,7
2014-03-23,9
2014-03-30,7
2014-04-06,10
2014-04-13,7
2014-04-20,6
2014-04-27,5
2014-05-04,4
2014-05-11,3
2014-05-18,4
2014-05-25,2
2014-06-01,3
2014-06-08,2
2014-06-15,1
2014-06-22,2
2014-06-29,2
2014-07-06,1
2014-07-13,2
2014-07-20,1
2014-07-27,1
2014-08-03,1
2014-08-10,1
2014-08-17,1
2014-08-24,2
2014-08-31,2
2014-09-07,2
2014-09-14,2
2014-09-21,2
2014-09-28,4
2014-10-05,3
2014-10-12,3
2014-10-19,3
2014-10-26,4
2014-11-02,5
2014-11-09,7
2014-11-16,9
2014-11-23,14
2014-11-30,20
2014-12-07,40
2014-12-14,66
2014-12-21,100
2014-12-28,80
2015-01-04,65
2015-01-11,61
2015-01-18,62
2015-01-25,47
2015-02-01,39
2015-02-08,33
2015-02-15,24
2015-02-22,21
2015-03-01,19
