Category: All categories

Week,tylenol: (United States)
2015-03-01,40
2015-03-08,48
2015-03-15,41
2015-03-22,40
2015-03-29,41
2015-04-05,42
2015-04-12,42
2015-04-19,42
2015-04-26,37
2015-05-03,36
2015-05-10,36
2015-05-17,37
2015-05-24,37
2015-05-31,38
2015-06-07,38
2015-06-14,39
2015-06-21,44
2015-06-28,42
2015-07-05,40
2015-07-12,41
2015-07-19,40
2015-07-26,40
2015-08-02,39
2015-08-09,39
2015-08-16,39
2015-08-23,39
2015-08-30,40
2015-09-06,40
2015-09-13,43
2015-09-20,42
2015-09-27,41
2015-10-04,42
2015-10-11,43
2015-10-18,41
2015-10-25,40
2015-11-01,42
2015-11-08,40
2015-11-15,40
2015-11-22,41
2015-11-29,40
2015-12-06,42
2015-12-13,41
2015-12-20,46
2015-12-27,49
2016-01-03,45
2016-01-10,44
2016-01-17,47
2016-01-24,48
2016-01-31,45
2016-02-07,47
2016-02-14,48
2016-02-21,50
2016-02-28,49
2016-03-06,48
2016-03-13,48
2016-03-20,48
2016-03-27,48
2016-04-03,45
2016-04-10,43
2016-04-17,44
2016-04-24,44
2016-05-01,42
2016-05-08,44
2016-05-15,43
2016-05-22,45
2016-05-29,42
2016-06-05,45
2016-06-12,42
2016-06-19,42
2016-06-26,42
2016-07-03,42
2016-07-10,43
2016-07-17,44
2016-07-24,44
2016-07-31,42
2016-08-07,42
2016-08-14,43
2016-08-21,45
2016-08-28,44
2016-09-04,45
2016-09-11,46
2016-09-18,46
2016-09-25,46
2016-10-02,44
2016-10-09,46
2016-10-16,45
2016-10-23,46
2016-10-30,43
2016-11-06,41
2016-11-13,47
2016-11-20,45
2016-11-27,47
2016-12-04,47
2016-12-11,47
2016-12-18,53
2016-12-25,57
2017-01-01,54
2017-01-08,51
2017-01-15,54
2017-01-22,54
2017-01-29,52
2017-02-05,55
2017-02-12,53
2017-02-19,54
2017-02-26,50
2017-03-05,51
2017-03-12,52
2017-03-19,52
2017-03-26,50
2017-04-02,48
2017-04-09,48
2017-04-16,49
2017-04-23,46
2017-04-30,47
2017-05-07,47
2017-05-14,46
2017-05-21,46
2017-05-28,47
2017-06-04,46
2017-06-11,46
2017-06-18,45
2017-06-25,47
2017-07-02,45
2017-07-09,47
2017-07-16,47
2017-07-23,46
2017-07-30,47
2017-08-06,46
2017-08-13,46
2017-08-20,46
2017-08-27,46
2017-09-03,46
2017-09-10,49
2017-09-17,50
2017-09-24,50
2017-10-01,49
2017-10-08,49
2017-10-15,49
2017-10-22,50
2017-10-29,48
2017-11-05,52
2017-11-12,55
2017-11-19,56
2017-11-26,54
2017-12-03,54
2017-12-10,55
2017-12-17,63
2017-12-24,73
2017-12-31,66
2018-01-07,64
2018-01-14,64
2018-01-21,63
2018-01-28,67
2018-02-04,66
2018-02-11,63
2018-02-18,60
2018-02-25,54
2018-03-04,55
2018-03-11,53
2018-03-18,54
2018-03-25,56
2018-04-01,53
2018-04-08,52
2018-04-15,52
2018-04-22,53
2018-04-29,50
2018-05-06,49
2018-05-13,50
2018-05-20,51
2018-05-27,52
2018-06-03,53
2018-06-10,53
2018-06-17,53
2018-06-24,51
2018-07-01,51
2018-07-08,54
2018-07-15,53
2018-07-22,53
2018-07-29,52
2018-08-05,52
2018-08-12,53
2018-08-19,52
2018-08-26,54
2018-09-02,54
2018-09-09,54
2018-09-16,55
2018-09-23,53
2018-09-30,54
2018-10-07,53
2018-10-14,55
2018-10-21,56
2018-10-28,57
2018-11-04,56
2018-11-11,56
2018-11-18,56
2018-11-25,56
2018-12-02,57
2018-12-09,60
2018-12-16,64
2018-12-23,72
2018-12-30,71
2019-01-06,63
2019-01-13,62
2019-01-20,64
2019-01-27,65
2019-02-03,66
2019-02-10,66
2019-02-17,66
2019-02-24,64
2019-03-03,61
2019-03-10,62
2019-03-17,62
2019-03-24,60
2019-03-31,57
2019-04-07,57
2019-04-14,55
2019-04-21,56
2019-04-28,54
2019-05-05,54
2019-05-12,54
2019-05-19,55
2019-05-26,56
2019-06-02,53
2019-06-09,52
2019-06-16,55
2019-06-23,54
2019-06-30,96
2019-07-07,100
2019-07-14,61
2019-07-21,61
2019-07-28,55
2019-08-04,54
2019-08-11,54
2019-08-18,56
2019-08-25,54
2019-09-01,54
2019-09-08,55
2019-09-15,57
2019-09-22,58
2019-09-29,57
2019-10-06,57
2019-10-13,58
2019-10-20,59
2019-10-27,58
2019-11-03,61
2019-11-10,61
2019-11-17,63
2019-11-24,63
2019-12-01,62
2019-12-08,64
2019-12-15,68
2019-12-22,81
2019-12-29,80
2020-01-05,73
2020-01-12,82
2020-01-19,73
2020-01-26,74
2020-02-02,73
2020-02-09,73
2020-02-16,72
2020-02-23,68
