Category: All categories

Week,tylenol: (United States)
2005-03-13,20
2005-03-20,21
2005-03-27,22
2005-04-03,23
2005-04-10,24
2005-04-17,23
2005-04-24,24
2005-05-01,21
2005-05-08,24
2005-05-15,20
2005-05-22,22
2005-05-29,32
2005-06-05,30
2005-06-12,19
2005-06-19,20
2005-06-26,20
2005-07-03,19
2005-07-10,17
2005-07-17,23
2005-07-24,20
2005-07-31,18
2005-08-07,22
2005-08-14,26
2005-08-21,22
2005-08-28,23
2005-09-04,21
2005-09-11,22
2005-09-18,25
2005-09-25,21
2005-10-02,22
2005-10-09,22
2005-10-16,23
2005-10-23,23
2005-10-30,26
2005-11-06,22
2005-11-13,23
2005-11-20,21
2005-11-27,21
2005-12-04,21
2005-12-11,21
2005-12-18,24
2005-12-25,28
2006-01-01,23
2006-01-08,22
2006-01-15,21
2006-01-22,21
2006-01-29,24
2006-02-05,22
2006-02-12,23
2006-02-19,25
2006-02-26,25
2006-03-05,20
2006-03-12,22
2006-03-19,25
2006-03-26,25
2006-04-02,23
2006-04-09,20
2006-04-16,19
2006-04-23,21
2006-04-30,18
2006-05-07,23
2006-05-14,20
2006-05-21,21
2006-05-28,21
2006-06-04,20
2006-06-11,23
2006-06-18,19
2006-06-25,21
2006-07-02,32
2006-07-09,23
2006-07-16,21
2006-07-23,22
2006-07-30,20
2006-08-06,22
2006-08-13,23
2006-08-20,20
2006-08-27,20
2006-09-03,22
2006-09-10,22
2006-09-17,26
2006-09-24,25
2006-10-01,26
2006-10-08,22
2006-10-15,22
2006-10-22,24
2006-10-29,24
2006-11-05,34
2006-11-12,32
2006-11-19,23
2006-11-26,22
2006-12-03,25
2006-12-10,24
2006-12-17,26
2006-12-24,23
2006-12-31,25
2007-01-07,26
2007-01-14,26
2007-01-21,25
2007-01-28,27
2007-02-04,26
2007-02-11,23
2007-02-18,28
2007-02-25,27
2007-03-04,26
2007-03-11,21
2007-03-18,24
2007-03-25,24
2007-04-01,26
2007-04-08,25
2007-04-15,23
2007-04-22,25
2007-04-29,22
2007-05-06,24
2007-05-13,20
2007-05-20,22
2007-05-27,20
2007-06-03,21
2007-06-10,23
2007-06-17,21
2007-06-24,20
2007-07-01,21
2007-07-08,20
2007-07-15,22
2007-07-22,21
2007-07-29,21
2007-08-05,24
2007-08-12,22
2007-08-19,24
2007-08-26,24
2007-09-02,29
2007-09-09,27
2007-09-16,28
2007-09-23,28
2007-09-30,28
2007-10-07,37
2007-10-14,32
2007-10-21,29
2007-10-28,26
2007-11-04,25
2007-11-11,24
2007-11-18,26
2007-11-25,24
2007-12-02,25
2007-12-09,25
2007-12-16,24
2007-12-23,26
2007-12-30,28
2008-01-06,25
2008-01-13,26
2008-01-20,28
2008-01-27,30
2008-02-03,32
2008-02-10,30
2008-02-17,36
2008-02-24,30
2008-03-02,26
2008-03-09,25
2008-03-16,26
2008-03-23,27
2008-03-30,27
2008-04-06,26
2008-04-13,26
2008-04-20,26
2008-04-27,26
2008-05-04,25
2008-05-11,25
2008-05-18,24
2008-05-25,23
2008-06-01,24
2008-06-08,22
2008-06-15,23
2008-06-22,23
2008-06-29,21
2008-07-06,21
2008-07-13,23
2008-07-20,23
2008-07-27,25
2008-08-03,23
2008-08-10,23
2008-08-17,25
2008-08-24,24
2008-08-31,23
2008-09-07,26
2008-09-14,26
2008-09-21,28
2008-09-28,26
2008-10-05,26
2008-10-12,25
2008-10-19,27
2008-10-26,24
2008-11-02,23
2008-11-09,27
2008-11-16,29
2008-11-23,25
2008-11-30,26
2008-12-07,26
2008-12-14,22
2008-12-21,27
2008-12-28,29
2009-01-04,30
2009-01-11,26
2009-01-18,29
2009-01-25,31
2009-02-01,41
2009-02-08,29
2009-02-15,32
2009-02-22,32
2009-03-01,29
2009-03-08,28
2009-03-15,28
2009-03-22,28
2009-03-29,27
2009-04-05,25
2009-04-12,27
2009-04-19,27
2009-04-26,28
2009-05-03,25
2009-05-10,28
2009-05-17,24
2009-05-24,29
2009-05-31,25
2009-06-07,27
2009-06-14,27
2009-06-21,26
2009-06-28,47
2009-07-05,31
2009-07-12,29
2009-07-19,27
2009-07-26,28
2009-08-02,26
2009-08-09,26
2009-08-16,26
2009-08-23,26
2009-08-30,27
2009-09-06,28
2009-09-13,33
2009-09-20,90
2009-09-27,84
2009-10-04,42
2009-10-11,39
2009-10-18,42
2009-10-25,37
2009-11-01,37
2009-11-08,32
2009-11-15,30
2009-11-22,27
2009-11-29,29
2009-12-06,26
2009-12-13,27
2009-12-20,28
2009-12-27,64
2010-01-03,37
2010-01-10,88
2010-01-17,100
2010-01-24,46
2010-01-31,38
2010-02-07,32
2010-02-14,34
2010-02-21,35
2010-02-28,33
2010-03-07,31
