Week,Common cold: (United States),WEEK
1/4/04,76,1
1/11/04,69,2
1/18/04,63,3
1/25/04,59,4
2/1/04,50,5
2/8/04,56,6
2/15/04,45,7
2/22/04,51,8
2/29/04,43,9
3/7/04,44,10
3/14/04,45,11
3/21/04,40,12
3/28/04,43,13
4/4/04,43,14
4/11/04,37,15
4/18/04,39,16
4/25/04,36,17
5/2/04,35,18
5/9/04,38,19
5/16/04,34,20
5/23/04,33,21
5/30/04,33,22
6/6/04,32,23
6/13/04,31,24
6/20/04,31,25
6/27/04,31,26
7/4/04,30,27
7/11/04,29,28
7/18/04,30,29
7/25/04,33,30
8/1/04,30,31
8/8/04,35,32
8/15/04,29,33
8/22/04,33,34
8/29/04,32,35
9/5/04,38,36
9/12/04,41,37
9/19/04,45,38
9/26/04,59,39
10/3/04,63,40
10/10/04,61,41
10/17/04,56,42
10/24/04,58,43
10/31/04,54,44
11/7/04,62,45
11/14/04,58,46
11/21/04,63,47
11/28/04,69,48
12/5/04,62,49
12/12/04,70,50
12/19/04,82,51
12/26/04,78,52
1/2/05,77,1
1/9/05,70,2
1/16/05,77,3
1/23/05,79,4
1/30/05,75,5
2/6/05,73,6
2/13/05,70,7
2/20/05,72,8
2/27/05,66,9
3/6/05,59,10
3/13/05,54,11
3/20/05,52,12
3/27/05,48,13
4/3/05,48,14
4/10/05,43,15
4/17/05,45,16
4/24/05,46,17
5/1/05,43,18
5/8/05,40,19
5/15/05,42,20
5/22/05,39,21
5/29/05,34,22
6/5/05,34,23
6/12/05,35,24
6/19/05,33,25
6/26/05,32,26
7/3/05,34,27
7/10/05,33,28
7/17/05,31,29
7/24/05,33,30
7/31/05,34,31
8/7/05,32,32
8/14/05,34,33
8/21/05,36,34
8/28/05,38,35
9/4/05,46,36
9/11/05,46,37
9/18/05,49,38
9/25/05,54,39
10/2/05,52,40
10/9/05,52,41
10/16/05,56,42
10/23/05,65,43
10/30/05,64,44
11/6/05,61,45
11/13/05,72,46
11/20/05,65,47
11/27/05,73,48
12/4/05,77,49
12/11/05,76,50
12/18/05,78,51
12/25/05,83,52
1/1/06,75,1
1/8/06,61,2
1/15/06,64,3
1/22/06,58,4
1/29/06,61,5
2/5/06,66,6
2/12/06,63,7
2/19/06,64,8
2/26/06,63,9
3/5/06,57,10
3/12/06,50,11
3/19/06,51,12
3/26/06,46,13
4/2/06,45,14
4/9/06,41,15
4/16/06,41,16
4/23/06,39,17
4/30/06,38,18
5/7/06,40,19
5/14/06,39,20
5/21/06,40,21
5/28/06,33,22
6/4/06,32,23
6/11/06,36,24
6/18/06,33,25
6/25/06,31,26
7/2/06,31,27
7/9/06,30,28
7/16/06,30,29
7/23/06,32,30
7/30/06,31,31
8/6/06,29,32
8/13/06,34,33
8/20/06,35,34
8/27/06,36,35
9/3/06,40,36
9/10/06,49,37
9/17/06,52,38
9/24/06,57,39
10/1/06,56,40
10/8/06,55,41
10/15/06,57,42
10/22/06,60,43
10/29/06,63,44
11/5/06,57,45
11/12/06,60,46
11/19/06,62,47
11/26/06,67,48
12/3/06,74,49
12/10/06,67,50
12/17/06,70,51
12/24/06,77,52
12/31/06,73,1
1/7/07,73,2
1/14/07,74,3
1/21/07,72,4
1/28/07,73,5
2/4/07,85,6
2/11/07,66,7
2/18/07,63,8
2/25/07,58,9
3/4/07,53,10
3/11/07,46,11
3/18/07,51,12
3/25/07,45,13
4/1/07,46,14
4/8/07,48,15
4/15/07,45,16
4/22/07,44,17
4/29/07,41,18
5/6/07,39,19
5/13/07,38,20
5/20/07,36,21
5/27/07,35,22
6/3/07,36,23
6/10/07,32,24
6/17/07,33,25
6/24/07,33,26
7/1/07,33,27
7/8/07,30,28
7/15/07,30,29
7/22/07,30,30
7/29/07,29,31
8/5/07,33,32
8/12/07,34,33
8/19/07,38,34
8/26/07,38,35
