Week,Cough: (United States),WEEK
1/4/04,65,1
1/11/04,56,2
1/18/04,55,3
1/25/04,49,4
2/1/04,49,5
2/8/04,50,6
2/15/04,49,7
2/22/04,50,8
2/29/04,48,9
3/7/04,41,10
3/14/04,49,11
3/21/04,50,12
3/28/04,46,13
4/4/04,42,14
4/11/04,47,15
4/18/04,46,16
4/25/04,46,17
5/2/04,44,18
5/9/04,48,19
5/16/04,43,20
5/23/04,43,21
5/30/04,50,22
6/6/04,51,23
6/13/04,43,24
6/20/04,38,25
6/27/04,40,26
7/4/04,51,27
7/11/04,47,28
7/18/04,42,29
7/25/04,41,30
8/1/04,45,31
8/8/04,42,32
8/15/04,48,33
8/22/04,43,34
8/29/04,42,35
9/5/04,56,36
9/12/04,51,37
9/19/04,58,38
9/26/04,54,39
10/3/04,54,40
10/10/04,57,41
10/17/04,62,42
10/24/04,58,43
10/31/04,59,44
11/7/04,61,45
11/14/04,64,46
11/21/04,70,47
11/28/04,70,48
12/5/04,70,49
12/12/04,66,50
12/19/04,77,51
12/26/04,75,52
1/2/05,77,1
1/9/05,66,2
1/16/05,69,3
1/23/05,73,4
1/30/05,81,5
2/6/05,77,6
2/13/05,81,7
2/20/05,78,8
2/27/05,75,9
3/6/05,65,10
3/13/05,69,11
3/20/05,72,12
3/27/05,63,13
4/3/05,63,14
4/10/05,62,15
4/17/05,60,16
4/24/05,62,17
5/1/05,63,18
5/8/05,62,19
5/15/05,57,20
5/22/05,60,21
5/29/05,57,22
6/5/05,51,23
6/12/05,49,24
6/19/05,50,25
6/26/05,50,26
7/3/05,41,27
7/10/05,41,28
7/17/05,43,29
7/24/05,46,30
7/31/05,49,31
8/7/05,49,32
8/14/05,47,33
8/21/05,50,34
8/28/05,47,35
9/4/05,52,36
9/11/05,51,37
9/18/05,55,38
9/25/05,63,39
10/2/05,54,40
10/9/05,59,41
10/16/05,62,42
10/23/05,60,43
10/30/05,66,44
11/6/05,65,45
11/13/05,66,46
11/20/05,62,47
11/27/05,66,48
12/4/05,63,49
12/11/05,70,50
12/18/05,79,51
12/25/05,82,52
1/1/06,79,1
1/8/06,77,2
1/15/06,73,3
1/22/06,66,4
1/29/06,74,5
2/5/06,75,6
2/12/06,71,7
2/19/06,76,8
2/26/06,70,9
3/5/06,75,10
3/12/06,66,11
3/19/06,60,12
3/26/06,61,13
4/2/06,62,14
4/9/06,55,15
4/16/06,58,16
4/23/06,52,17
4/30/06,53,18
5/7/06,56,19
5/14/06,51,20
