Week,Influenza: (United States),WEEK
1/4/04,28,1
1/11/04,19,2
1/18/04,15,3
1/25/04,16,4
2/1/04,16,5
2/8/04,15,6
2/15/04,13,7
2/22/04,14,8
2/29/04,11,9
3/7/04,9,10
3/14/04,9,11
3/21/04,7,12
3/28/04,8,13
4/4/04,8,14
4/11/04,8,15
4/18/04,8,16
4/25/04,7,17
5/2/04,5,18
5/9/04,6,19
5/16/04,7,20
5/23/04,6,21
5/30/04,5,22
6/6/04,6,23
6/13/04,4,24
6/20/04,4,25
6/27/04,4,26
7/4/04,5,27
7/11/04,4,28
7/18/04,5,29
7/25/04,5,30
8/1/04,4,31
8/8/04,5,32
8/15/04,5,33
8/22/04,8,34
8/29/04,8,35
9/5/04,8,36
9/12/04,10,37
9/19/04,13,38
9/26/04,20,39
10/3/04,77,40
10/10/04,100,41
10/17/04,96,42
10/24/04,69,43
10/31/04,40,44
11/7/04,31,45
11/14/04,27,46
11/21/04,22,47
11/28/04,23,48
12/5/04,23,49
12/12/04,24,50
12/19/04,22,51
12/26/04,24,52
1/2/05,27,1
1/9/05,23,2
1/16/05,25,3
1/23/05,27,4
1/30/05,31,5
2/6/05,34,6
2/13/05,33,7
2/20/05,34,8
2/27/05,25,9
3/6/05,22,10
3/13/05,16,11
3/20/05,15,12
3/27/05,13,13
4/3/05,11,14
4/10/05,14,15
4/17/05,10,16
4/24/05,10,17
5/1/05,8,18
5/8/05,8,19
5/15/05,7,20
5/22/05,8,21
5/29/05,6,22
6/5/05,5,23
6/12/05,5,24
6/19/05,5,25
6/26/05,6,26
7/3/05,4,27
7/10/05,6,28
7/17/05,6,29
7/24/05,6,30
7/31/05,6,31
8/7/05,6,32
8/14/05,7,33
8/21/05,7,34
8/28/05,7,35
9/4/05,8,36
9/11/05,15,37
9/18/05,20,38
9/25/05,31,39
10/2/05,54,40
10/9/05,64,41
10/16/05,63,42
10/23/05,66,43
10/30/05,84,44
11/6/05,62,45
11/13/05,51,46
11/20/05,34,47
11/27/05,31,48
12/4/05,30,49
12/11/05,26,50
12/18/05,23,51
12/25/05,30,52
1/1/06,27,1
1/8/06,23,2
1/15/06,22,3
1/22/06,21,4
1/29/06,19,5
2/5/06,20,6
2/12/06,21,7
2/19/06,25,8
2/26/06,26,9
3/5/06,22,10
3/12/06,28,11
3/19/06,23,12
3/26/06,19,13
4/2/06,17,14
4/9/06,13,15
4/16/06,14,16
4/23/06,14,17
4/30/06,18,18
5/7/06,18,19
5/14/06,13,20
5/21/06,14,21
5/28/06,12,22
6/4/06,9,23
6/11/06,9,24
6/18/06,8,25
6/25/06,7,26
7/2/06,6,27
7/9/06,7,28
7/16/06,7,29
7/23/06,6,30
7/30/06,6,31
8/6/06,7,32
8/13/06,6,33
8/20/06,6,34
8/27/06,7,35
9/3/06,8,36
9/10/06,11,37
9/17/06,12,38
9/24/06,17,39
10/1/06,27,40
10/8/06,32,41
10/15/06,39,42
10/22/06,44,43
10/29/06,41,44
11/5/06,38,45
11/12/06,38,46
11/19/06,24,47
11/26/06,28,48
12/3/06,24,49
12/10/06,22,50
12/17/06,21,51
12/24/06,20,52
12/31/06,18,1
1/7/07,18,2
1/14/07,18,3
1/21/07,19,4
1/28/07,20,5
2/4/07,24,6
2/11/07,25,7
2/18/07,23,8
2/25/07,19,9
3/4/07,18,10
3/11/07,15,11
3/18/07,14,12
3/25/07,12,13
4/1/07,11,14
4/8/07,9,15
4/15/07,9,16
4/22/07,9,17
4/29/07,8,18
5/6/07,7,19
5/13/07,6,20
5/20/07,6,21
5/27/07,7,22
6/3/07,6,23
6/10/07,5,24
6/17/07,5,25
6/24/07,5,26
7/1/07,5,27
7/8/07,5,28
7/15/07,5,29
7/22/07,5,30
7/29/07,5,31
