Week,Oseltamivir: (United States),WEEK
1/4/04,5,1
1/11/04,4,2
1/18/04,3,3
1/25/04,6,4
2/1/04,5,5
2/8/04,2,6
2/15/04,2,7
2/22/04,2,8
2/29/04,1,9
3/7/04,2,10
3/14/04,1,11
3/21/04,3,12
3/28/04,1,13
4/4/04,1,14
4/11/04,0,15
4/18/04,1,16
4/25/04,1,17
5/2/04,1,18
5/9/04,1,19
5/16/04,1,20
5/23/04,1,21
5/30/04,0,22
6/6/04,1,23
6/13/04,1,24
6/20/04,1,25
6/27/04,2,26
7/4/04,1,27
7/11/04,2,28
7/18/04,1,29
7/25/04,0,30
8/1/04,0,31
8/8/04,1,32
8/15/04,1,33
8/22/04,4,34
8/29/04,2,35
9/5/04,1,36
9/12/04,1,37
9/19/04,1,38
9/26/04,1,39
10/3/04,5,40
10/10/04,8,41
10/17/04,7,42
10/24/04,2,43
10/31/04,4,44
11/7/04,4,45
11/14/04,2,46
11/21/04,4,47
11/28/04,3,48
12/5/04,3,49
12/12/04,4,50
12/19/04,4,51
12/26/04,3,52
1/2/05,4,1
1/9/05,4,2
1/16/05,5,3
1/23/05,7,4
1/30/05,8,5
2/6/05,13,6
2/13/05,10,7
2/20/05,12,8
2/27/05,11,9
3/6/05,9,10
3/13/05,5,11
3/20/05,6,12
3/27/05,4,13
4/3/05,5,14
4/10/05,3,15
4/17/05,1,16
4/24/05,2,17
5/1/05,1,18
5/8/05,1,19
5/15/05,2,20
5/22/05,4,21
5/29/05,2,22
6/5/05,1,23
6/12/05,2,24
6/19/05,6,25
6/26/05,4,26
7/3/05,4,27
7/10/05,3,28
7/17/05,6,29
7/24/05,4,30
7/31/05,6,31
8/7/05,6,32
8/14/05,4,33
8/21/05,6,34
8/28/05,4,35
9/4/05,3,36
9/11/05,53,37
9/18/05,39,38
9/25/05,33,39
10/2/05,59,40
10/9/05,100,41
10/16/05,85,42
10/23/05,59,43
10/30/05,72,44
11/6/05,32,45
11/13/05,38,46
11/20/05,22,47
11/27/05,11,48
12/4/05,17,49
12/11/05,10,50
12/18/05,14,51
12/25/05,9,52
1/1/06,8,1
1/8/06,13,2
1/15/06,10,3
1/22/06,13,4
1/29/06,8,5
2/5/06,8,6
2/12/06,9,7
2/19/06,14,8
2/26/06,15,9
3/5/06,14,10
3/12/06,15,11
3/19/06,15,12
3/26/06,9,13
4/2/06,8,14
4/9/06,6,15
4/16/06,7,16
4/23/06,12,17
4/30/06,11,18
5/7/06,11,19
5/14/06,6,20
5/21/06,11,21
5/28/06,12,22
6/4/06,5,23
6/11/06,4,24
6/18/06,3,25
6/25/06,2,26
7/2/06,3,27
7/9/06,3,28
7/16/06,2,29
7/23/06,2,30
7/30/06,2,31
8/6/06,1,32
8/13/06,2,33
8/20/06,1,34
8/27/06,2,35
9/3/06,2,36
9/10/06,2,37
9/17/06,2,38
9/24/06,2,39
10/1/06,4,40
10/8/06,3,41
10/15/06,4,42
10/22/06,2,43
10/29/06,4,44
11/5/06,3,45
11/12/06,17,46
11/19/06,5,47
11/26/06,4,48
12/3/06,4,49
12/10/06,4,50
12/17/06,7,51
12/24/06,5,52
12/31/06,5,1
1/7/07,4,2
1/14/07,5,3
1/21/07,5,4
1/28/07,7,5
2/4/07,8,6
2/11/07,8,7
2/18/07,11,8
2/25/07,9,9
3/4/07,10,10
3/11/07,6,11
3/18/07,9,12
3/25/07,7,13
4/1/07,4,14
4/8/07,4,15
4/15/07,3,16
4/22/07,3,17
4/29/07,2,18
5/6/07,2,19
5/13/07,1,20
5/20/07,2,21
5/27/07,1,22
6/3/07,1,23
6/10/07,1,24
6/17/07,2,25
6/24/07,1,26
7/1/07,1,27
7/8/07,1,28
7/15/07,1,29
7/22/07,2,30
7/29/07,1,31
8/5/07,1,32
8/12/07,1,33
8/19/07,1,34
8/26/07,1,35
9/2/07,1,36
9/9/07,1,37
9/16/07,1,38
9/23/07,1,39
9/30/07,1,40
10/7/07,2,41
10/14/07,2,42
10/21/07,2,43
10/28/07,3,44
11/4/07,2,45
11/11/07,1,46
11/18/07,4,47
11/25/07,8,48
12/2/07,3,49
12/9/07,3,50
12/16/07,3,51
12/23/07,3,52
12/30/07,5,1
1/6/08,6,2
1/13/08,5,3
1/20/08,9,4
1/27/08,16,5
2/3/08,22,6
2/10/08,27,7
2/17/08,29,8
2/24/08,27,9
3/2/08,24,10
3/9/08,14,11
3/16/08,10,12
3/23/08,9,13
3/30/08,6,14
4/6/08,4,15
4/13/08,3,16
4/20/08,3,17
4/27/08,2,18
5/4/08,2,19
5/11/08,2,20
5/18/08,1,21
5/25/08,1,22
6/1/08,2,23
6/8/08,1,24
6/15/08,1,25
6/22/08,1,26
6/29/08,1,27
7/6/08,1,28
7/13/08,1,29
7/20/08,1,30
7/27/08,1,31
8/3/08,1,32
8/10/08,1,33
8/17/08,1,34
8/24/08,1,35
8/31/08,1,36
9/7/08,1,37
9/14/08,1,38
9/21/08,1,39
9/28/08,2,40
10/5/08,1,41
10/12/08,2,42
10/19/08,2,43
10/26/08,2,44
11/2/08,2,45
11/9/08,2,46
11/16/08,2,47
11/23/08,2,48
11/30/08,3,49
12/7/08,3,50
12/14/08,3,51
12/21/08,3,52
12/28/08,4,53
1/4/09,2,1
1/11/09,2,2
1/18/09,2,3
1/25/09,2,4
2/1/09,2,5
2/8/09,3,6
2/15/09,2,7
2/22/09,2,8
3/1/09,3,9
3/8/09,2,10
3/15/09,2,11
3/22/09,1,12
3/29/09,1,13
4/5/09,1,14
4/12/09,1,15
4/19/09,4,16
4/26/09,100,17
5/3/09,13,18
5/10/09,5,19
5/17/09,5,20
5/24/09,4,21
5/31/09,4,22
6/7/09,6,23
6/14/09,7,24
6/21/09,6,25
6/28/09,9,26
7/5/09,6,27
7/12/09,6,28
7/19/09,7,29
7/26/09,7,30
8/2/09,7,31
8/9/09,8,32
8/16/09,6,33
8/23/09,9,34
8/30/09,10,35
9/6/09,11,36
9/13/09,12,37
9/20/09,12,38
9/27/09,15,39
10/4/09,19,40
10/11/09,22,41
10/18/09,32,42
10/25/09,33,43
11/1/09,28,44
11/8/09,19,45
11/15/09,15,46
11/22/09,10,47
11/29/09,6,48
12/6/09,5,49
12/13/09,4,50
12/20/09,4,51
12/27/09,3,52
1/3/10,2,1
1/10/10,2,2
1/17/10,2,3
1/24/10,2,4
1/31/10,1,5
2/7/10,1,6
2/14/10,2,7
2/21/10,2,8
2/28/10,2,9
3/7/10,1,10
3/14/10,1,11
3/21/10,1,12
3/28/10,1,13
4/4/10,1,14
4/11/10,1,15
4/18/10,1,16
4/25/10,1,17
5/2/10,1,18
5/9/10,<1,19
5/16/10,1,20
5/23/10,<1,21
5/30/10,<1,22
6/6/10,1,23
6/13/10,<1,24
6/20/10,<1,25
6/27/10,<1,26
7/4/10,<1,27
7/11/10,<1,28
7/18/10,1,29
7/25/10,<1,30
8/1/10,<1,31
8/8/10,<1,32
8/15/10,<1,33
8/22/10,<1,34
8/29/10,<1,35
9/5/10,1,36
9/12/10,1,37
9/19/10,1,38
9/26/10,1,39
10/3/10,1,40
10/10/10,1,41
10/17/10,1,42
10/24/10,1,43
10/31/10,1,44
11/7/10,1,45
11/14/10,1,46
11/21/10,1,47
11/28/10,1,48
12/5/10,1,49
12/12/10,2,50
