,YEAR,WEEK,Total Cases,weeks
0,2004,1,862.0,852
1,2004,2,505.0,852
2,2004,3,260.0,852
3,2004,4,166.0,852
4,2004,5,107.0,852
5,2004,6,65.0,852
6,2004,7,56.0,852
7,2004,8,38.0,852
8,2004,9,18.0,852
9,2004,10,14.0,852
10,2004,11,13.0,852
11,2004,12,24.0,852
12,2004,13,17.0,852
13,2004,14,9.0,852
14,2004,15,15.0,852
15,2004,16,24.0,852
16,2004,17,11.0,852
17,2004,18,9.0,852
18,2004,19,2.0,852
19,2004,20,4.0,852
20,2004,21,6.0,852
21,2004,22,6.0,852
22,2004,23,3.0,852
23,2004,24,2.0,852
24,2004,25,3.0,852
25,2004,26,3.0,852
26,2004,27,1.0,852
27,2004,28,2.0,852
28,2004,29,2.0,852
29,2004,30,0.0,852
30,2004,31,2.0,852
31,2004,32,1.0,852
32,2004,33,1.0,852
33,2004,34,4.0,852
34,2004,35,4.0,852
35,2004,36,3.0,852
36,2004,37,7.0,852
37,2004,38,4.0,852
38,2004,39,14.0,852
39,2004,40,12.0,852
40,2004,41,14.0,852
41,2004,42,39.0,852
42,2004,43,32.0,852
43,2004,44,45.0,852
44,2004,45,62.0,852
45,2004,46,92.0,852
46,2004,47,61.0,852
47,2004,48,137.0,852
48,2004,49,193.0,852
49,2004,50,286.0,852
50,2004,51,531.0,852
51,2004,52,973.0,852
52,2005,1,1285.0,852
53,2005,2,1126.0,852
54,2005,3,1483.0,852
55,2005,4,1866.0,852
56,2005,5,2325.0,852
57,2005,6,2571.0,852
58,2005,7,2705.0,852
59,2005,8,2278.0,852
60,2005,9,1698.0,852
61,2005,10,1216.0,852
62,2005,11,1108.0,852
63,2005,12,869.0,852
64,2005,13,567.0,852
65,2005,14,355.0,852
66,2005,15,176.0,852
67,2005,16,123.0,852
68,2005,17,69.0,852
69,2005,18,51.0,852
70,2005,19,37.0,852
71,2005,20,39.0,852
72,2005,21,31.0,852
73,2005,22,23.0,852
74,2005,23,12.0,852
75,2005,24,15.0,852
76,2005,25,11.0,852
77,2005,26,7.0,852
78,2005,27,5.0,852
79,2005,28,2.0,852
80,2005,29,3.0,852
81,2005,30,2.0,852
82,2005,31,0.0,852
83,2005,32,4.0,852
84,2005,33,6.0,852
85,2005,34,4.0,852
86,2005,35,6.0,852
87,2005,36,1.0,852
88,2005,37,5.0,852
89,2005,38,2.0,852
90,2005,39,7.0,852
91,2005,40,11.0,852
92,2005,41,12.0,852
93,2005,42,25.0,852
94,2005,43,14.0,852
95,2005,44,23.0,852
96,2005,45,43.0,852
97,2005,46,47.0,852
98,2005,47,52.0,852
99,2005,48,116.0,852
100,2005,49,214.0,852
101,2005,50,399.0,852
102,2005,51,691.0,852
103,2005,52,786.0,852
104,2006,1,752.0,852
105,2006,2,843.0,852
106,2006,3,883.0,852
107,2006,4,1059.0,852
108,2006,5,1173.0,852
109,2006,6,1297.0,852
110,2006,7,1586.0,852
111,2006,8,1625.0,852
112,2006,9,1802.0,852
113,2006,10,1754.0,852
114,2006,11,1381.0,852
115,2006,12,1190.0,852
116,2006,13,975.0,852
117,2006,14,605.0,852
118,2006,15,458.0,852
119,2006,16,346.0,852
120,2006,17,200.0,852
121,2006,18,195.0,852
122,2006,19,177.0,852
123,2006,20,135.0,852
124,2006,21,130.0,852
125,2006,22,78.0,852
126,2006,23,55.0,852
127,2006,24,25.0,852
128,2006,25,14.0,852
129,2006,26,12.0,852
130,2006,27,8.0,852
131,2006,28,7.0,852
132,2006,29,11.0,852
133,2006,30,17.0,852
134,2006,31,20.0,852
135,2006,32,12.0,852
136,2006,33,12.0,852
137,2006,34,15.0,852
138,2006,35,17.0,852
139,2006,36,13.0,852
140,2006,37,31.0,852
141,2006,38,35.0,852
142,2006,39,29.0,852
143,2006,40,56.0,852
144,2006,41,67.0,852
145,2006,42,80.0,852
146,2006,43,84.0,852
147,2006,44,143.0,852
148,2006,45,155.0,852
149,2006,46,133.0,852
150,2006,47,161.0,852
151,2006,48,209.0,852
152,2006,49,264.0,852
153,2006,50,541.0,852
154,2006,51,729.0,852
155,2006,52,704.0,852
156,2007,1,468.0,852
157,2007,2,594.0,852
158,2007,3,718.0,852
159,2007,4,1310.0,852
160,2007,5,1849.0,852
161,2007,6,2532.0,852
162,2007,7,2523.0,852
163,2007,8,2367.0,852
164,2007,9,1949.0,852
165,2007,10,1589.0,852
166,2007,11,1353.0,852
167,2007,12,1090.0,852
168,2007,13,765.0,852
169,2007,14,518.0,852
170,2007,15,515.0,852
171,2007,16,373.0,852
172,2007,17,294.0,852
173,2007,18,203.0,852
174,2007,19,126.0,852
175,2007,20,92.0,852
176,2007,21,84.0,852
177,2007,22,30.0,852
178,2007,23,20.0,852
179,2007,24,26.0,852
180,2007,25,8.0,852
181,2007,26,15.0,852
182,2007,27,18.0,852
183,2007,28,23.0,852
184,2007,29,16.0,852
185,2007,30,37.0,852
186,2007,31,24.0,852
187,2007,32,34.0,852
188,2007,33,19.0,852
189,2007,34,23.0,852
190,2007,35,30.0,852
191,2007,36,24.0,852
192,2007,37,30.0,852
193,2007,38,30.0,852
194,2007,39,20.0,852
195,2007,40,44.0,852
196,2007,41,44.0,852
197,2007,42,48.0,852
198,2007,43,50.0,852
199,2007,44,74.0,852
200,2007,45,85.0,852
201,2007,46,87.0,852
202,2007,47,140.0,852
203,2007,48,161.0,852
204,2007,49,180.0,852
205,2007,50,215.0,852
206,2007,51,314.0,852
207,2007,52,448.0,852
208,2008,1,584.0,852
209,2008,2,1003.0,852
210,2008,3,1313.0,852
211,2008,4,2152.0,852
212,2008,5,3831.0,852
213,2008,6,4871.0,852
214,2008,7,4827.0,852
215,2008,8,5277.0,852
216,2008,9,4451.0,852
217,2008,10,3595.0,852
218,2008,11,2564.0,852
219,2008,12,1937.0,852
220,2008,13,1387.0,852
221,2008,14,899.0,852
222,2008,15,622.0,852
223,2008,16,349.0,852
224,2008,17,191.0,852
225,2008,18,126.0,852
226,2008,19,65.0,852
227,2008,20,38.0,852
228,2008,21,29.0,852
229,2008,22,19.0,852
230,2008,23,17.0,852
231,2008,24,12.0,852
232,2008,25,7.0,852
233,2008,26,6.0,852
234,2008,27,4.0,852
235,2008,28,6.0,852
236,2008,29,4.0,852
237,2008,30,10.0,852
238,2008,31,7.0,852
239,2008,32,7.0,852
240,2008,33,1.0,852
241,2008,34,6.0,852
242,2008,35,5.0,852
243,2008,36,6.0,852
244,2008,37,11.0,852
245,2008,38,20.0,852
246,2008,39,12.0,852
247,2008,40,17.0,852
248,2008,41,23.0,852
249,2008,42,37.0,852
250,2008,43,61.0,852
251,2008,44,43.0,852
252,2008,45,71.0,852
253,2008,46,62.0,852
254,2008,47,84.0,852
255,2008,48,109.0,852
256,2008,49,127.0,852
257,2008,50,189.0,852
258,2008,51,273.0,852
259,2008,52,285.0,852
260,2008,53,365.0,852
261,2009,1,589.0,852
262,2009,2,760.0,852
263,2009,3,1275.0,852
264,2009,4,1969.0,852
265,2009,5,2802.0,852
266,2009,6,3207.0,852
267,2009,7,2913.0,852
268,2009,8,2923.0,852
269,2009,9,2671.0,852
270,2009,10,2147.0,852
271,2009,11,1773.0,852
272,2009,12,1229.0,852
273,2009,13,799.0,852
274,2009,14,543.0,852
275,2009,15,336.0,852
276,2009,16,324.0,852
277,2009,17,4512.0,852
278,2009,18,5207.0,852
279,2009,19,3042.0,852
280,2009,20,4128.0,852
281,2009,21,4515.0,852
282,2009,22,5351.0,852
283,2009,23,5727.0,852
284,2009,24,6140.0,852
285,2009,25,4384.0,852
286,2009,26,3468.0,852
287,2009,27,3432.0,852
288,2009,28,2701.0,852
289,2009,29,2344.0,852
290,2009,30,2531.0,852
291,2009,31,1994.0,852
292,2009,32,1933.0,852
293,2009,33,2437.0,852
294,2009,34,2563.0,852
295,2009,35,2899.0,852
296,2009,36,3576.0,852
297,2009,37,4269.0,852
298,2009,38,4540.0,852
299,2009,39,4931.0,852
300,2009,40,8042.0,852
301,2009,41,10899.0,852
302,2009,42,12409.0,852
303,2009,43,9998.0,852
304,2009,44,7727.0,852
305,2009,45,6016.0,852
306,2009,46,3628.0,852
307,2009,47,1937.0,852
308,2009,48,1410.0,852
309,2009,49,868.0,852
310,2009,50,676.0,852
311,2009,51,427.0,852
312,2009,52,468.0,852
313,2010,1,379.0,852
314,2010,2,417.0,852
315,2010,3,477.0,852
316,2010,4,428.0,852
317,2010,5,425.0,852
318,2010,6,369.0,852
319,2010,7,400.0,852
320,2010,8,438.0,852
321,2010,9,461.0,852
322,2010,10,496.0,852
323,2010,11,370.0,852
324,2010,12,250.0,852
325,2010,13,228.0,852
326,2010,14,130.0,852
327,2010,15,84.0,852
328,2010,16,47.0,852
329,2010,17,26.0,852
330,2010,18,25.0,852
331,2010,19,18.0,852
332,2010,20,15.0,852
333,2010,21,5.0,852
334,2010,22,6.0,852
335,2010,23,6.0,852
336,2010,24,9.0,852
337,2010,25,8.0,852
338,2010,26,4.0,852
339,2010,27,5.0,852
340,2010,28,11.0,852
341,2010,29,8.0,852
342,2010,30,23.0,852
343,2010,31,16.0,852
344,2010,32,29.0,852
345,2010,33,19.0,852
346,2010,34,40.0,852
347,2010,35,28.0,852
348,2010,36,36.0,852
349,2010,37,50.0,852
350,2010,38,48.0,852
351,2010,39,40.0,852
352,2010,40,77.0,852
353,2010,41,128.0,852
354,2010,42,139.0,852
355,2010,43,166.0,852
356,2010,44,247.0,852
357,2010,45,350.0,852
358,2010,46,487.0,852
359,2010,47,587.0,852
360,2010,48,597.0,852
361,2010,49,843.0,852
362,2010,50,1450.0,852
363,2010,51,2046.0,852
364,2010,52,2372.0,852
365,2011,1,2628.0,852
366,2011,2,2984.0,852
367,2011,3,3710.0,852
368,2011,4,4447.0,852
369,2011,5,4912.0,852
370,2011,6,5077.0,852
371,2011,7,5716.0,852
372,2011,8,4657.0,852
373,2011,9,3573.0,852
374,2011,10,2766.0,852
375,2011,11,2000.0,852
376,2011,12,1361.0,852
377,2011,13,910.0,852
378,2011,14,636.0,852
379,2011,15,400.0,852
380,2011,16,205.0,852
381,2011,17,133.0,852
382,2011,18,69.0,852
383,2011,19,36.0,852
384,2011,20,26.0,852
385,2011,21,18.0,852
386,2011,22,13.0,852
387,2011,23,6.0,852
388,2011,24,9.0,852
389,2011,25,5.0,852
390,2011,26,4.0,852
391,2011,27,5.0,852
392,2011,28,9.0,852
393,2011,29,10.0,852
394,2011,30,4.0,852
395,2011,31,11.0,852
396,2011,32,13.0,852
397,2011,33,16.0,852
398,2011,34,17.0,852
399,2011,35,15.0,852
400,2011,36,13.0,852
401,2011,37,21.0,852
402,2011,38,21.0,852
403,2011,39,35.0,852
404,2011,40,33.0,852
405,2011,41,19.0,852
406,2011,42,28.0,852
407,2011,43,44.0,852
408,2011,44,39.0,852
409,2011,45,49.0,852
410,2011,46,44.0,852
411,2011,47,75.0,852
412,2011,48,72.0,852
413,2011,49,108.0,852
414,2011,50,133.0,852
415,2011,51,197.0,852
416,2011,52,182.0,852
417,2012,1,183.0,852
418,2012,2,235.0,852
419,2012,3,320.0,852
420,2012,4,473.0,852
421,2012,5,680.0,852
422,2012,6,809.0,852
423,2012,7,1083.0,852
424,2012,8,1443.0,852
425,2012,9,2021.0,852
426,2012,10,2384.0,852
427,2012,11,2710.0,852
428,2012,12,2195.0,852
429,2012,13,1606.0,852
430,2012,14,1478.0,852
431,2012,15,1289.0,852
432,2012,16,1174.0,852
433,2012,17,860.0,852
434,2012,18,723.0,852
435,2012,19,616.0,852
436,2012,20,508.0,852
437,2012,21,416.0,852
438,2012,22,365.0,852
439,2012,23,293.0,852
440,2012,24,289.0,852
441,2012,25,171.0,852
442,2012,26,152.0,852
443,2012,27,93.0,852
444,2012,28,94.0,852
445,2012,29,77.0,852
446,2012,30,105.0,852
447,2012,31,205.0,852
448,2012,32,173.0,852
449,2012,33,168.0,852
450,2012,34,113.0,852
451,2012,35,84.0,852
452,2012,36,89.0,852
453,2012,37,73.0,852
454,2012,38,108.0,852
455,2012,39,131.0,852
456,2012,40,171.0,852
457,2012,41,193.0,852
458,2012,42,305.0,852
459,2012,43,348.0,852
460,2012,44,425.0,852
461,2012,45,629.0,852
462,2012,46,898.0,852
463,2012,47,1369.0,852
464,2012,48,2089.0,852
465,2012,49,3522.0,852
466,2012,50,4797.0,852
467,2012,51,6331.0,852
468,2012,52,6870.0,852
469,2013,1,6944.0,852
470,2013,2,7602.0,852
471,2013,3,6393.0,852
472,2013,4,5521.0,852
473,2013,5,4304.0,852
474,2013,6,3294.0,852
475,2013,7,2650.0,852
476,2013,8,2275.0,852
477,2013,9,1967.0,852
478,2013,10,1821.0,852
479,2013,11,1617.0,852
480,2013,12,1376.0,852
481,2013,13,1116.0,852
482,2013,14,945.0,852
