,0
0,2061.792
1,1749.1754
2,1541.471
3,1348.6514
4,1114.2969
5,731.4569
6,421.10254
7,420.1194
8,484.39807
9,180.35356
10,185.08936
11,168.09167
12,122.107506
13,102.62061
14,71.02319
15,9.812877
16,97.95071
17,14.615872
18,-70.6987
19,-50.09041
20,-109.74793
21,8.644371
22,87.215
23,-19.32119
24,-81.64475
25,-98.189545
26,-42.54989
27,0.71207345
28,-16.657791
29,166.64941
30,-37.41194
31,-283.16113
32,-121.29191
33,-81.693756
34,123.60405
35,-16.953213
36,-35.597992
37,143.69208
38,179.44054
39,486.37427
40,616.9364
41,397.14444
42,486.60745
43,758.3079
44,1168.5853
45,1520.731
46,1509.688
47,2233.5203
48,2912.2769
49,3689.3694
50,4869.4844
51,6417.2705
52,7912.982
53,6038.064
54,4714.697
55,3821.6777
56,2915.6765
57,2220.527
58,1744.89
59,1296.399
60,736.06476
61,692.2288
62,447.45676
63,331.05716
64,141.4357
65,49.223007
66,179.3123
67,-23.059782
68,-156.50224
69,-47.53449
70,-34.987465
71,-44.737007
72,-178.93091
73,-146.77666
74,-100.55423
75,-154.34206
76,-88.34356
77,-149.12825
78,-17.328274
79,-63.826855
80,229.5708
81,314.62396
82,423.88055
83,134.37978
84,-397.61752
85,-367.8241
86,-188.29863
87,22.114222
88,-47.904114
89,58.405754
90,384.7241
91,376.7876
92,1318.7292
93,2259.5264
94,3551.6228
95,3943.1067
96,5157.1606
97,6014.2183
98,6546.2993
99,8153.036
100,10608.58
101,11010.458
102,10814.034
103,7344.43
104,6701.7
105,6246.182
106,5939.8687
107,5285.204
108,3411.8826
109,2418.3062
110,1875.7642
111,899.23566
112,588.9189
113,542.4661
114,354.0944
115,220.83032
116,158.22691
117,116.6519
118,65.84744
119,72.152
120,93.46455
121,51.650448
122,124.172325
123,-129.18492
124,-85.94816
125,17.781906
126,-91.743164
127,-51.808823
128,59.903778
129,14.631026
130,214.48425
131,-48.05269
132,280.46948
133,370.10114
134,262.314
135,343.7293
136,181.10698
137,148.4893
138,472.4459
139,559.52576
140,792.4781
141,1240.1279
142,1387.1696
143,2597.706
144,4689.6187
145,9747.819
146,12779.029
147,14250.436
148,16041.683
149,15900.095
150,17646.732
151,18063.377
152,17584.01
153,15998.852
154,12711.923
155,10244.565
156,7473.6064
157,6077.4424
158,4737.2188
159,3915.8657
160,2885.6597
161,2106.9177
162,1343.5815
163,984.41974
164,674.3697
165,345.72577
166,173.93
167,95.15043
168,-28.31328
169,127.732605
170,-47.60507
171,1.9192876
172,-55.98787
173,-112.65437
174,-290.14136
175,-158.33801
176,-212.28659
177,-199.77837
178,-121.322624
179,-155.30228
180,-144.7041
181,-137.93504
182,-83.037186
183,84.167564
184,-105.11888
185,-88.506386
186,-54.860046
187,15.303485
188,114.12596
189,-31.076086
190,154.66803
191,244.59946
192,339.93643
193,454.05682
194,667.50745
195,1483.4192
196,2705.7349
197,4342.655
198,5401.7764
199,4231.8267
200,4561.727
201,5994.0127
202,7255.044
203,9683.385
204,12092.737
205,11938.144
206,11477.075
207,12465.497
208,11955.541
209,12237.641
210,9369.732
211,6662.758
212,4283.805
213,2827.9033
214,1482.6779
215,916.2745
216,590.50366
217,448.32623
218,345.0891
219,216.64873
220,208.16232
221,156.70245
222,181.28299
223,55.319363
224,110.42352
225,36.67977
226,53.5993
227,-77.197136
228,-480.6817
229,-354.01483
230,-104.054474
231,-141.58568
232,44.97091
233,213.7992
234,128.51839
235,56.87759
236,163.79964
237,243.21172
238,41.65679
239,195.50238
240,192.55624
241,257.9415
242,-88.71451
243,650.1089
244,986.4443
245,2088.6348
246,2682.8318
247,3680.1545
248,5762.962
249,10810.581
250,14969.753
251,13916.952
252,12602.452
253,13892.665
254,14717.042
255,17302.29
256,16737.994
257,16481.498
258,11469.119
